dataset,model,auc,accuracy,precision,recall,f1
german,xgboost,0.7858333333333334,0.75,0.5806451612903226,0.6,0.5901639344262295
german,lightgbm,0.7725,0.715,0.5217391304347826,0.6,0.5581395348837209
german,random_forest,0.7897619047619048,0.725,0.5316455696202531,0.7,0.60431654676259
german,mlp,0.6692857142857143,0.71,0.5714285714285714,0.13333333333333333,0.21621621621621623
taiwan,xgboost,0.7747651185871985,0.7603871183046889,0.4688208616780045,0.6236802413273002,0.5352750809061488
taiwan,lightgbm,0.7736731636169492,0.7575504755548139,0.46442577030812326,0.6251885369532428,0.5329476052716169
taiwan,random_forest,0.7682936997712833,0.7730685800100117,0.4891857506361323,0.5799396681749623,0.5307108350586611
taiwan,mlp,0.7536264378013076,0.8171199733021859,0.6686217008797654,0.3438914027149321,0.4541832669322709
gmsc,xgboost,0.864365474536942,0.797583587134777,0.21698377168438723,0.7747252747252747,0.33901639344262297
gmsc,lightgbm,0.8642214764107364,0.797683992101476,0.21810068330776738,0.7812187812187812,0.3410007631091246
gmsc,random_forest,0.8601032894715858,0.7920947822885639,0.21274563318777293,0.7787212787212787,0.33419078242229366
gmsc,mlp,0.8340162008239635,0.9364771244017538,0.5817610062893082,0.1848151848151848,0.2805155420773313
