instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,lightgbm,lime,0.004148288,0.010727254,0.005233355,0.0064189807,0.0029459333,0.005294916,0.0019151872,-0.0035553763,-0.0033369095,-0.031629633,0.005502395,-0.006785098,-0.0073749996,-0.0028505167,-0.0025785128,-0.0010312443,0.004243993,0.0014863514,0.001139531,0.0004350427,0.012411704,-0.0042384886,0.00047541215,0.0027481476,-0.008522201,-0.009217605,-0.01251738,0.006771545,-0.0048257913,-0.00946794,0.00402543,0.007859054,-0.0031785127,-0.0027732998,0.006045873,-0.0035175811,0.004622143,0.00051930075,0.0033970885,0.007186116,-0.0019286834,0.0008157958,-0.0019675153,0.0016970213,0.008251698,-0.007795489,-0.0034551972,-0.0049781124
8,0,german,lightgbm,lime,0.0027905726,0.0137673775,0.0055510285,-0.0019522525,-0.0042524897,0.004389252,0.003037918,-0.004373811,-0.0026592237,-0.025039637,-0.004202583,-0.0042451634,-0.005521934,-0.003945744,-0.013386534,-2.7222819e-05,-0.00021613753,-0.0007529956,0.0021395362,0.00196445,0.008254782,-0.0013717327,-0.0042429785,-0.0020863719,-0.004565143,-0.006995552,-0.01129058,0.0059885294,-0.0029045884,-0.01629785,-0.0021946786,0.007618801,0.00035688427,0.0018819754,0.005709181,-0.0019369872,-0.00025529528,-0.00020829152,0.0110738315,-0.0013677514,-0.0031249595,0.0012853631,-3.553518e-05,0.0011587231,-0.0018310965,-0.0009920172,-0.0013077332,-0.0113234185
9,0,german,lightgbm,lime,0.0076907137,0.008158773,0.006895678,0.0003748271,0.00074310374,0.010070983,0.0002428953,-0.0025955073,-0.00034465463,-0.033492178,0.0038765399,0.0009997564,-0.0025698044,-0.0016874839,-0.008410084,0.0038023896,0.0026410562,0.0018545133,-0.00019913197,0.0026388327,0.011313639,-0.0023692274,-0.0033850234,-0.0026923718,-0.004275431,-0.005259665,-0.014233664,0.0063688285,0.0005077677,-0.0075272135,0.0018687948,0.0040958207,-0.0019927935,0.0034041218,0.0011072399,-0.0058959136,-0.0013920462,-0.0032692947,0.007027368,0.0031868918,-0.0040122843,0.00043395034,-0.0015962747,0.0035675375,-0.001386112,-0.0008298093,-0.00060886797,-0.006343056
10,0,german,lightgbm,lime,0.0070872046,0.0065241843,0.0040837666,0.00280274,-0.0008108157,0.005684036,0.0035909715,-0.0070365006,-0.0067178644,-0.03221476,-0.0028803654,-0.0021809877,-0.009541081,-0.0055079055,-0.005423195,0.0031133278,0.0021635273,-0.005009728,0.00057299447,-0.005405884,0.007185743,-0.0006146619,0.0008703114,-0.0015121285,0.003198701,-0.005853189,-0.014936765,0.007707825,-2.602215e-07,-0.009963372,-0.0036179335,0.0065039634,-0.003914993,-0.004070418,0.0020558396,-0.0021086694,-5.1760493e-05,0.0016469648,0.0077971593,0.002875974,-0.0039770156,0.0011392338,0.003240583,-0.0043581226,-0.0023239015,-0.00028386802,-0.0036654067,-0.005493269
12,0,german,lightgbm,lime,0.0049083093,0.0117226895,0.0027067303,0.0017629085,-0.007702032,0.0072121248,-0.002319358,-0.0027926243,-0.0045239576,-0.029533833,-0.00086251815,0.0034994278,-0.009092926,0.0007104693,-0.0038922476,0.0027036534,0.0046602353,-0.0063108443,-0.0008265925,-0.0044672815,0.006325066,-0.0056863036,-0.0013544764,-0.0019169993,-0.0012157473,-0.009785281,-0.009388873,0.0062044472,0.0007902314,-0.009366024,0.0035195216,0.0054264884,-0.0006496423,0.0005034104,0.004802894,-0.0072487295,0.00056211295,-0.006863309,0.0046725892,-0.0040593874,-0.008439411,-0.001399207,-0.0016954072,0.0017738778,6.717987e-05,-0.00014662082,-0.0024870236,-0.007875561
15,0,german,lightgbm,lime,0.0010821094,0.0032711418,0.0042171283,0.0035413855,-0.0014111792,0.005724814,-0.0024043778,-0.004151645,-0.0050173397,-0.021461627,0.0044959616,-0.0034163839,-0.0014633399,-0.005372984,-0.0066458113,0.00026490257,0.0038758565,-0.0020918413,-0.0017881508,-0.0030164733,0.0028601885,0.0019502587,-0.001384907,0.0011023383,-0.005135765,-0.0042878506,-0.009579517,0.0047432566,-0.0013809763,-0.006633337,0.0010105285,0.007341369,0.00396639,4.6267218e-05,0.0025243321,-0.0047483463,-0.0020618753,-0.0032436957,0.0027875185,-0.0022643234,-0.0030567753,-0.0002552404,-0.0011888959,-0.0019298289,-0.0037756267,-0.00020304242,-0.0029218525,-0.007258943
18,0,german,lightgbm,lime,0.006798259,0.007482539,0.0053392937,-0.0021645452,0.0012673953,0.011495096,-0.0013034558,-0.003008888,-0.00054694474,-0.03255203,0.011128241,-0.0034677896,-0.0053064013,-0.00032594157,-0.009646909,-0.004206898,0.00425241,-0.0048046247,-5.4679673e-05,0.002386141,0.011602766,0.004333872,-0.00044425484,-0.008121477,-0.004855062,-0.0077788047,-0.009231979,0.0062093902,0.0028111483,-0.011984666,-0.003004776,0.0014818001,-0.00315223,-0.00044007806,0.0045354585,-0.0095368195,0.00046129906,0.001999184,0.005488875,0.0037506076,-9.172798e-05,-0.0010920034,0.0025446396,-0.0004293152,-0.005314927,-0.0003766684,0.002268198,-0.009580447
21,0,german,lightgbm,lime,0.0058091152,0.007264354,0.0028116272,0.0011883947,-0.008283932,0.0054231025,-0.0023345863,-0.007119686,-0.0030992632,-0.0257667,-0.0013350474,4.4752294e-05,-0.0024254816,-0.0003532029,-0.004495072,0.002907171,-0.0017368733,0.0015322858,0.002188363,-0.0019151052,0.010779312,0.0015378876,0.0022214085,-0.0060298485,-0.0033518483,-0.0048715407,-0.01175784,0.007673766,0.004018519,-0.010464099,0.00069868437,0.01149054,0.00091090414,-0.0020467723,0.0050565125,-0.0050984216,0.0019718332,0.00027018643,0.0051359427,-0.0024049694,5.4281634e-05,0.0023734712,-0.00046095363,0.0005783108,0.0038007281,0.0016510594,-0.0014690763,-0.011239034
22,1,german,lightgbm,lime,0.010076285,0.011323268,0.005923096,-0.0008443267,0.0010720227,0.010534684,-0.0048308214,-0.0073860637,-0.0075176363,-0.03015262,0.0018812278,-0.003065579,0.000856213,-0.0029434846,-0.0014758473,0.00045479034,0.0024919335,0.00023157161,0.0006044253,0.001703219,0.010054683,0.0054153837,-0.0010968529,7.69427e-05,-0.005220271,-0.007956814,-0.009226809,0.0066757477,-0.004100302,-0.012127093,0.0015342166,0.008389495,-0.0026502348,-0.00029189966,0.002061868,-0.0029347108,-0.00036105138,-0.00040932363,0.008511914,-0.001613448,-0.007837131,0.00032711454,0.0013194641,0.0015172934,0.00471136,-0.0015278507,0.0031354749,-0.0074226237
23,1,german,lightgbm,lime,0.010575331,0.012138112,0.0073227654,0.0039114915,-0.0031525095,0.0073823407,0.0010855913,-0.003464553,-0.0047958693,-0.032402482,-0.00052123616,0.008549344,-0.0125673115,-0.0056598037,-0.0055645094,0.0017085085,0.006090302,0.0005609751,-0.0012057228,-0.0076033985,0.0076156845,-0.0032194136,-0.0026199694,-0.00054489943,-0.003255604,-0.010647931,-0.012836461,0.011450257,0.002439227,-0.012868721,0.0063934023,0.014186662,-0.0042729117,-0.0018080607,0.00078538293,-0.0038963023,-0.003819107,0.004271656,0.0040566274,0.00070450746,0.006085051,-0.006155011,0.0024346248,0.0032569251,-0.0063458155,-0.0026914112,0.0011774435,-0.0034349293
24,0,german,lightgbm,lime,0.0065718684,0.0073518367,0.007541931,0.0051821377,-0.0014805192,0.007124268,-0.0011599973,0.0007267508,-0.006119314,-0.031448524,-0.0022135393,-0.004386301,-0.0066600065,-0.00012801774,-0.004878861,-0.004816502,-0.0016561359,0.0013369002,0.00095502933,0.0033495824,0.007161422,0.00137621,-0.00470088,-0.0015162309,-0.010811774,-0.0025957217,-0.009822242,0.0036626633,0.00014753171,-0.010663397,0.0039093075,0.011609874,-0.002231333,-0.0010739798,0.0040639485,0.010853951,-0.002286171,-0.0004496035,0.0042259768,-0.0039217276,-0.00762572,-0.00456798,-0.0017552922,0.008171415,-0.0050714575,-0.00038893404,0.0005550323,-0.008797568
27,0,german,lightgbm,lime,0.0052027022,0.006106049,0.0033549834,-0.003394997,-0.0040261904,0.0050141187,-0.0012606562,-0.0058455756,0.008719197,-0.028206432,0.0015886361,-0.007485123,0.005276524,-0.0065436494,-0.0023844878,0.0031356267,-0.0037589238,-0.0032104752,7.0057654e-06,-0.0020545518,0.008120455,-0.0047595296,-0.0007378412,-0.0026465314,-0.00063315575,-0.009166504,-0.014905003,0.014137369,0.0048133736,-0.007314739,0.0016581734,0.011456234,-0.003549722,-0.001385271,0.0058972505,-0.005895697,0.0077860053,-0.0017515213,0.0055787354,-0.0011157804,-0.005740136,0.0041831923,-0.008858304,-0.0070325723,0.00039180642,-0.0016065803,0.0038265416,-0.008170061
29,0,german,lightgbm,lime,0.008564683,0.009721447,0.006328467,0.0035055154,-0.0013954126,0.008711864,0.0017911794,-0.0029893338,-0.00013473444,-0.028019896,-0.005802442,-0.001832553,-0.0069875144,-0.003146819,-0.004241447,-0.0025635601,0.0022352661,-0.001184327,0.0005680133,-0.0025986298,0.010972898,0.0007060543,-0.0014627608,-0.0053149173,-0.0069077993,-0.008945501,-0.014710038,0.008533092,0.0016761029,-0.00878239,-0.0015513144,0.005824766,0.00094454986,-0.0019854088,-0.001675581,-0.0025168452,-0.00169172,-0.0061800815,0.004698075,0.002128794,-0.0040101376,-0.001695027,0.0064936597,-0.0018135887,0.00065604394,-0.0016572761,0.00051186426,-0.01143295
32,0,german,lightgbm,lime,0.0054521374,0.0052700853,0.0045749303,0.00239278,-0.004435468,0.0077668577,-0.0017910302,-0.0059653125,-0.0038335752,-0.02656675,-0.00084942515,0.00040495076,-0.006703914,-0.004955007,-0.008996524,0.0004820173,0.0010814981,-0.00049550674,-0.0013887804,-0.0012239119,0.0069986633,0.0013918292,-0.0020542166,-0.0021140892,-0.001972527,-0.008387687,-0.009829155,0.0037759456,-0.00061879656,-0.012621659,0.0036114377,0.0028007382,-0.0028291221,-0.0056446264,0.004003206,-0.007687397,-0.0005620856,0.0011836657,0.0054312516,-0.0016320554,-0.005693606,-0.00054712035,0.0033398524,0.0038634387,-0.00033301362,-0.00552544,-0.0027342099,-0.0067565604
38,0,german,lightgbm,lime,0.0025872206,0.008566977,0.0064175245,0.0027978055,-0.0053304983,0.007975214,-0.0022431067,-0.004779096,-0.00305485,-0.027936334,0.006364348,-0.002905817,-0.006818528,-0.004893361,-0.005486385,0.004274362,0.00058063626,0.0023240608,-0.0045230645,-0.0019983712,0.011734822,0.00014195316,-0.0023433557,-0.0047514634,0.0016185004,-0.0070188027,-0.0128405625,0.006598761,-0.0024901102,-0.0061071063,-0.0007553716,0.0070337756,-0.002792654,-0.00016569172,-0.00130378,-0.0026772404,0.0015416538,-0.0011949197,0.004284853,-0.0041574403,0.003524926,-0.00050712895,-0.002914714,0.003530715,0.0057748123,0.004258938,-0.0019847227,-0.0060269563
40,1,german,lightgbm,lime,0.01084428,0.011410606,0.0015660379,0.0017257446,0.00075557374,0.005175771,-0.002139675,-0.010241446,-0.00250967,-0.030890558,0.0012669683,3.011814e-07,-0.0051274574,-0.0041230894,-0.007113368,0.0008833667,0.0008222799,-0.0014889851,0.0032407518,0.001174469,0.010309881,0.0006311203,-0.0004898231,-0.0016160295,-0.0036534541,-0.0064251483,-0.01778466,0.0022927052,0.0030210463,-0.017248807,-0.0028231926,0.004680764,-0.004365471,-0.0041440898,0.0038439122,-0.0052384897,0.0025340142,0.0051465924,0.0013188979,-0.0009173029,-0.00046171006,-0.0018540734,0.0007014208,0.003188339,-0.00047674205,0.0022902524,-0.00036649956,-0.005177385
45,0,german,lightgbm,lime,-7.150626e-05,0.007385399,0.0063281804,0.0013103283,-0.0019461338,0.011472753,0.0009816451,-0.0025959422,-0.00054994645,-0.024058001,0.0016626619,0.0005543134,-0.0014532071,-0.005349312,-0.0061940975,-0.0009531126,-0.0019054539,-0.0004977239,0.0023002678,-0.0045097573,0.008375206,-0.00079027365,0.00047386263,-0.005154547,-0.0033183815,-0.00950203,-0.010905373,0.007895279,-0.0026857192,-0.007915532,0.0004563978,0.006262571,0.00028291566,-0.0021626644,0.0058854297,-0.0038519704,0.0015233775,-0.0013591116,0.0062107462,-0.0006494815,-0.009149086,0.0021963823,0.0062284702,0.0056823394,-0.002948263,0.0009437154,-0.0038466866,-0.010483533
