instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,mlp,lime,0.013626488,0.028025184,0.01778811,-0.0009633185,-0.007604516,0.006126682,0.0034636802,0.0024238331,-0.0018817863,-0.017904378,0.014886057,0.021518206,0.015876794,-0.009291064,-0.0071534603,0.018182296,0.0020326166,-0.011702575,0.009098617,0.0015555167,0.012155588,0.0013721696,0.0063685793,-0.009888696,-0.008425974,-0.01352209,-0.024276508,0.023029748,-0.015705476,-0.016303865,-0.0048954375,0.0074978266,-0.009974938,0.0073754555,0.004687128,0.007317731,0.0024821486,0.013588764,0.00971681,0.0010236339,-0.0023855723,0.0024536017,0.013241817,-0.0056169815,-0.014742765,0.004767487,-0.0201446,-0.013284749
8,0,german,mlp,lime,0.015738282,0.029416598,0.02270618,0.0022919846,-0.00876292,0.01091092,0.0016511215,0.006470603,-0.0013370662,-0.019993953,0.008208524,0.019463396,0.01042782,-0.006682992,-0.0048414776,0.016174544,0.0045739217,-0.014436961,0.011736975,-0.0008147841,0.012632804,0.001322931,0.0035009144,-0.0061069103,-0.009775938,-0.013935803,-0.027161574,0.022499302,-0.014375789,-0.016776724,-0.0056280214,0.0061659412,-0.011020848,0.005738617,0.0073042098,0.011780414,-0.0010502824,0.015042576,0.009387253,0.0062449537,-0.0062579485,-0.0010879522,0.01457343,-0.0052883574,-0.01152856,0.00423713,-0.021114836,-0.013439976
9,0,german,mlp,lime,0.01758972,0.027085133,0.019115612,0.00015387546,-0.008944164,0.008611631,0.0016102393,0.006097995,-0.00397634,-0.020448288,0.011186541,0.023720557,0.013919382,-0.0106648505,-0.007825339,0.016995838,0.0014279165,-0.012378671,0.012283614,0.00057911495,0.017810442,0.0002913964,0.0069178515,-0.008156964,-0.009006795,-0.0125327725,-0.025225027,0.026465503,-0.015467035,-0.014778514,-0.0070639574,0.004165699,-0.011340859,0.0084378,0.006250947,0.008723399,-0.0012086899,0.015592112,0.0075489664,0.004459333,-0.008446698,0.0032135032,0.01480207,-0.007031304,-0.011548136,0.010055439,-0.017753858,-0.011692396
10,0,german,mlp,lime,0.017833006,0.02887914,0.019530345,-0.00040681087,-0.005015131,0.011287577,0.0013435202,0.002746022,-0.005136479,-0.020315263,0.011195104,0.023759982,0.01591076,-0.006000739,-0.0072793714,0.014453652,0.003978438,-0.014322562,0.011165646,0.0014657227,0.012537107,0.0048181973,0.0049949544,-0.005805463,-0.011902458,-0.008567194,-0.02661095,0.020851307,-0.01487982,-0.015201236,-0.008241318,0.012456655,-0.009050787,0.012833285,0.002219838,0.010424028,0.0016381653,0.009609105,0.005848932,0.0036741428,-0.0033256856,0.0011863098,0.01482268,-0.008113458,-0.015541602,0.0039886762,-0.018899579,-0.007490602
12,0,german,mlp,lime,0.014767853,0.028254304,0.024535537,-4.932722e-05,-0.0032517284,0.008018331,0.002783635,0.0020444707,-0.0016294859,-0.016293133,0.013685967,0.022240289,0.014063764,-0.003383197,-0.0052360804,0.013762014,0.002941,-0.0145501895,0.009891696,0.002867576,0.012760492,0.006157135,0.0054006726,-0.007527314,-0.011322912,-0.012014489,-0.028957019,0.022624636,-0.013273365,-0.018479038,-0.008553666,0.006665128,-0.008905709,0.007847408,0.006776491,0.0054640924,0.0008119512,0.0139548965,0.013256758,0.0021386447,-0.0046773436,0.0019849075,0.015460856,-0.007892278,-0.011279771,0.00472455,-0.017650811,-0.010715232
15,0,german,mlp,lime,0.019032627,0.025070643,0.01866153,0.00076282956,-0.006452577,0.008082027,0.0019284933,0.0031437995,-0.0030158022,-0.016459823,0.012135577,0.02614557,0.014135815,-0.008162017,-0.0052266,0.016918935,-0.0014924746,-0.012809205,0.007861164,0.0028879032,0.010386139,0.000426687,0.00774448,-0.010117451,-0.009054469,-0.0102223,-0.025639758,0.018825304,-0.01261057,-0.016452689,-0.011823967,0.008350962,-0.010538489,0.009526691,0.0069807023,0.0056704497,0.0017453048,0.018533058,0.01175188,0.0017513529,-0.0066972915,-0.0016748022,0.01562375,-0.008712659,-0.012686159,0.001966267,-0.020150311,-0.010197971
18,0,german,mlp,lime,0.018627217,0.028535761,0.02313288,0.0050957208,-0.008205056,0.008147329,0.001064827,0.0056770686,-0.0011107832,-0.016959414,0.011993984,0.020707494,0.017660297,-0.009031778,-0.009407563,0.01265832,0.0010500735,-0.011847953,0.009083471,-0.0018449152,0.012516898,0.004875281,0.0028792564,-0.009449676,-0.01564834,-0.0067878207,-0.027422482,0.0238337,-0.012787773,-0.015271795,-0.006269622,0.0075149112,-0.010973437,0.01023529,0.0036743735,0.0078604845,-6.171577e-05,0.014109494,0.01052898,-0.00013557264,-0.00582811,0.0046478887,0.014430535,-0.008535415,-0.011561126,0.0028923717,-0.01910658,-0.010027586
21,0,german,mlp,lime,0.023138566,0.029529396,0.023029037,0.0024054463,-0.009984417,0.009879952,0.0061297296,0.001692348,-0.00095358724,-0.017960109,0.012933248,0.022535803,0.015299575,-0.009241545,-0.0062574055,0.013724442,0.0024086593,-0.016249226,0.008784528,0.0029764324,0.0153371245,0.0029494697,0.0075088693,-0.011381461,-0.015330733,-0.011597533,-0.028022535,0.02554075,-0.015186268,-0.016571313,-0.0058370465,0.009177594,-0.010112737,0.006896473,0.0077460636,0.0065022013,-0.0026485615,0.016150266,0.010327859,0.00046972546,-0.0046297205,0.0066048983,0.013678926,-0.009181586,-0.012163664,0.004443724,-0.016592462,-0.015119104
22,1,german,mlp,lime,0.018774996,0.02622999,0.017477052,0.00033130005,-0.0071053207,0.0060731936,-0.00035673048,0.005212946,-0.0018594583,-0.018702127,0.0070016715,0.023648934,0.013769529,-0.008779434,-0.008378185,0.012341619,0.0015388569,-0.011453194,0.010573801,-0.00040842744,0.0075929994,0.0045591025,0.0010363662,-0.012036731,-0.00977405,-0.014365958,-0.030038586,0.019421753,-0.014477278,-0.012013089,-0.006327025,0.0038812552,-0.009281773,0.010122029,0.0052951626,0.009388379,0.0008234003,0.01842691,0.011420166,-0.0011979601,-0.0057775807,0.004120118,0.013813179,-0.006601175,-0.013324496,0.0045013367,-0.022777375,-0.010319851
23,1,german,mlp,lime,0.019010875,0.030786388,0.021923026,0.0016368326,-0.010234745,0.009053689,0.0006671308,0.0055147787,0.0005827306,-0.019426327,0.010958345,0.021427458,0.018211754,-0.009516699,-0.0052028946,0.013574134,0.0059679407,-0.012957486,0.012896847,0.00037648066,0.013758995,0.0006090016,0.0032485968,-0.010187481,-0.012693953,-0.008356398,-0.023900164,0.02417138,-0.012620755,-0.012973698,-0.007398406,0.009460023,-0.007295765,0.007986615,0.006879375,0.007359624,-0.00036481093,0.013280417,0.011367822,0.003784366,-0.0018039825,0.004055448,0.014266911,-0.0063786004,-0.012790153,0.0063131284,-0.0178096,-0.015910314
