instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,mlp,shap,0.0,0.0,0.0,-0.017580570227583484,0.0,0.0,0.0,0.0,0.0,0.009794597359039491,0.0,-0.028750791978880044,0.0,-0.019329293030396964,0.004025279989062035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012824730646978139,0.0,0.0,0.0,0.009436287171655415,0.0,0.0,0.013846842307976354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007515593270244636,0.008427816208766137,0.0,0.0,0.0,0.0
8,0,german,mlp,shap,0.0,0.02079909076612336,0.00545154340793212,0.009390976476995813,0.0,0.0,0.0,0.0,0.0,0.008978800976567572,0.0,0.005637103211157346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014258831462616924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005873697352212182,0.0,0.0,0.0,0.0,0.0,0.024047538042948003,0.0,0.0,0.0,0.0,0.0,0.0,0.025081468963885946,0.0,0.01370665645330354,0.0
9,0,german,mlp,shap,0.0,0.0,0.03642719454676043,0.0,0.0,0.0,0.0,0.0,0.0,0.019108160628078415,0.0,-0.024434560056090456,0.0,-0.014828832282365598,0.0,0.0,0.0,0.014018806471232798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049569540990127905,0.0,0.0,-0.019512088545118184,0.0,0.0,0.0014431872261050482,0.0,0.0,0.0,0.0,0.0,0.017679950403455883,0.0,0.0,0.0,0.0,0.0,-0.004420751616007448,0.0,0.0,0.0,0.0
10,0,german,mlp,shap,0.029817986291469256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010242455931489085,0.0,0.0,-9.472122205535184e-05,0.0,0.0,0.0,0.0,-0.015084833341178692,0.0,0.0,0.0,0.0,0.0,0.0,-0.0988239497414303,0.0,0.0,0.0,0.0,0.0,-0.02050097410060175,0.0,-0.008774595542744828,0.0,0.0,-0.008196111415615622,0.0,0.02770908769660866,0.0,-0.0022039492206150347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,german,mlp,shap,-0.0041929296435946894,-0.012298552790283438,-0.010068664121055738,0.0,0.0,0.0,-0.022034850825722648,0.0,0.0,-0.003090807121104776,0.0,-0.01570642891142628,-0.00506884231751345,-0.007791575283634813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016593735081821687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007841560044608622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,german,mlp,shap,-0.011129044713063557,0.0,-0.031399571338128915,0.0,-0.02872575440702229,-0.013914685238294387,0.0,0.0,0.0,-0.016224097872489286,0.0,0.022082580857504717,0.0,0.012724298028869332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022209989566780428,0.0,0.0,0.0,0.0,0.0,0.0,-0.032579824525628874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005405083955843934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,german,mlp,shap,0.0,0.03276533103254549,0.0,0.0,0.0182069454655891,0.0,0.0,0.0,0.0,0.0,0.0,-0.029757889566170745,0.0,-0.009734495306054568,0.0,0.0,0.0,-0.02792354538839583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026364555581005984,0.012092470770507176,0.0,-0.015763850273972282,0.0,0.0,0.0,0.0,0.021149163603630595,0.0,0.0,0.0,0.0,0.0,0.0,-0.019885272939255814,0.0,0.0,0.0
21,0,german,mlp,shap,0.02547755462179368,0.0010761714889006603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006265178428614944,0.018403849497627668,0.0,0.0,0.005791872111555102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008202722426839323,0.0,0.0,0.0,0.0,0.0,0.009809983434629924,0.0,-0.027240569312617452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015500594953033256,0.0,0.0,0.0,0.0,0.01129024002733056,0.0
22,1,german,mlp,shap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007905539153729555,-0.010781782280976667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111642773399577,0.0,0.0,-0.009649964179909414,0.0,0.014186770305873286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023021293633953936,0.029554984259264422,0.0,-0.03561210721027621,0.0,0.0,0.0,0.0,0.0,0.0,-0.016555905646714785,0.014286902958536449
23,1,german,mlp,shap,0.0,0.01892329501387493,0.03357384149142555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010708103114745323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015463143358742553,0.0,0.0,0.0,0.014871447585491034,0.0,0.0,0.007271649531826413,0.0333308529600041,0.0057315564668802554,0.0,0.0,0.0,0.013196307328149207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03126721326911955,0.0
