instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,random_forest,lime,0.044719726,0.01407125,0.012911923,-0.001760412,-0.01192743,0.0031763895,0.002807113,0.0056967046,-0.0012440324,-0.0693175,-0.00075280014,0.0007613525,-0.00051655667,-0.031185705,-0.0018745121,0.0011014413,0.0012572014,-0.01708953,-0.0016448766,-0.0037073186,0.0028295354,0.0026314703,-0.0041128024,0.0032146561,0.0039567966,-0.0009238815,-0.016884433,0.012035223,0.00074884295,-0.004648859,-0.0027648108,0.0070688366,-0.01322353,0.0021866972,-0.0029811573,-0.0064693517,0.0015565042,-0.001968947,0.011439209,-0.0044501824,-0.014717351,-0.010057453,0.0024100612,0.00074026035,-0.0027341398,-0.0028995774,-0.004451643,-0.0016995205
8,0,german,random_forest,lime,0.041827016,0.020862399,0.0051724026,0.001972085,-0.011633124,-0.00093979965,-0.002530562,0.0019723205,0.0031470675,-0.068445124,0.0019042868,0.0035828773,0.0037784642,-0.02467979,-0.01043661,0.0019884184,-0.002332262,-0.008503063,0.0005835994,3.3027958e-05,0.0017626646,-0.001105543,0.002080825,-0.0013698773,-0.0031239947,-0.0031843185,-0.021609977,0.01308115,-0.0005254129,-0.004484241,0.00075232965,0.006126735,-0.0096008945,0.0010751076,0.0052790884,-0.0034236733,-0.0036455973,0.0038424297,0.010827336,0.00025765618,-0.017393105,-0.010849616,0.004204135,-0.0016964572,-0.0025230206,-0.001972609,-0.0059387702,-0.0009063494
9,0,german,random_forest,lime,0.04033709,0.018587256,0.014405386,-0.00014582944,-0.014993747,-0.0019349696,0.000670842,-0.00028236685,0.00070358627,-0.075419284,0.006185237,0.006521363,0.0022473186,-0.028778614,-0.00614977,-0.0006528102,0.0010551455,-0.016046038,0.0014943397,-0.0046347473,-0.0017774975,0.0045425566,0.0065101893,-0.0006060475,-0.0004999315,-0.00467168,-0.020374937,0.008335223,-0.0038998625,-0.006097798,-0.0008690298,0.004607676,-0.013659204,0.0015234763,0.0004748797,0.001282029,-0.0005561135,0.002398241,0.013935039,0.0008999903,-0.014379708,-0.00861561,-0.0026368743,-0.0026900943,-0.002034088,-0.000495801,-0.0076092095,-0.001572748
10,0,german,random_forest,lime,0.041215554,0.017993983,0.010038825,-0.0039912965,-0.01089956,-0.0014798489,-0.0019011964,-0.0024624693,-0.004204873,-0.07804653,0.0009970609,-0.00434896,0.00024991794,-0.025838327,-0.008037379,0.0008521706,0.0026054096,-0.014877422,0.002855887,0.0022648145,-0.00041498546,-0.0031459297,-0.00066258607,0.0030834076,-0.0063484064,-0.0031247705,-0.01814625,0.016551174,0.0025862504,-0.005825737,-0.0041809427,0.0028051408,-0.008939852,-4.4153614e-05,0.00083167735,0.005435744,-0.0029616363,-0.0020909873,0.011589029,0.004139482,-0.016188305,-0.013047514,0.0039227298,-0.0007872732,0.00022431345,-0.004044318,-0.0059129912,0.0039048376
12,0,german,random_forest,lime,0.04558812,0.019709423,0.012794326,0.0035505127,-0.015591542,0.0027266247,-0.003787606,0.003495221,0.0008963611,-0.07306567,0.00068116153,-0.005189532,-0.0016543462,-0.025040543,-0.005603216,0.0017756805,0.0034565707,-0.01587171,-0.0021931776,0.004935482,0.004751749,0.0004807584,0.0050882744,-0.0015275086,-0.006486702,-0.0006523142,-0.02045474,0.012625394,-0.0008983627,-0.0014328657,-0.0030914485,0.008252886,-0.0056018103,-0.00083153724,-0.0017768873,-0.0008292112,0.0046087345,0.007141118,0.0116401715,-0.004659309,-0.017262435,-0.013227868,0.0029415148,-0.0031890413,0.003118116,-0.0031173716,-0.0049759443,-0.0026292973
15,0,german,random_forest,lime,0.047961343,0.019740561,0.0116036115,-0.0025651967,-0.011474527,0.0023225734,0.003440751,0.008305789,0.0006332427,-0.07348046,0.0007784344,-0.0013345485,0.0050501134,-0.022998022,-0.007120779,-0.00046122936,0.0057692565,-0.01082966,0.0024048258,-0.00012739215,0.001976925,-0.00047939035,-0.0010939679,-0.0027373894,-0.003075829,-0.002728,-0.012101829,0.01127303,0.0020260687,-0.009094397,-0.0031404886,0.002316626,-0.0041434034,0.0001603205,-0.0018383856,0.0005701667,0.0015539106,0.00017008223,0.009098048,-0.0022692191,-0.017462216,-0.012072677,0.0036823181,-0.0018603173,-0.0011997401,0.0015311078,-0.0088475095,-0.0019974501
18,0,german,random_forest,lime,0.04187124,0.023994302,0.009437171,-0.0018982285,-0.010489592,0.0040121833,-0.00023538998,0.0075430125,-0.0031833448,-0.075806275,0.006662607,0.0009772743,0.0051723933,-0.030394275,0.00054099964,-0.0013688725,0.0014080176,-0.013219573,-0.004416482,-0.0031451075,0.0040473943,0.00021244987,0.0005252658,0.0008148311,-0.0011213149,-0.0032324546,-0.017769272,0.01887698,0.0045850165,-0.015114028,-0.0031882117,0.0054707155,-0.008891344,0.00064272626,0.0011278292,-0.00074472325,-0.0026267145,0.0023839052,0.013599915,4.0629508e-05,-0.015434149,-0.010705246,0.0023383684,0.0017125071,0.0015548846,0.0013622855,-0.0072658514,0.0007950202
21,0,german,random_forest,lime,0.046260566,0.016067408,0.01129426,0.0020647403,-0.015222597,-0.0003329114,-4.821616e-05,0.008252807,-0.0011913532,-0.0698636,0.0036221014,-0.0013630906,0.00039236507,-0.025534129,-0.009063346,-0.0017495295,0.004400373,-0.0104978,-0.003809003,0.0010625977,0.00016828696,-0.0013124516,6.585385e-06,-0.0044795577,-0.0009936041,0.0045757163,-0.011270174,0.01688653,-0.0020639491,-0.011864439,-0.006766628,0.004146295,-0.011624189,-0.0011604967,0.00016483043,-0.0030776693,-0.0027519723,0.0027433308,0.008302915,-0.0025229538,-0.014157853,-0.008072658,-0.0003728949,0.0031716346,0.0012576785,0.003223779,-0.004946923,0.0042659077
22,1,german,random_forest,lime,0.044305954,0.02185345,0.010459341,0.0017818551,-0.017864691,0.002340448,0.00013142946,0.0023822791,2.7005583e-05,-0.06939539,0.004028311,0.0015925983,0.0024508138,-0.028758153,-0.01424922,-0.0023628508,0.0006656061,-0.01643138,0.0022279453,0.00012281557,0.0013652506,-0.0018968359,-0.00187475,0.0006170486,-0.0005108593,-0.0047915494,-0.017468503,0.014943282,-0.0015059437,-0.009060073,0.003588705,0.006892823,-0.008411903,0.002048391,-0.00013130032,-0.0020996155,0.0022321322,0.0024793365,0.008417014,0.0044915373,-0.020554561,-0.005378073,0.002268022,-0.001707095,0.0021128755,0.000972991,-0.008560779,-0.0023283705
23,1,german,random_forest,lime,0.042288397,0.01650874,0.0066192714,-0.0019448305,-0.013423286,0.004302791,-0.005445905,0.0042445837,-0.0053324453,-0.072251715,0.004983331,0.0041160225,-0.002885964,-0.026301388,-0.0071817446,0.00035585972,-0.00037598325,-0.013390281,0.0055533396,0.0003180304,0.0058949883,0.0024983406,-0.0018549021,0.001975416,-0.003606294,0.0030361314,-0.01856488,0.013217229,-0.0024443888,-0.007362676,-0.0023354301,0.0051069316,-0.007981913,0.0041056704,-0.0020900941,0.0013579829,-0.0005883004,0.002650251,0.00723767,-0.0038900168,-0.01637774,-0.014039562,0.002139588,-0.0004576769,-0.0053607444,0.00016067311,-0.0009572662,-0.00195181
