instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,xgboost,lime,0.12098156,0.04035015,0.040030476,0.016905729,-0.0019340004,0.008594028,-0.00033081791,-0.012008617,0.0037875122,-0.050146703,0.015965313,-0.003245404,0.00015987795,-0.033680134,0.005775849,-0.0053825295,-0.0013463638,-0.013298612,0.0015280381,-0.0043978337,0.006403126,-0.012066144,0.0062151547,0.0044971462,0.008059832,-0.0051142396,-0.015662482,-0.008184707,-0.0059563974,-0.008081496,0.0022249077,-0.009504992,-0.011305647,0.0023129783,0.0022418308,0.0018945114,-0.004738183,-0.012895026,-0.00016363704,-0.0033808458,-0.032635387,-0.026144903,0.006499093,-0.002531063,-0.001369622,-0.00026927996,-0.015550515,-0.0064788554
8,0,german,xgboost,lime,0.13339972,0.042235237,0.035881396,0.020549927,0.0019173115,0.010508393,-0.0020604108,-0.0127067845,0.0027600294,-0.037500467,0.00052366516,-3.6592068e-05,-0.0056475597,-0.033007354,0.0061199344,0.00070826215,0.0010590192,-0.0037140858,-0.0057712737,0.0059280954,0.0066429693,-0.0019172314,-0.008409847,0.00630172,-0.007278545,-0.0072434675,-0.0065817977,-0.002087593,0.00050695636,-0.003145634,0.0002868862,-0.002794887,-0.01967358,0.002085532,-0.0090293465,-0.0034275593,-0.0076590287,0.0022831394,0.002781496,0.005258095,-0.026330056,-0.027466193,0.0068330583,-0.00087590056,0.015106813,-0.0029022002,-0.0049148966,-0.002934876
9,0,german,xgboost,lime,0.12777185,0.038584013,0.028827477,0.016650805,7.5753735e-05,0.005676694,-0.01018197,-0.011469959,0.010259951,-0.04874641,0.009579536,0.013353872,-0.0046223346,-0.032595307,-0.006758501,0.015068239,0.0018090137,-0.0018030023,0.0053721783,0.005932166,0.0029033385,0.004461829,0.005816932,0.0057364265,-0.00050755043,-0.012123125,-0.008579571,-0.004487178,-0.009677536,-0.002944716,-0.0032894646,0.0030369405,-0.016636528,0.0002745518,-0.0011693595,0.005188686,-0.0028090854,-0.007557383,0.0055263466,0.013595469,-0.027339365,-0.022181462,-0.006362166,-0.0038759457,-0.0041399505,0.0003250234,-0.002748253,-0.007850964
10,0,german,xgboost,lime,0.12487498,0.041317243,0.043576766,0.015451785,0.00484992,0.012688839,0.0073001003,0.0021532741,0.003369337,-0.059108153,0.008373525,-0.016109418,0.0027703159,-0.014747127,0.0017338513,-0.0037203343,0.0009748701,-0.01318482,0.0014653942,0.012803864,0.003019576,-0.006124115,0.016819268,0.00012722053,-0.009289459,-0.0015432293,-0.0130401645,-0.0009930473,-0.0024032602,0.0029910957,-0.025322441,0.011055244,-0.018964004,-0.0054510455,-0.0056136176,0.0071880994,-0.0018112019,-0.01679858,0.002929747,0.0033972461,-0.025867745,-0.021253604,-0.0059646703,0.0005112851,0.000757317,0.0024856657,-0.013398957,0.0070718247
12,0,german,xgboost,lime,0.13441469,0.0413315,0.030273702,0.025152206,-0.004856264,0.0047067595,-0.008339297,-0.0063757035,0.0033228723,-0.0436888,0.004076531,-0.009613278,-0.0033816567,-0.009396716,-0.004902492,0.004514865,0.011987929,-0.013331198,0.0034764332,-0.007246833,0.001987747,0.010410245,-0.00067392644,0.0011493176,-0.0033883776,-0.012079363,-0.023042873,0.010853535,-0.015423024,-0.0015724564,0.004887124,0.00010921041,-0.009829888,-0.0012000371,0.0057422677,0.0013291687,-0.00080975215,0.0058018435,0.008420396,0.005509689,-0.027067717,-0.027879696,0.0055048754,-0.0038417596,0.013113652,-0.00036586038,0.003723649,-0.00023060518
15,0,german,xgboost,lime,0.13508396,0.048983235,0.044594217,0.016415562,-0.003254527,0.00039227822,0.0024702619,-0.003982544,0.0049056513,-0.063439846,0.010695487,-0.004672034,0.013019507,-0.02767591,-0.011818226,-0.00014595111,-0.0048740483,-0.0069625285,0.002578195,0.0016159138,-0.01293534,-0.0051605813,0.00014537177,-0.0044130003,-0.005546613,0.003179503,-0.004087335,0.0037346093,-0.0022322568,-0.0062151523,-0.01896015,-0.009787483,-0.0158944,0.010807369,0.0058217063,-0.005761325,0.0060924687,-0.003312548,0.0074359067,0.0036720145,-0.02641004,-0.016423382,0.001431145,-0.00648171,0.010202098,0.00037504075,-0.0036169318,-5.904553e-05
18,0,german,xgboost,lime,0.122345835,0.052237697,0.042465456,0.01640531,-0.0011693884,0.011326047,0.006658181,-0.01421905,0.009624178,-0.04954769,0.0016155866,0.0069425157,0.004690359,-0.026757665,0.001175129,0.00076055265,0.001782295,-0.015364309,-0.0014106482,-0.018217644,0.0019774672,-0.0021659704,-0.0016256162,0.0044925264,-0.0002449492,-0.004473329,0.0031753944,0.004871551,-0.002289867,-0.0018946131,-0.006904845,0.004654988,-0.013936208,0.0033972906,-0.012888897,0.00086906436,-0.005484195,-0.013061764,0.0025773766,-0.00028299238,-0.03203163,-0.012997538,-0.0018198406,0.0143473605,-0.00946976,0.005213073,-0.0040520933,0.005185192
21,0,german,xgboost,lime,0.1274069,0.05111569,0.0399253,0.018278252,0.00425038,0.01001501,0.007020608,-0.014075822,0.0062856902,-0.053584594,0.005127318,-0.0045753345,-0.0058570546,-0.014781395,-0.0017762762,-0.007885761,-0.0054479646,-0.01746545,-0.0028972216,-0.0013937299,0.006414509,-0.0035239805,-0.0019164641,2.1266733e-05,-0.0022638,0.0017283332,-0.005564484,-0.001760726,0.0048833867,-0.0011489226,-0.009469536,-0.004014852,-0.022266757,-2.7185366e-05,0.007509189,-0.007785772,0.0025293322,-0.0067224624,0.01097978,-0.009262718,-0.03470035,-0.013362733,-0.00096128037,-0.0038617179,0.009209973,0.00052012195,0.0013381976,0.013350591
22,1,german,xgboost,lime,0.13725142,0.04957561,0.03447935,0.0022110639,0.00022908111,0.007283352,0.011085485,-0.00732966,0.009550634,-0.049370196,0.0054699844,0.00696885,0.0102835465,-0.020129418,0.014099383,-0.002060241,0.0019163673,-0.0052211415,-0.0052524647,0.004361925,-0.012851383,0.004137164,-0.012971307,0.0013401363,-0.004838907,-0.0034549816,-0.0009779624,0.008739275,-0.0027121056,-0.0020945563,0.0021664372,-0.004126081,-0.02149266,0.0057810885,-0.006143003,0.011179712,0.007942038,-0.006174314,0.012378272,-0.012643811,-0.025505869,-0.0254933,-0.005830138,-0.0015797387,0.0061599566,-0.014017055,-0.0052196546,-0.006152975
23,1,german,xgboost,lime,0.1256246,0.039319783,0.03974965,0.022251898,-0.0052022305,0.0075471583,0.0029319867,-0.00400611,-0.0064698393,-0.042913318,0.0020879928,0.0008465068,-0.0030427973,-0.016963242,-0.006892373,-0.0069133234,-0.0032262253,-0.013976336,-0.003958185,0.002289932,0.00403558,0.0029604,-0.0024869835,-0.0019728295,-0.004888778,0.0076290714,-0.006856051,0.008000618,0.012999415,-0.014243709,0.013822666,0.00015765826,-0.018046467,-0.00069296965,-0.004096163,-0.008853957,-0.001775809,-0.0039758272,0.0037755694,0.0053350725,-0.027752548,-0.023112625,0.00032567856,-0.0041217147,-0.0021961392,-0.002264053,-0.009033106,-0.0033389167
