instance_index,actual_default,dataset,model,explainer,duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,checking_status_A12,checking_status_A13,checking_status_A14,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_status_A62,savings_status_A63,savings_status_A64,savings_status_A65,employment_A72,employment_A73,employment_A74,employment_A75,personal_status_A92,personal_status_A93,personal_status_A94,other_parties_A102,other_parties_A103,property_magnitude_A122,property_magnitude_A123,property_magnitude_A124,other_payment_plans_A142,other_payment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,own_telephone_A192,foreign_worker_A202
6,0,german,xgboost,shap,0.078311466,-1.4713929,0.017284075,-0.13865635,-0.21367711,-0.002447737,-0.016713066,-0.20832546,0.041557405,0.5768194,-0.030725813,0.08345721,0.049775794,-0.89402086,0.09435629,0.00016716818,-0.02787807,0.15473069,0.0,-0.0019348104,-0.058711477,0.0,0.009070265,-0.00333036,0.012499991,0.049808584,0.1637371,-0.047317155,0.019724905,0.10208375,-0.018803535,0.0044389544,0.23068376,0.014587868,-0.01731543,0.024887303,-0.014138678,0.017439477,-0.08728992,0.017449867,-0.22136162,-0.14071168,0.02045189,-0.0015280021,-0.023009256,-0.015612234,-0.17618737,0.015215962
8,0,german,xgboost,shap,-0.0542572,-0.77172273,0.0793153,0.026175277,-0.052635714,-0.10112939,-0.019221637,-0.3599103,0.037558094,0.51933986,-0.034927253,-0.019594397,0.0595641,0.17177895,0.12503545,0.00016716818,0.0054495875,0.10132389,0.0,-0.0013426674,-0.033616383,0.0,0.029569289,0.015100919,0.014486097,0.04700666,0.19392902,-0.07139122,0.04283724,-0.58846575,0.012435896,-0.033514593,-0.25160596,0.011929564,-0.016187944,0.03343002,0.0039351033,0.026422022,-0.13744919,0.019679507,-0.12824382,0.15811701,0.052575115,0.009704497,0.0044039465,-0.0014182668,0.046106912,0.019556746
9,0,german,xgboost,shap,-0.6134196,0.45000327,0.0770298,-0.13023281,-0.6024667,-0.022662196,-0.048624538,-0.091426134,0.020638268,0.6039357,-0.024981061,0.06966043,0.030172551,-1.0421381,0.06769229,0.00016716818,0.0142892,0.17944254,0.0,-0.0051332656,-0.06660146,0.0,0.022880146,-0.006320304,0.02200351,-1.292734,0.07108026,-0.12319079,-0.0809073,0.07273241,-0.015601875,0.056313265,0.27066156,0.009501441,-0.015061415,0.024598349,-0.0054095318,0.09982091,-0.16879947,0.006308093,-0.2262416,-0.21348752,0.0007654286,0.032467302,-0.02539804,-0.02038704,0.1210648,0.016722871
10,0,german,xgboost,shap,0.5983435,-0.60023844,0.12926547,-0.07576795,-0.29046592,-0.124642625,-0.04871643,0.22294664,0.03182619,-1.5984087,-0.010341459,-0.034899548,-0.029537465,0.3302237,0.09222893,9.5360265e-05,-0.025388874,-0.5672238,0.0,-0.006986537,-0.052867245,0.0,0.010493014,0.021857718,-0.57316506,0.04392304,0.12265861,-0.15005453,0.012419511,0.13380978,-0.12047154,-0.023298737,-0.13540298,0.024640128,-0.037444666,0.03282557,0.010442277,0.0069100605,-0.091990024,0.015635507,-0.2762055,-0.118921615,0.024612898,-0.059755422,-0.06166374,0.017408248,0.057893362,0.018006317
12,0,german,xgboost,shap,-1.7936177,-0.49777985,-0.08358241,0.025367692,-0.37187982,0.09290545,0.14834455,0.030865613,-0.018825883,-1.3601742,-0.046412144,-0.024794236,-0.020293644,-0.9442084,0.08027839,7.016992e-05,0.010242899,-0.29351118,0.0,-0.0069026616,-0.061257463,0.0,0.024040304,0.0071824123,0.012035401,0.025241807,0.058744747,-0.15602352,0.06610794,-0.6587373,-0.038045503,-0.026671719,-0.16119735,0.0014428346,-0.029510248,0.0138748195,-0.05512282,0.009916911,-0.08669332,0.006942987,-0.21816425,-0.14626336,0.01225624,0.034082722,0.028327757,-0.026632527,0.12568134,0.017217895
15,0,german,xgboost,shap,-1.5166842,0.06225954,-0.5547512,-0.09010041,0.04219223,-0.11851886,-0.0251137,0.1300962,0.025248252,-1.2554655,-0.044053078,-0.06825342,-0.022058368,0.2896857,0.08504388,7.016992e-05,-0.07033103,0.12683985,0.0,-0.0074850908,-0.052180048,0.0,-0.23402345,0.023423413,0.014466468,0.025832774,0.065820456,-0.123718746,-0.0333214,-0.9269576,-0.04379849,-0.011127108,-0.094028704,0.012421875,-0.02923988,0.026818201,-0.07753473,-0.008036851,-0.086308986,0.010888238,-0.18345442,-0.15024465,0.037589718,0.06362821,0.011084603,-0.038017128,0.05990054,0.013868657
18,0,german,xgboost,shap,0.21742389,-0.45427063,-0.00063593127,0.14655827,-0.7080532,-0.047898483,-0.002690019,0.08594686,0.0184286,-1.5492525,-0.011777867,-0.029609485,0.008485115,-1.0502532,0.114927165,9.5360265e-05,-0.017279256,-0.22935618,0.0,-0.002542175,-0.03641465,0.0,0.012114747,0.02523604,0.0141103575,0.037109315,0.118531324,-0.13378131,0.025795924,-0.63726485,0.025617445,-0.015465514,-0.15646681,-0.00090125867,0.57485163,0.01617192,-0.011791309,-0.061605375,-0.082526974,0.014093368,-0.25548244,-0.078431025,0.035206243,-0.013208878,-0.0055499068,-0.025892418,0.020629684,0.016858594
21,0,german,xgboost,shap,0.61434597,-1.293288,0.13842033,0.032743305,-0.17489144,-0.13920915,-0.018502865,0.17999095,0.053802337,-1.4448501,-0.01282762,-0.044279695,-0.025509644,0.27403116,0.09666778,9.5360265e-05,-0.01394354,-0.43924102,0.0,-0.0049320776,-0.050890632,0.0,0.014147827,0.016519068,0.020855103,0.043850478,0.12402465,-0.10685797,0.0422699,0.11713563,-0.22135626,-0.032302517,-0.13473344,0.02139888,-0.033415936,0.031830736,0.0075941286,0.02288758,-0.08158044,0.02600086,-0.24883106,-0.087147824,0.03390615,-0.029940406,-0.05965934,-0.010989678,-0.007490665,0.021096818
22,1,german,xgboost,shap,-0.691106,-0.8672769,0.051046215,0.14247689,-0.24425498,0.0888523,-0.01612962,0.050693497,0.008176278,-1.1431671,-0.0116993785,0.07968336,-0.021170633,-1.119355,0.10298769,9.5360265e-05,0.020052023,0.1424326,0.0,-0.008397063,-0.049753655,0.0,-0.2065425,0.02944049,0.018344603,0.0322588,0.08114488,-0.09182025,0.0034181634,0.1461116,-0.06290774,-0.031348076,-0.17826241,0.012933253,-0.019095372,0.008688434,0.000110551715,-0.09390865,-0.07106271,-0.22480106,0.8519489,-0.10195473,0.028160734,-0.01308303,-0.014149282,-0.19919477,-0.21785912,0.01591339
23,1,german,xgboost,shap,0.25957304,-0.34375057,0.22331998,0.019911457,-0.11663699,-0.09375213,-0.009688763,0.11727407,0.07001957,0.5504595,-0.0243842,-0.027178569,0.019962741,0.26566654,0.08752762,0.00016716818,-0.12346394,0.1402926,0.0,-0.0018876242,-0.03771194,0.0,0.027757915,0.015455108,0.018899739,0.056595616,0.14206105,0.26525414,0.03140134,0.079035126,0.014953139,0.07141719,0.19864972,0.011148919,-0.018921303,0.032053057,0.021448983,-0.01817517,-0.08533384,0.030557219,-0.1045513,0.19573544,0.05118231,0.05421113,0.016995933,0.02764512,-0.20468153,0.020654134
