instance_index,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,actual_default
1306,0.030896358,78.0,0.0,0.20606616,12000.0,17.0,0.0,2.0,0.0,0.0,0
1902,0.02948292,51.0,0.0,0.19957148,9800.0,5.0,0.0,1.0,0.0,0.0,0
2025,0.021382323,60.0,0.0,55.0,5400.0,5.0,0.0,0.0,0.0,0.0,0
2278,0.15189621,57.0,0.0,1.2865958,2916.0,13.0,0.0,2.0,0.0,0.0,0
2559,0.011665889,48.0,0.0,0.520637,3076.0,4.0,0.0,1.0,0.0,0.0,0
2657,0.23322007,47.0,0.0,0.23819813,6015.0,8.0,0.0,1.0,0.0,1.0,0
2746,0.39567325,48.0,0.0,0.121203355,6913.0,5.0,0.0,0.0,0.0,1.0,0
2805,0.2807908,44.0,0.0,0.018074095,13333.0,3.0,0.0,0.0,0.0,0.0,0
2903,0.0,48.0,0.0,0.53478074,7000.0,2.0,0.0,1.0,0.0,0.0,0
3817,0.12197734,41.0,1.0,0.40325078,3875.0,6.0,0.0,1.0,0.0,0.0,0
3878,0.3846793,45.0,0.0,1.031025,5833.0,9.0,0.0,2.0,0.0,0.0,0
4175,0.43613514,58.0,0.0,0.43150038,10583.0,14.0,0.0,1.0,0.0,2.0,0
4603,0.09578084,67.0,0.0,2565.0,5400.0,6.0,0.0,1.0,0.0,0.0,0
4798,0.9999999,40.0,0.0,44.0,5400.0,0.0,1.0,0.0,0.0,0.0,0
4927,0.47141215,44.0,0.0,941.0,5400.0,4.0,0.0,0.0,0.0,3.0,0
5440,0.03738817,56.0,1.0,0.28925687,12500.0,17.0,0.0,1.0,0.0,3.0,0
5655,0.36518577,31.0,1.0,0.040159974,6000.0,4.0,0.0,0.0,0.0,0.0,0
5806,0.044219106,48.0,0.0,2092.0,5400.0,10.0,0.0,1.0,0.0,0.0,0
6001,0.9999999,34.0,0.0,0.3357388,11362.0,3.0,0.0,2.0,0.0,1.0,0
6774,0.050904956,73.0,1.0,0.20742264,11666.0,7.0,0.0,2.0,0.0,0.0,0
7157,0.028527671,50.0,0.0,0.10735282,12416.0,6.0,0.0,1.0,0.0,2.0,0
8252,0.06357361,78.0,0.0,223.0,0.0,19.0,0.0,0.0,0.0,0.0,0
8613,0.002599913,55.0,0.0,0.26601106,8134.0,2.0,0.0,1.0,0.0,0.0,0
9329,0.03161417,46.0,0.0,0.2999674,9200.0,8.0,0.0,2.0,0.0,3.0,0
9724,0.025913903,78.0,0.0,0.012362637,2183.0,4.0,0.0,0.0,0.0,1.0,0
9858,0.8536293,56.0,0.0,0.402445,2044.0,7.0,0.0,0.0,0.0,0.0,0
10573,0.9999999,52.0,0.0,0.0,5400.0,5.0,0.0,0.0,0.0,0.0,0
10856,0.063485205,58.0,0.0,0.17137648,3290.0,10.0,0.0,0.0,0.0,0.0,0
10941,0.0,41.0,0.0,0.0,8333.0,1.0,0.0,0.0,0.0,2.0,0
11050,0.015614713,85.0,0.0,0.058094192,10000.0,9.0,0.0,0.0,0.0,0.0,0
11057,0.09734902,34.0,0.0,0.44399184,2945.0,13.0,0.0,1.0,0.0,0.0,1
11575,0.09229909,47.0,0.0,482.0,5400.0,6.0,0.0,0.0,0.0,2.0,0
11994,0.22324374,55.0,0.0,0.4293059,3500.0,3.0,0.0,1.0,0.0,0.0,0
12261,0.023850212,65.0,0.0,0.008748633,6400.0,9.0,0.0,0.0,0.0,0.0,0
12896,0.57284,36.0,1.0,0.470006,6667.0,10.0,0.0,2.0,0.0,0.0,0
12999,0.2748278,36.0,2.0,0.8031548,4500.0,12.0,0.0,2.0,0.0,0.0,0
13053,0.74517345,68.0,0.0,0.1687678,4917.0,4.0,0.0,1.0,0.0,0.0,0
13071,0.72366506,38.0,0.0,2965.0,5400.0,3.0,0.0,1.0,0.0,0.0,0
13217,0.45712107,80.0,0.0,0.521364,19237.0,7.0,0.0,3.0,0.0,0.0,0
13293,0.06888933,39.0,0.0,1.2837993,2610.0,14.0,0.0,1.0,0.0,3.0,0
13421,0.0,45.0,0.0,0.32549995,8850.0,3.0,0.0,1.0,0.0,3.0,0
13428,0.011121044,47.0,0.0,1.5599782,1833.0,15.0,0.0,1.0,0.0,0.0,0
13819,0.07121731,37.0,0.0,0.19,4799.0,7.0,0.0,1.0,0.0,0.0,0
13923,0.4177215,25.0,0.0,171.0,5400.0,8.0,0.0,0.0,0.0,0.0,0
14015,0.10908173,48.0,0.0,0.20451674,6331.0,7.0,0.0,1.0,0.0,2.0,0
14202,0.040165327,75.0,0.0,0.41645184,4266.0,9.0,0.0,3.0,0.0,0.0,0
14851,0.52790403,67.0,0.0,486.0,5400.0,4.0,0.0,1.0,0.0,0.0,0
14910,0.06679555,75.0,0.0,0.24237882,2000.0,7.0,0.0,1.0,0.0,0.0,0
15292,0.10128987,53.0,0.0,1071.0,5400.0,4.0,0.0,1.0,0.0,0.0,0
15683,0.026742943,72.0,0.0,0.005664778,3000.0,1.0,0.0,0.0,0.0,0.0,0
16258,0.14541522,57.0,0.0,0.16283266,2216.0,6.0,0.0,0.0,0.0,0.0,0
16307,0.2929907,53.0,0.0,2000.0,5400.0,21.0,0.0,2.0,0.0,0.0,0
16533,0.017210783,59.0,0.0,1240.0,5400.0,6.0,0.0,1.0,0.0,0.0,0
16854,0.7669077,34.0,2.0,0.021596858,4583.0,3.0,0.0,0.0,1.0,0.0,0
18807,1.0356027,34.0,3.0,1.5316092,695.0,8.0,0.0,0.0,2.0,0.0,0
18835,0.011375782,63.0,0.0,1844.0,5400.0,12.0,0.0,1.0,0.0,0.0,0
19025,0.0,45.0,0.0,0.33847472,3500.0,6.0,0.0,1.0,0.0,0.0,0
19190,0.9999999,25.0,0.0,0.38452163,1640.0,2.0,0.0,0.0,0.0,0.0,0
19494,0.5012159,65.0,0.0,0.13751946,3853.0,3.0,1.0,0.0,0.0,0.0,0
19999,0.8254279,45.0,0.0,0.74480665,5920.0,10.0,0.0,1.0,0.0,1.0,0
20220,0.0,41.0,0.0,0.078658074,5275.0,4.0,0.0,0.0,0.0,2.0,0
20381,0.28095686,40.0,0.0,0.6623037,5347.0,12.0,0.0,2.0,0.0,1.0,0
20390,0.9999999,44.0,0.0,0.5309469,10000.0,7.0,0.0,2.0,0.0,0.0,0
20494,0.0717633,47.0,0.0,0.24462043,12500.0,5.0,0.0,1.0,0.0,2.0,0
20772,0.0,53.0,0.0,0.4177469,12959.0,9.0,0.0,4.0,0.0,0.0,0
20890,0.00931117,50.0,2.0,0.20786196,8750.0,4.0,0.0,1.0,0.0,3.0,0
20913,0.27445123,58.0,0.0,0.3109459,3900.0,6.0,0.0,1.0,0.0,0.0,0
21376,0.69228846,37.0,0.0,0.3151282,3899.0,3.0,0.0,1.0,0.0,3.0,0
21919,0.07034841,48.0,0.0,0.34570906,11500.0,4.0,0.0,1.0,0.0,2.0,0
22180,0.21850161,49.0,0.0,0.96340734,5000.0,10.0,0.0,4.0,0.0,2.0,0
22224,0.023867318,43.0,1.0,0.069360115,4281.0,14.0,0.0,0.0,0.0,0.0,0
22606,0.050140366,37.0,0.0,69.0,0.0,6.0,0.0,0.0,0.0,4.0,0
22667,0.06126258,53.0,0.0,0.72570974,2500.0,11.0,0.0,1.0,0.0,0.0,0
