instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,lightgbm,lime,0.046586625,-0.031432092,0.033768173,-0.020913508,0.020900374,-0.0010495067,0.10852463,0.009648784,0.09740738,-0.00919123
1902,0,gmsc,lightgbm,lime,0.043805104,-0.016929328,0.042219296,-0.015086363,0.012512964,0.011044746,0.11799216,0.0020309745,0.082569785,-0.011083323
2025,0,gmsc,lightgbm,lime,0.051518574,-0.023523588,0.038466867,-0.020194612,0.022957498,0.0064927237,0.12496635,0.0061170305,0.084905945,0.0008857941
2278,0,gmsc,lightgbm,lime,0.044914477,-0.024548303,0.037895896,-0.013522268,0.015922626,0.01747342,0.1127746,0.0072039184,0.07598501,0.0023003195
2559,0,gmsc,lightgbm,lime,0.044327967,-0.029149149,0.04360174,-0.018306805,0.029735968,0.013338416,0.11797911,-0.00035195038,0.09342664,-0.0013325339
2657,0,gmsc,lightgbm,lime,0.05947407,-0.029812003,0.037233077,-0.013905764,0.017892882,0.014065671,0.11485523,0.009816097,0.090204105,0.013212223
2746,0,gmsc,lightgbm,lime,0.04602651,-0.019671526,0.038177602,-0.018470034,0.01272501,0.013195771,0.12199188,0.009153708,0.09157859,-0.01055918
2805,0,gmsc,lightgbm,lime,0.064140074,-0.020603323,0.032767277,-0.017129345,0.022083577,0.0025925976,0.11412149,0.011009349,0.07967545,0.0042417184
2903,0,gmsc,lightgbm,lime,0.04985854,-0.021622607,0.039720327,-0.0033925446,0.020090664,0.012173411,0.12056011,0.0035426011,0.083627924,-0.0065798736
3817,0,gmsc,lightgbm,lime,0.05155479,-0.021777047,0.045485005,-0.023023598,0.027084034,0.006066337,0.10964794,0.010072858,0.091441795,-0.0034304808
3878,0,gmsc,lightgbm,lime,0.04751618,-0.01634349,0.043362625,-0.028778618,0.017339936,-0.0054330057,0.105336815,-0.0071515553,0.092212036,-0.00180381
4175,0,gmsc,lightgbm,lime,0.058709133,-0.016274128,0.041878644,-0.013669272,0.01424904,-0.0063397246,0.11110237,0.0026659276,0.08242344,-0.006735881
4603,0,gmsc,lightgbm,lime,0.035725314,-0.028612493,0.049484283,0.0004240639,0.01707327,0.013233232,0.12360455,-0.0030763356,0.08579525,-0.0032660423
4798,0,gmsc,lightgbm,lime,0.046251148,-0.026953507,0.03441162,-0.02126744,0.013348748,-0.002629872,0.11619297,0.007635968,0.08444959,-0.012205325
4927,0,gmsc,lightgbm,lime,0.043176312,-0.016187832,0.028568085,-0.009727978,0.017897008,0.014685874,0.12360196,0.005849403,0.079261936,0.0030951602
5440,0,gmsc,lightgbm,lime,0.050139472,-0.016119579,0.042930886,-0.012598029,0.015140572,0.009396575,0.11589964,0.0067753866,0.08833611,-0.020682814
5655,0,gmsc,lightgbm,lime,0.06004725,-0.0369528,0.023635764,-0.017602336,0.005409381,0.0019592498,0.10647862,0.0079110805,0.0779026,0.0062122783
5806,0,gmsc,lightgbm,lime,0.044610452,-0.01773434,0.039458144,-0.015144281,0.020551946,0.009882456,0.11805106,0.014249135,0.08284393,-0.014158385
6001,0,gmsc,lightgbm,lime,0.047237556,-0.015957218,0.04348198,-0.029172136,0.013392132,0.010763084,0.11345297,0.0026206872,0.080609925,-0.010986678
6774,0,gmsc,lightgbm,lime,0.043192893,-0.017767716,0.04975906,-0.02160529,0.006178679,-0.0023544135,0.12254822,0.0053439196,0.09586487,0.0023663961
7157,0,gmsc,lightgbm,lime,0.03936904,-0.027916688,0.045234233,-0.012594602,0.011244374,0.008014704,0.10909948,0.008723616,0.09230963,-0.008438492
8252,0,gmsc,lightgbm,lime,0.053331047,-0.016224723,0.030870818,-0.013530377,0.0124089625,0.0036841212,0.11599958,-0.0029132706,0.09502162,-0.003978738
8613,0,gmsc,lightgbm,lime,0.050640054,-0.023234509,0.045923,-0.00948794,0.022405459,0.0045142276,0.124020934,0.009059289,0.078508146,0.003133268
9329,0,gmsc,lightgbm,lime,0.050594293,-0.031806424,0.03707077,-0.011372812,0.0136246905,-0.002914291,0.12359245,0.0053056176,0.08327281,-0.0017016002
9724,0,gmsc,lightgbm,lime,0.047526974,-0.03107033,0.03790992,-0.011498273,0.016243111,0.012830675,0.11229965,0.0074090012,0.09739069,0.0054655
9858,0,gmsc,lightgbm,lime,0.048196327,-0.010447457,0.035230566,-0.019164141,0.013990314,0.01063845,0.12564068,0.0013412847,0.08178069,-0.0130483825
10573,0,gmsc,lightgbm,lime,0.047121048,-0.029651612,0.043657124,-0.017302088,0.01858073,-0.003345792,0.11784264,0.001767411,0.097978674,0.0011347963
10856,0,gmsc,lightgbm,lime,0.04449166,-0.009589371,0.036058318,-0.01749379,0.02864616,0.012153051,0.117350474,0.008956678,0.09098581,0.011904935
10941,0,gmsc,lightgbm,lime,0.054959565,-0.019428607,0.037476834,-0.017592922,0.021347003,0.00310377,0.118280165,0.007930034,0.09026599,-0.010343085
11050,0,gmsc,lightgbm,lime,0.047389027,-0.02453938,0.034146044,-0.011729939,0.0086195385,0.010758442,0.11779669,0.00383508,0.08881645,-0.009140035
11057,1,gmsc,lightgbm,lime,0.05714504,-0.016979065,0.041882377,-0.015637148,0.009293116,0.013144201,0.11108369,0.008215085,0.08237116,-9.3090726e-05
11575,0,gmsc,lightgbm,lime,0.06479348,-0.022930808,0.025980614,-0.0056812186,0.025086056,0.0067544053,0.110521145,0.006551962,0.09332234,-0.009725803
11994,0,gmsc,lightgbm,lime,0.047188316,-0.023981933,0.036839146,-0.019773696,0.013722862,0.017419511,0.107868426,0.005088374,0.08780565,-0.006993029
12261,0,gmsc,lightgbm,lime,0.05839341,-0.00898055,0.0338537,-0.014060858,0.02019263,0.0027173662,0.116382554,-0.01086022,0.07439913,0.0016128416
12896,0,gmsc,lightgbm,lime,0.04596119,-0.014270558,0.04232558,-0.010262553,0.02386728,0.0017125965,0.11602579,0.0033676166,0.085662715,0.0039805593
12999,0,gmsc,lightgbm,lime,0.053121373,-0.01745298,0.038652085,-0.016493026,0.018480426,0.017689837,0.1055761,0.0063487585,0.087090366,0.0078421105
13053,0,gmsc,lightgbm,lime,0.042124536,-0.019295659,0.037624802,-0.012436263,0.017096985,-2.171054e-05,0.11397284,0.0026938252,0.087899715,-0.0037841464
13071,0,gmsc,lightgbm,lime,0.04813955,-0.01956356,0.02733473,-0.01831601,0.024592683,0.012702941,0.11024751,0.009408688,0.08569733,-0.007273361
13217,0,gmsc,lightgbm,lime,0.044996973,-0.011730034,0.053987693,-0.005996206,0.007788627,0.009645048,0.119228065,0.014613054,0.0925025,0.0056037703
13293,0,gmsc,lightgbm,lime,0.056417454,-0.024603207,0.035972778,-0.017372264,0.040958095,-0.0009793806,0.11911109,0.015642345,0.08654997,-0.013702788
13421,0,gmsc,lightgbm,lime,0.051315818,-0.017493898,0.051082935,-0.023067143,0.032548554,0.0024792927,0.111294396,0.0017939965,0.09000558,-0.008456847
