instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,lightgbm,shap,-0.7969090908188771,-0.3985755392617095,-0.18434031101837173,-0.2163581402722291,-0.055332828538225236,0.5005826926599007,-0.09262752617097401,-0.013139244074736553,-0.05557710255443509,0.02417234425270299
1902,0,gmsc,lightgbm,shap,-0.9252449303507005,0.15816669094310562,-0.18966028775915103,-0.09891113970202942,0.06375167729156925,-0.25689436321295805,-0.09398142761248347,-0.09899944268513361,-0.055936085204339174,-0.005040190822408126
2025,0,gmsc,lightgbm,shap,-0.9533556954634342,-0.20562807015491033,-0.20628072651829082,0.22240944688337672,-0.07669340422151946,-0.332360120720562,-0.09736290493588583,-0.04780981454883121,-0.05515364789885141,-0.04082734338243853
2278,0,gmsc,lightgbm,shap,-0.343239038056096,-0.11550207522174853,-0.17229888401779028,0.37336591809548714,0.22005786269004934,0.2272442518596418,-0.08200802345586053,0.04485342878805077,-0.03862871464364478,-0.00718040111626843
2559,0,gmsc,lightgbm,shap,-0.9029436557488155,0.20700977214179267,-0.1887122337152242,0.11020228622792207,0.15882520946363018,-0.2814500683695301,-0.09342668119280934,-0.08622029320656932,-0.056141841817235014,-0.018893587220411356
2657,0,gmsc,lightgbm,shap,0.008544808656232836,0.200323562374784,-0.1767550978955576,-0.11268266064555493,-0.007308504280666624,-0.11843952160177125,-0.09236366166316978,-0.1234219379642984,-0.05344264845650311,0.018914203992309725
2746,0,gmsc,lightgbm,shap,0.2990042481070848,0.16992405946288341,-0.18333312852195272,-0.1897195402849506,-0.03712162415869067,-0.19365191823211017,-0.10511812621373326,0.11776387885538674,-0.05722982779984422,0.034950826064626864
2805,0,gmsc,lightgbm,shap,0.009889208393060608,0.20574701381345312,-0.16317346852296805,0.17776509413621458,-0.1423626897966378,-0.21031112117475784,-0.08900128707525728,-0.11876760560344887,-0.0541921576742901,-0.012773305173739619
2903,0,gmsc,lightgbm,shap,-0.4066210954141047,0.12995829960028343,-0.18386303885566851,0.08833165483698262,-0.03639375444498887,-0.18492450817527448,-0.08626342838675265,-0.09034110639914483,-0.0570424663842821,-0.0070326795316386715
3817,0,gmsc,lightgbm,shap,-0.45447822907841834,0.2140517665148942,1.1139770142450076,0.056099768882331064,0.08389191873592006,-0.08208678163142044,-0.10547216145759282,-0.09883087435593055,-0.06066263197449293,-0.01724832300227033
3878,0,gmsc,lightgbm,shap,0.26117359301093024,0.16168105396259283,-0.1595052015519879,0.44373897794754713,-0.0020140822200214953,0.10396919939686237,-0.10475306579062799,0.03251980967925457,-0.055118249146441076,-0.005189825770872067
4175,0,gmsc,lightgbm,shap,0.4397260818435804,-0.24695512789414462,-0.18195171666970858,0.04290620641700549,-0.21125720247381008,0.2873597953126653,-0.12281419066869599,-0.09766992742944812,-0.06033415062386036,-0.013123310202247388
4603,0,gmsc,lightgbm,shap,-0.638719819676839,-0.32184024765394786,-0.21863841652581148,-0.3785146819607555,-0.09187055720458805,-0.16724523978670966,-0.09266563151728363,-0.14845124067092771,-0.05885866554386653,-0.0018842665102677487
4798,0,gmsc,lightgbm,shap,1.2726167412350893,0.28485528460558046,-0.13403856742217551,0.2539601836250903,0.020267104651078234,-0.058700005190869625,1.4940795922969528,-0.017459496666158536,-0.08363418064824918,-0.03781870199475126
4927,0,gmsc,lightgbm,shap,0.585974284762931,0.23564882259125614,-0.18381631605289298,-0.05226865314364151,-0.00624652378588419,-0.19421385722455345,-0.11896635057515623,0.05134362253439099,-0.06279870981375203,-0.06755690318578932
5440,0,gmsc,lightgbm,shap,-0.7034972593307541,-0.08782506867903733,1.0544023842825956,-0.006689967915470709,-0.16626756318868832,0.3188831558413863,-0.11084227132816125,-0.11900186730784047,-0.05933748002104432,-0.045686014943897374
5655,0,gmsc,lightgbm,shap,0.19650403581774345,0.1963308424541558,0.9180425617516167,-0.017219015829355807,-0.009652573453224157,-0.17907390851525432,-0.11839845556426135,0.06703845551660051,-0.060662687502369604,-0.05538516077637717
5806,0,gmsc,lightgbm,shap,-0.65613980282701,0.1456533896749994,-0.18311644116098102,-0.2949363349387442,-0.051905470302774946,0.1500880016938623,-0.08984226522251416,-0.14051509393778241,-0.05112244757788929,-0.0020918983431223166
6001,0,gmsc,lightgbm,shap,1.303322367543065,0.3986629223675651,-0.1957899515735027,-0.03023634952460585,-0.28921773877548634,-0.23463446970518442,-0.15661822056855884,-0.010623137466196546,-0.06851768997070157,0.034289997537122786
6774,0,gmsc,lightgbm,shap,-0.5864842672766907,-0.3107753423079877,1.2557110009123376,-0.15318180212121088,-0.24640483175827704,-0.0772810418683881,-0.11694684786324719,-0.03549367907949766,-0.06277591636408753,0.010208646672912621
7157,0,gmsc,lightgbm,shap,-0.8262695504929192,0.12701915484568846,-0.1941114490814282,-0.23627520707330935,-0.2052299130131784,-0.1359745664608642,-0.09196249446856106,-0.1483319684272613,-0.05688636516910302,-0.01710809912688069
8252,0,gmsc,lightgbm,shap,-0.7002492007226825,-0.6156971598233695,-0.1451901935606437,0.1208501288633417,-0.4257536974044451,0.44875224938386565,-0.08887343969316555,-0.01914419676483115,-0.05205743883304551,-0.007677147759045175
8613,0,gmsc,lightgbm,shap,-0.9093083164927047,-0.02210098644022271,-0.19771035270505746,-0.0587342095831953,-0.05171619516845643,-0.2914483002711948,-0.09160062723967693,-0.09784513235537716,-0.05809219071425166,-0.008931854564633301
9329,0,gmsc,lightgbm,shap,-0.8417136273428929,0.17335195925620664,-0.18678559627757313,-0.09278415106765574,-0.04039419124718075,-0.09884089823134125,-0.0929188562427791,-0.03688894448412309,-0.054268487830857616,-0.03666731942889088
