instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,mlp,lime,0.13586032,-0.0077285063,0.05066452,-0.010903313,0.0067243404,-0.007588895,0.14513966,0.0009917286,0.118669875,0.007955912
1902,0,gmsc,mlp,lime,0.14060487,0.009735311,0.04319925,0.0017226156,0.0126383295,-0.0105735315,0.13791345,-0.0029844672,0.12996706,-0.0019398822
2025,0,gmsc,mlp,lime,0.14278285,-0.005583975,0.054911274,0.007572938,-0.005188906,-0.0025135365,0.14276609,0.0051006656,0.12627321,-0.0016349384
2278,0,gmsc,mlp,lime,0.13585822,-0.009999174,0.048284285,-0.0081263585,0.010277607,-0.0012267008,0.14372437,-0.0056248275,0.1229283,0.009426394
2559,0,gmsc,mlp,lime,0.14497273,-0.00036485057,0.047581386,-0.0032001731,-0.0002828693,-0.0007020881,0.14715654,-0.0006013055,0.13080265,0.010002362
2657,0,gmsc,mlp,lime,0.13501781,-0.006254946,0.05816055,-0.0024513586,-0.0003058502,-0.009115884,0.15941612,0.00034483126,0.10789734,0.008389615
2746,0,gmsc,mlp,lime,0.1411368,-0.010163441,0.048929106,0.0055748583,0.014523213,0.0031464722,0.13503519,0.0008729255,0.12060543,0.00030156784
2805,0,gmsc,mlp,lime,0.12909257,0.0045318296,0.05109891,0.0026615004,-0.009205225,0.0019286175,0.14512256,0.0025428222,0.11449865,0.0088921925
2903,0,gmsc,mlp,lime,0.13494588,-0.013691613,0.047971524,-0.018098235,0.002476203,0.000522787,0.13541381,0.011607679,0.11335418,0.004779463
3817,0,gmsc,mlp,lime,0.14423671,-0.012076084,0.051072642,4.529981e-05,0.0025463768,-0.0019809485,0.14987071,-0.0038245332,0.12095167,0.0003825147
3878,0,gmsc,mlp,lime,0.1415714,-0.0044203345,0.06276011,-0.006165459,0.001762377,-0.012331104,0.14054757,0.0073897447,0.12733853,0.0014937352
4175,0,gmsc,mlp,lime,0.1346893,-0.0029524176,0.050726283,-0.0018832099,0.00041090036,-0.002674559,0.14721933,-0.001433616,0.11729199,0.00098848
4603,0,gmsc,mlp,lime,0.1505356,0.010114135,0.039186858,-0.0068061897,0.019591818,0.006916119,0.14614516,0.006997449,0.11097625,0.005715979
4798,0,gmsc,mlp,lime,0.14445876,0.004777349,0.05193568,0.0028676756,0.011619133,-0.0028119886,0.13831578,0.0099443635,0.12505518,0.00838488
4927,0,gmsc,mlp,lime,0.14344274,-0.0011655597,0.04857478,-0.0051742126,0.013022679,-0.011056289,0.14128311,0.007244473,0.12465401,-0.0032831216
5440,0,gmsc,mlp,lime,0.13713072,-0.0014123272,0.050346427,0.006269198,0.014776218,0.0006819247,0.15146986,0.0017484365,0.11345043,0.00035820686
5655,0,gmsc,mlp,lime,0.14682263,-0.011793617,0.05213733,0.0042807763,0.0069396487,-0.005360005,0.14548515,0.001707008,0.1256357,-0.0064863544
5806,0,gmsc,mlp,lime,0.14421257,-0.003948784,0.05410568,0.0029955797,0.014851192,-0.008597912,0.16391128,-0.008516309,0.13226987,0.008853116
