instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,mlp,shap,-0.000143724180220281,-0.010824293225702449,-0.022105420374719822,0.00216293990116343,-0.012324897368920363,0.0038411482623814347,-0.016588099976382612,0.005082784360857145,-0.00934012933392659,0.00045634691229998284
1902,0,gmsc,mlp,shap,-0.000835175170269728,0.005117119817930169,-0.028001786263542185,0.002181120832107253,-0.009907095759536513,-0.005017602741628774,-0.014823315343084382,-0.005429841722174807,-0.008941200359844149,-0.000547925946836922
2025,0,gmsc,mlp,shap,-0.0007131496943011587,-0.005468288399789996,-0.02890298057326732,0.0010197664800362521,-0.001823293468691361,-0.004925662245596917,-0.014051647314881876,0.0015987761101677034,-0.009213394343927412,-0.0028452618496838497
2278,0,gmsc,mlp,shap,-0.00021999921754765894,-0.004648519286681017,-0.027258235783367644,0.0033285094552184293,0.007193040090866592,0.0011027449919345296,-0.015462728340637952,0.0023276932138905563,-0.010621774367936196,-0.003514911460467419
2559,0,gmsc,mlp,shap,-0.0021036504147879534,0.007476024323914095,-0.03261473806198269,0.002135301318464719,0.004963162632868279,-0.0033423049055226087,-0.01474285125171919,-0.006770207018372376,-0.00987442556379737,-0.0009204084770304445
2657,0,gmsc,mlp,shap,-0.0004532153400604172,0.0053821782454698186,-0.027708670998907534,0.0018158724480583967,-0.0041338160105902485,-0.007311859711198841,-0.013899734989819647,-0.007308606738535221,-0.00772941757995238,0.0012772030966093962
2746,0,gmsc,mlp,shap,0.00018028010756464957,0.006750895370437565,-0.030245592097099528,0.0022076969933162213,-0.0071605714204308855,-0.004457096426244073,-0.014836094414197252,0.0038937456630683738,-0.008927228847826329,0.0028703809316916505
2805,0,gmsc,mlp,shap,-0.0005901263257831885,0.011541725246940452,-0.028252750108700788,0.0007357776283403324,-0.005411859950455875,0.009403708076359688,-0.016311460553406498,0.003033825418018137,-0.0112685194189359,0.0015345820842378715
2903,0,gmsc,mlp,shap,-0.00030688694344499707,0.014094447782582563,-0.02913558724728852,0.0030646082764559613,-0.001917870964077054,0.025495559828060316,-0.017974595596736358,-0.004528939637530296,-0.013891302628616433,-6.254314981464851e-05
3817,0,gmsc,mlp,shap,-0.00023274400093782274,0.004282243013039688,0.027218144505768663,0.0048234780652878706,0.002789814477989965,-0.006550647745857396,-0.01661690920016851,-0.011446585564177329,-0.009697129484191385,-0.004636054039097793
3878,0,gmsc,mlp,shap,-0.0005384806920385847,0.007771837598260649,-0.029630699022409973,0.0030961141011656827,-0.0026876556939623365,-0.0074324463552727475,-0.0149448998302069,0.0024072096181152395,-0.010096758673151586,-0.0004189637406007071
4175,0,gmsc,mlp,shap,3.1891146804921555e-05,-0.005113380320103134,-0.02530200849019667,0.0008231944269874036,-0.01349479366547917,-0.002022906170889576,-0.011917258365684406,-0.005143342642824642,-0.006635624585560122,-0.00016050617858858995
4603,0,gmsc,mlp,shap,-0.0007931013937368409,-0.013574816003192783,-0.021915128700900066,-0.007644672799437642,-0.0006611213520814618,-0.003916727238945298,-0.01244035616975848,-0.003554203759356187,-0.007484837024088724,-0.0028383167553798928
4798,0,gmsc,mlp,shap,0.006215703473596091,0.026186063990619145,-0.017650694428577536,0.004310297751424167,-0.003688943525792005,0.11697260864663836,0.16904116261516566,-0.015973354252969647,-0.008048572380162846,-0.005649815445335216
4927,0,gmsc,mlp,shap,0.0004568790535058149,0.009631967703318102,-0.03399108097780948,-0.004629338733725017,-0.0012897133083196954,0.00019393295018214907,-0.019533515133983714,0.0038696718986853036,-0.011463025472531127,0.005267802572048631
5440,0,gmsc,mlp,shap,-0.000954494206413371,-0.005506827458821096,0.020658017460175985,0.00032337632338603345,-0.02349030736009562,-0.009150942151692973,-0.01279602908556114,-0.00984312557046049,-0.00858376515472491,-0.0040242588094629795
5655,0,gmsc,mlp,shap,-0.0002514389723188952,0.013916022841565292,0.04374777254960963,0.0003726702572107165,-0.0040276418328090945,0.0007963180433619717,-0.01669043215025399,0.0057841588576812,-0.00965520492749126,-0.005863131252383052
5806,0,gmsc,mlp,shap,-0.0004808973910025577,0.0040906642688602985,-0.026714121722319326,-0.009900597896868077,-0.000511296115779833,-0.003942340141261325,-0.014103574768774841,-0.0068422579507893795,-0.009634938908914167,-6.995233402881136e-05
6001,0,gmsc,mlp,shap,0.00035849921424783044,0.015997907578993387,-0.029008285803379337,-9.61499137635477e-05,-0.014130142546925243,-0.0028876405469950785,-0.01787456783176949,0.0027513583916284477,-0.011340662881974217,0.0018666404263195067
6774,0,gmsc,mlp,shap,0.0,-0.013917718574581977,0.03287513429011006,0.002787254301546764,-0.018541037980563946,-0.008530708761315437,-0.015480220027343441,0.002849624760559639,-0.011359939018908187,0.0003439199102418661
7157,0,gmsc,mlp,shap,-0.0005845350625665807,0.0023790500297557965,-0.026497512910548107,0.0011690192290846474,-0.016262868032788928,-0.005866261733234646,-0.012772554331647559,-0.004817358121209053,-0.0077767112155519335,-0.0020401587471520657
8252,0,gmsc,mlp,shap,-0.0004158792585360777,-0.021646830303780406,-0.021665148767720185,-0.0008244899339496098,0.003983915525190183,-0.0003966751944764162,-0.0154756805182461,-0.0004998640293219104,-0.009687512167205094,-0.00047468477025180517
8613,0,gmsc,mlp,shap,-0.0002906947742452523,0.0050684787836789,-0.02843540628493741,0.0030335168160182386,-0.005409899386729832,0.024578285724757364,-0.017827713622042714,-0.004012935659590459,-0.012217595264288708,-0.000762533214239232
