instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,random_forest,lime,0.0752556,-0.036022052,0.03796913,0.0144788455,-0.0025461952,-0.0021375185,0.09040306,-0.0035180345,0.062013,-0.008995171
1902,0,gmsc,random_forest,lime,0.076927505,-0.02111737,0.047916334,0.01226705,-0.0077841817,0.004343362,0.0935819,-0.00094431464,0.060621433,-0.007203751
2025,0,gmsc,random_forest,lime,0.07970199,-0.029921375,0.045158677,0.011806364,-0.001980208,0.0027721117,0.099272616,-0.0014336967,0.060743302,0.005961008
2278,0,gmsc,random_forest,lime,0.07736107,-0.026996378,0.051989153,0.011245347,0.0028948805,0.0035250874,0.09445693,-0.005027477,0.05089754,0.0034070606
2559,0,gmsc,random_forest,lime,0.072372995,-0.028349057,0.052753735,0.0049884347,0.0062376023,0.007328134,0.10091062,-0.0016662147,0.06087191,0.0015209784
2657,0,gmsc,random_forest,lime,0.087959304,-0.024987215,0.047489595,0.013478091,-0.00018774411,0.0072109457,0.09243759,0.0032012274,0.057007402,0.013774774
2746,0,gmsc,random_forest,lime,0.07449368,-0.022620944,0.048811078,0.007842597,-0.0020878946,0.010593024,0.100774355,-0.005417794,0.06218008,-0.0060299695
2805,0,gmsc,random_forest,lime,0.0895594,-0.023246799,0.042077217,0.016949782,-0.0011687938,-0.0011045006,0.09572725,0.0039370335,0.050732918,0.00042133292
2903,0,gmsc,random_forest,lime,0.08865728,-0.027034976,0.045871213,0.009304954,-0.0007690027,0.0038520498,0.1008974,-0.001221816,0.05622936,3.3393433e-05
3817,0,gmsc,random_forest,lime,0.082882196,-0.030375129,0.050122462,0.010707478,0.0021957702,0.0063615264,0.09152757,0.005078032,0.07056035,0.00018530498
3878,0,gmsc,random_forest,lime,0.0756685,-0.023975443,0.049168356,0.007735061,-0.00021471256,-0.004055627,0.084911875,-0.010605222,0.063078836,0.0021009103
4175,0,gmsc,random_forest,lime,0.087114945,-0.019592373,0.05678427,0.012325382,-0.00916536,-0.004961175,0.09102468,-0.007642803,0.059059042,0.001466543
4603,0,gmsc,random_forest,lime,0.08152019,-0.028497903,0.052669227,0.022504445,0.002897096,0.008284735,0.10100703,-0.00954745,0.060197633,-0.00035070445
4798,0,gmsc,random_forest,lime,0.07608634,-0.020806927,0.03932005,0.0064153466,-2.7716578e-05,-0.005539918,0.10311052,0.0029635697,0.06453592,0.0014750569
4927,0,gmsc,random_forest,lime,0.075962394,-0.018314509,0.040138576,0.014064972,0.0012716219,0.0066459896,0.109012105,-0.0041955826,0.05056342,0.0042118207
5440,0,gmsc,random_forest,lime,0.08228244,-0.022641081,0.04853023,0.020552654,-0.0014221944,0.00417749,0.095637724,0.0005688919,0.057800833,-0.0078213215
5655,0,gmsc,random_forest,lime,0.08380248,-0.025582276,0.04178498,0.015299638,0.0016423732,-0.007776763,0.09682521,-0.0039627687,0.05747128,0.008555083
5806,0,gmsc,random_forest,lime,0.07842454,-0.020887388,0.039967198,0.0020736235,0.0032838557,0.008449448,0.09792865,0.0014900328,0.053705152,-0.005025394
6001,0,gmsc,random_forest,lime,0.078423046,-0.019047294,0.04619155,0.01432634,-0.00021847512,0.0015939529,0.09383802,-0.007266028,0.052712437,-0.0042990637
6774,0,gmsc,random_forest,lime,0.07452629,-0.028935306,0.051523723,0.0075045195,-0.0105297025,0.0047907685,0.099097125,-0.006336822,0.06626459,0.004417155
7157,0,gmsc,random_forest,lime,0.072310776,-0.030762183,0.04773688,0.010728795,-0.003658127,0.0044348193,0.091891184,0.0012128863,0.066212215,-0.0021266998
8252,0,gmsc,random_forest,lime,0.08668674,-0.024079477,0.047199007,0.021687618,0.00017595933,0.00031969568,0.092351355,-0.0044824756,0.06306482,-6.827386e-05
8613,0,gmsc,random_forest,lime,0.08400264,-0.02718524,0.04517981,0.020591589,-0.0031768086,-0.0030207292,0.097407945,-0.002576613,0.055510104,0.005841151
9329,0,gmsc,random_forest,lime,0.07957664,-0.025546378,0.045286566,0.012142966,-0.006371556,-0.0050529838,0.10006846,-0.0024034237,0.057815284,-0.0072195986
9724,0,gmsc,random_forest,lime,0.07947769,-0.036851417,0.04252998,0.023919895,0.00046923087,0.0026156022,0.098519884,0.0046076,0.059937954,0.0033333593
9858,0,gmsc,random_forest,lime,0.0736665,-0.021431174,0.053397354,0.011926964,0.0007804614,0.000111762085,0.10190186,-0.004771442,0.052496333,-0.0031735753
10573,0,gmsc,random_forest,lime,0.07857975,-0.030735487,0.05226026,0.008431782,-0.00520226,-0.0038300483,0.09625456,-0.007428165,0.06811486,0.003788736
10856,0,gmsc,random_forest,lime,0.080084674,-0.01756296,0.04237954,0.009204669,0.003414568,0.0066209077,0.09110304,0.0054261135,0.06199484,0.00558125
10941,0,gmsc,random_forest,lime,0.081885114,-0.015660917,0.043757,0.010733777,0.003883147,0.002614512,0.09522977,-0.002270335,0.061098713,-0.008046727
11050,0,gmsc,random_forest,lime,0.0764217,-0.030087316,0.045293402,0.015166574,-0.009339224,0.00571516,0.09711126,-0.003230437,0.06204536,0.0015053584
