instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,random_forest,shap,-0.1556103664005752,-0.06398581828688162,-0.0643357501013198,-0.01846450971938894,-0.013118880308896838,0.022288723820841405,-0.04823867688608155,-0.005025904164316523,-0.027569013726664506,-0.001441194947222175
1902,0,gmsc,random_forest,shap,-0.18301812665572667,0.019498426419257805,-0.06925659818156359,-0.015032617261976857,-0.013610629322112199,-0.014238125674695951,-0.05658668379385428,-0.009931826836949684,-0.03077037493635361,-0.0012789551599499808
2025,0,gmsc,random_forest,shap,-0.18176999379947284,-0.04837388024932129,-0.07241150885388972,-0.0006169284978666812,-0.007488739598886835,-0.017346533652526922,-0.057818127851568105,-0.0040167956714089745,-0.03041981203903248,-0.002347257100696189
2278,0,gmsc,random_forest,shap,-0.14831758531735156,-0.028897024960206442,-0.06824524360718347,0.02464210463791454,0.017319543778399758,0.015299115724552354,-0.05206715343701758,-0.006055105419107587,-0.029165696822567175,-0.002250438572406421
2559,0,gmsc,random_forest,shap,-0.19001840428973296,0.022791874788055746,-0.070511661041194,0.009769283761118961,0.011919018047885874,-0.016032248354469394,-0.05771045587961465,-0.010777413465375658,-0.03148529366640113,-0.0019929140557116676
2657,0,gmsc,random_forest,shap,-0.11812590271718243,0.02545444395868649,-0.07217922614155282,-0.01623843125413556,-0.007567456554337805,-0.015446756469261453,-0.05562623184440758,-0.010611904616782106,-0.030288468093060003,0.0007005147644834939
2746,0,gmsc,random_forest,shap,-0.0714925437161184,0.0203859691093232,-0.07011540073486337,-0.01733889011338751,-0.014690963738440064,-0.01693632242104382,-0.052932749058422525,0.0005375935002195656,-0.030487295548780238,0.00045451739041750625
2805,0,gmsc,random_forest,shap,-0.11919503000405073,0.026538111996749218,-0.06510899395358957,-0.01887305293584452,-0.0214716677559741,-0.016597620398468984,-0.05144614877018862,-0.0016892696514082056,-0.028502731972126966,-0.001557356431040849
2903,0,gmsc,random_forest,shap,-0.18382656115462592,0.023423157786762322,-0.06699062725796134,0.010604893899133105,-0.008034880016595032,-0.010612047088087575,-0.05871974203346187,-0.011616961231593474,-0.03163897287634959,-0.0022660268632260982
3817,0,gmsc,random_forest,shap,-0.16625449176881316,0.024752098551523882,0.1862935740476327,0.0011182624927852508,0.009785508085089661,-0.009303335385832539,-0.05285029663915199,-0.010606341026088435,-0.03446788989465258,-0.0025979028133842814
