instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,xgboost,lime,0.051871456,-0.04544641,0.05470761,0.022674989,0.024083776,-0.0019633656,0.11879772,-0.011442247,0.10909703,-0.0051018046
1902,0,gmsc,xgboost,lime,0.053168345,-0.035548136,0.066158675,0.019114414,0.025043799,0.022944989,0.121506415,-0.0149966935,0.09895752,-0.0031329591
2025,0,gmsc,xgboost,lime,0.0636105,-0.041171093,0.068690814,0.032066166,0.030607004,0.0107072815,0.12399023,-0.0019876733,0.1038702,0.008981822
2278,0,gmsc,xgboost,lime,0.05602334,-0.0387714,0.06605787,0.040467773,0.03062966,0.024228727,0.12058885,-0.012444334,0.08892852,0.016427547
2559,0,gmsc,xgboost,lime,0.051256184,-0.04159211,0.077224575,0.015803743,0.036673605,0.016825328,0.12815826,-0.013382297,0.104004286,-0.0029331944
2657,0,gmsc,xgboost,lime,0.064880386,-0.040797763,0.064002976,0.028762424,0.028163576,0.0152718,0.12599051,-0.0119331535,0.09315464,0.016322212
2746,0,gmsc,xgboost,lime,0.059308253,-0.027314793,0.06475521,0.023916794,0.037840355,0.014931216,0.12694038,-0.013989057,0.10119118,-0.0060042855
2805,0,gmsc,xgboost,lime,0.081420325,-0.04172446,0.061026406,0.026060674,0.031460475,0.01273952,0.1241045,-0.006989729,0.09280806,0.01156241
2903,0,gmsc,xgboost,lime,0.0596203,-0.034141053,0.060806725,0.035000045,0.030863171,0.010531804,0.13172404,-0.012175852,0.0974883,-0.0056182947
3817,0,gmsc,xgboost,lime,0.075602435,-0.040455226,0.07541519,0.021870632,0.043868396,0.015611521,0.11314402,-0.0023265644,0.11683858,-0.0026879013
3878,0,gmsc,xgboost,lime,0.056117777,-0.030664448,0.07296061,0.016500007,0.029363,0.0031957934,0.11681645,-0.018753119,0.108133525,-0.005245641
4175,0,gmsc,xgboost,lime,0.065530926,-0.03737265,0.07190858,0.023061812,0.0154587915,0.0024228499,0.12199898,-0.015212427,0.0961869,-0.008443775
4603,0,gmsc,xgboost,lime,0.04320851,-0.03592616,0.07463993,0.049481142,0.024479218,0.014044312,0.13264783,-0.013456921,0.090446725,0.0010108092
4798,0,gmsc,xgboost,lime,0.06194884,-0.029895429,0.05175977,0.025668796,0.037065107,-0.0030623528,0.13178287,0.0034541017,0.09554094,-0.00044524376
4927,0,gmsc,xgboost,lime,0.050955683,-0.025611645,0.05616693,0.028281828,0.033033002,0.025368989,0.14460926,-0.0042482074,0.08975165,0.0034693833
5440,0,gmsc,xgboost,lime,0.07102248,-0.040391613,0.07211744,0.03535033,0.02705654,0.018363519,0.12041227,-0.0062466203,0.10109816,-0.005401496
5655,0,gmsc,xgboost,lime,0.06791479,-0.04348252,0.056689873,0.020835932,0.022887427,0.0012076254,0.1232012,-0.0077897618,0.09666129,0.014521574
5806,0,gmsc,xgboost,lime,0.04782576,-0.02663616,0.06657778,0.022260703,0.024075432,0.015509292,0.12698646,-0.00015671781,0.096771576,-0.010550955
6001,0,gmsc,xgboost,lime,0.054936673,-0.021139892,0.07360897,0.023311833,0.027992453,0.019671626,0.123480015,-0.01791241,0.09854909,-0.0061169136
6774,0,gmsc,xgboost,lime,0.0449032,-0.04267469,0.069003925,0.024554417,0.012682913,0.011598191,0.13203175,-0.008484358,0.112889886,-0.0009512393
7157,0,gmsc,xgboost,lime,0.047892563,-0.04123325,0.06839561,0.023388213,0.011136008,0.006207653,0.11856923,0.00020449304,0.1047483,-0.0030707112
8252,0,gmsc,xgboost,lime,0.059829757,-0.036672026,0.064471714,0.03927427,0.02254434,0.014613212,0.13055171,-0.015837561,0.10935009,0.009511438
8613,0,gmsc,xgboost,lime,0.06787925,-0.0360718,0.07082608,0.034941927,0.02984357,0.010424194,0.12734093,-0.0061710826,0.086746335,0.0072487355
9329,0,gmsc,xgboost,lime,0.05443281,-0.040173158,0.062223148,0.036996447,0.02321524,0.004395519,0.14129062,-0.0034866082,0.10248282,0.002145342
9724,0,gmsc,xgboost,lime,0.05584816,-0.041368887,0.061301105,0.041302063,0.0285305,0.0060807653,0.11612101,0.001064899,0.1054076,0.0059281467
9858,0,gmsc,xgboost,lime,0.05772779,-0.030402139,0.063319385,0.018717147,0.028952522,0.0134376995,0.13391252,-0.011279901,0.09402211,-0.0038375715
10573,0,gmsc,xgboost,lime,0.061020102,-0.03673152,0.07570599,0.024905631,0.024433443,0.008712839,0.12735014,-0.016652549,0.1019773,0.008702674
10856,0,gmsc,xgboost,lime,0.055854585,-0.023003742,0.061942343,0.021195147,0.04023405,0.021889735,0.11676791,-0.000656058,0.09869987,0.009070727
10941,0,gmsc,xgboost,lime,0.06327807,-0.033797793,0.063087024,0.020241875,0.04068516,0.002771404,0.117850594,-0.00623272,0.10644977,-0.0021905173
11050,0,gmsc,xgboost,lime,0.057732884,-0.043561723,0.060628,0.04362167,0.022220578,0.014099559,0.121746786,-0.0056271935,0.09982415,-0.0006258639
11057,1,gmsc,xgboost,lime,0.058791973,-0.021033736,0.06981654,0.02636913,0.025152562,0.016549394,0.11181332,-0.008236782,0.09762817,-0.008197546
11575,0,gmsc,xgboost,lime,0.07994862,-0.043819297,0.06330026,0.032974754,0.032589484,0.022026224,0.12319492,-0.0043225917,0.10266365,-0.00837684
11994,0,gmsc,xgboost,lime,0.058552854,-0.046997696,0.06983097,0.014854317,0.029784892,0.016010458,0.12138485,-0.017490478,0.10294152,0.0018933732
12261,0,gmsc,xgboost,lime,0.0644446,-0.017249353,0.06398489,0.027550451,0.031417552,0.015208793,0.12580925,-0.02144074,0.0887587,-0.0032398032
12896,0,gmsc,xgboost,lime,0.05096706,-0.028410029,0.068796374,0.032591518,0.033271864,0.009555055,0.119973935,-0.009814112,0.09470381,0.009286609
12999,0,gmsc,xgboost,lime,0.053444467,-0.035636883,0.07373935,0.037501346,0.03282087,0.021979619,0.11368774,-0.0036386969,0.1029329,0.0136770755
13053,0,gmsc,xgboost,lime,0.053635743,-0.03663123,0.07211662,0.033942133,0.025056979,-0.00033707844,0.12296666,-0.0030444125,0.10430793,-0.0006639537
13071,0,gmsc,xgboost,lime,0.0595486,-0.03022602,0.05934613,0.02602157,0.029386854,0.023363901,0.120912604,-0.005874853,0.09703205,0.00618437
