instance_index,actual_default,dataset,model,explainer,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1306,0,gmsc,xgboost,shap,-1.2341282,-0.38189572,-0.3395182,-0.40662098,-0.027274717,0.39467514,-0.25974405,-0.056647945,-0.13540483,0.0029401279
1902,0,gmsc,xgboost,shap,-1.3397706,0.1257967,-0.34644,-0.25745925,0.030832706,-0.2376918,-0.26075745,-0.14484556,-0.13501953,0.0073399297
2025,0,gmsc,xgboost,shap,-1.3891767,-0.31810638,-0.38041577,0.17381404,-0.09823192,-0.31896827,-0.27389085,-0.042613164,-0.13940242,-0.034703318
2278,0,gmsc,xgboost,shap,-0.7653832,-0.17393072,-0.2962832,0.33546036,0.2054485,0.18136315,-0.22833961,-0.017702974,-0.11458926,-0.014082541
2559,0,gmsc,xgboost,shap,-1.2581068,0.08936904,-0.34364858,0.03234642,0.102855645,-0.27833223,-0.25985715,-0.15561093,-0.13217902,-0.019966917
2657,0,gmsc,xgboost,shap,-0.44728357,0.14401966,-0.31420773,-0.17864914,-0.02293068,-0.13646123,-0.24658662,-0.14675309,-0.12688228,0.012513253
2746,0,gmsc,xgboost,shap,-0.11603698,0.12032391,-0.31637287,-0.15270728,-0.0519279,-0.18889579,-0.28046194,0.07001715,-0.12525289,0.028580267
2805,0,gmsc,xgboost,shap,-0.5391843,0.09967083,-0.27855542,0.068572246,-0.11744511,-0.1879459,-0.23815168,-0.029345896,-0.13239335,-0.01547825
2903,0,gmsc,xgboost,shap,-0.86994416,0.048964772,-0.3301738,0.037539516,-0.0059424946,-0.14896323,-0.25036266,-0.13436928,-0.13454783,-0.007382328
3817,0,gmsc,xgboost,shap,-0.79656255,0.115874626,0.8575153,0.00030796853,0.008762611,-0.09759625,-0.246457,-0.14020838,-0.14627856,-0.028081726
3878,0,gmsc,xgboost,shap,-0.12893584,0.08402019,-0.27957314,0.44535655,-0.020998655,0.05249758,-0.2824397,-0.008926746,-0.123277426,-0.0081199175
4175,0,gmsc,xgboost,shap,0.031091068,-0.36855283,-0.3132056,-0.03629779,-0.24403603,0.25620466,-0.31460956,-0.115639895,-0.13444409,-0.04756617
4603,0,gmsc,xgboost,shap,-1.1515143,-0.42909446,-0.3883723,-0.4181914,-0.12631644,-0.19853088,-0.26534328,-0.21264721,-0.15090917,-0.0070849396
