instance_index,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,actual_default
260,60000.0,2.0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,60745.0,61085.0,56863.0,18473.0,15434.0,7301.0,2613.0,5900.0,1000.0,428.0,1000.0,2000.0,0
378,180000.0,2.0,1.0,2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,50055.0,5320.0,9758.0,6494.0,32830.0,3267.0,5320.0,10008.0,6500.0,32830.0,3267.0,2650.0,0
403,410000.0,1.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,82735.0,90847.0,74122.0,72363.0,68703.0,66710.0,10000.0,6000.0,4000.0,5000.0,6000.0,3000.0,0
455,50000.0,1.0,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2087.0,2632.0,3355.0,3253.0,3640.0,3512.0,1000.0,1186.0,500.0,1000.0,500.0,1000.0,0
507,320000.0,1.0,2.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,345408.0,340055.0,332945.0,327229.0,320032.0,290003.0,15004.0,13004.0,13004.0,11120.0,11004.0,11010.0,0
526,20000.0,1.0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,18836.0,19147.0,20223.0,19788.0,19927.0,20045.0,1318.0,1394.0,1159.0,678.0,793.0,138.0,0
545,500000.0,1.0,1.0,1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11640.0,12831.0,11520.0,12486.0,11609.0,12660.0,12836.0,11525.0,12489.0,11614.0,12665.0,543.0,1
555,170000.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4360.0,7927.0,49946.0,49464.0,46476.0,19417.0,7000.0,49008.0,1000.0,949.0,1143.0,17336.0,0
581,130000.0,1.0,3.0,2.0,30.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,29344.0,3268.0,6186.0,700.0,1680.0,0.0,1107.0,3025.0,707.0,1680.0,0.0,0.0,0
757,50000.0,2.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,37586.0,38866.0,19240.0,20256.0,20918.0,22081.0,2000.0,1322.0,1338.0,1000.0,1500.0,1000.0,1
775,30000.0,2.0,2.0,1.0,34.0,2.0,2.0,2.0,2.0,0.0,0.0,31746.0,32743.0,32931.0,30727.0,29679.0,30088.0,1800.0,1100.0,0.0,1000.0,2327.0,0.0,1
837,120000.0,2.0,1.0,1.0,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,150.0,974.0,0
918,80000.0,2.0,2.0,1.0,35.0,1.0,2.0,2.0,2.0,2.0,2.0,30997.0,32043.0,31250.0,34109.0,34802.0,34108.0,1852.0,0.0,3711.0,1550.0,0.0,1400.0,1
960,500000.0,1.0,3.0,2.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,211508.0,183713.0,158759.0,119566.0,123098.0,132355.0,10070.0,3066.0,13366.0,20898.0,20155.0,16101.0,0
980,260000.0,2.0,2.0,1.0,41.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,8154.0,1365.0,717.0,717.0,2325.0,1117.0,1365.0,717.0,717.0,2325.0,1117.0,891.0,0
1079,320000.0,2.0,2.0,1.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,520651.0,383123.0,391741.0,400196.0,408503.0,156881.0,10000.0,11000.0,11000.0,10800.0,5992.0,4967.0,1
1130,240000.0,2.0,2.0,1.0,34.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,626.0,1921.0,20740.0,21274.0,888.0,360.0,1921.0,19000.0,2624.0,888.0,360.0,360.0,0
1157,30000.0,1.0,3.0,2.0,42.0,5.0,4.0,3.0,2.0,0.0,0.0,32755.0,31973.0,30937.0,29999.0,29214.0,29846.0,0.0,0.0,6.0,1054.0,1111.0,0.0,1
1189,10000.0,2.0,2.0,2.0,46.0,0.0,0.0,2.0,2.0,3.0,2.0,2496.0,4245.0,4525.0,5450.0,5073.0,4843.0,1800.0,500.0,1000.0,0.0,0.0,800.0,1
1346,50000.0,1.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,35277.0,34627.0,35096.0,9657.0,9617.0,9404.0,1800.0,1600.0,500.0,500.0,341.0,500.0,1
1354,60000.0,2.0,3.0,1.0,47.0,2.0,3.0,2.0,2.0,2.0,2.0,20347.0,19727.0,20909.0,21168.0,21520.0,21805.0,0.0,1800.0,900.0,1000.0,774.0,0.0,1
1434,430000.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,-1.0,-1.0,0.0,41428.0,32303.0,20739.0,12925.0,17566.0,14067.0,17800.0,15023.0,12925.0,17566.0,11000.0,10349.0,0
1641,20000.0,2.0,3.0,1.0,42.0,2.0,2.0,2.0,0.0,0.0,0.0,16478.0,19187.0,18592.0,19431.0,19993.0,-1000.0,2994.0,0.0,1238.0,800.0,0.0,1000.0,1
1726,30000.0,1.0,3.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,28486.0,28182.0,26168.0,23119.0,23268.0,29327.0,2000.0,3000.0,5000.0,3000.0,7000.0,1156.0,0
1868,350000.0,2.0,1.0,1.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,0
1941,500000.0,2.0,2.0,1.0,43.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,42081.0,46495.0,39489.0,12421.0,11345.0,11968.0,16495.0,15720.0,12421.0,11345.0,11968.0,11824.0,0
1971,20000.0,1.0,2.0,1.0,37.0,0.0,0.0,0.0,0.0,2.0,0.0,17214.0,9633.0,10944.0,11280.0,11011.0,7755.0,2248.0,1500.0,757.0,0.0,430.0,1000.0,0
2104,130000.0,2.0,3.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,129329.0,123615.0,107284.0,54656.0,22534.0,8754.0,4505.0,3577.0,1231.0,2534.0,5012.0,2531.0,0
2163,280000.0,2.0,3.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,100858.0,107768.0,111858.0,83428.0,73908.0,81908.0,7768.0,5000.0,10000.0,0.0,8000.0,0.0,0
2183,50000.0,2.0,1.0,2.0,25.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2193,30000.0,1.0,1.0,2.0,31.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,6456.0,4390.0,3016.0,4504.0,5755.0,3560.0,4398.0,3000.0,3009.0,5767.0,3566.0,26444.0,1
2208,330000.0,1.0,2.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,50999.0,50055.0,47398.0,40334.0,34443.0,33898.0,2000.0,2007.0,2000.0,2000.0,2000.0,2000.0,0
2319,250000.0,2.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,-1.0,43694.0,33357.0,44167.0,19806.0,22231.0,6852.0,15284.0,20087.0,5093.0,10000.0,6876.0,0.0,0
2382,200000.0,2.0,1.0,2.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,665.0,2618.0,963.0,1459.0,1028.0,878.0,2618.0,963.0,1459.0,1028.0,878.0,878.0,0
2447,160000.0,1.0,2.0,1.0,43.0,1.0,-2.0,-2.0,-1.0,0.0,0.0,-3.0,-3.0,997.0,1798.0,800.0,0.0,0.0,1003.0,1804.0,202.0,0.0,50000.0,0
2553,300000.0,2.0,2.0,2.0,28.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2588,140000.0,1.0,2.0,2.0,39.0,1.0,2.0,2.0,0.0,0.0,0.0,143673.0,146921.0,143084.0,142011.0,136431.0,128118.0,7000.0,0.0,6000.0,5200.0,5000.0,5000.0,0
2604,20000.0,1.0,2.0,2.0,22.0,1.0,2.0,2.0,2.0,0.0,0.0,19698.0,20305.0,20602.0,19850.0,20277.0,17525.0,2000.0,1300.0,0.0,702.0,620.0,0.0,1
2611,300000.0,1.0,2.0,2.0,38.0,1.0,-1.0,3.0,2.0,-1.0,-1.0,0.0,780.0,780.0,390.0,390.0,390.0,1560.0,0.0,0.0,390.0,390.0,540.0,1
2626,350000.0,2.0,2.0,1.0,49.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,16173.0,9122.0,12228.0,19850.0,8800.0,4260.0,9122.0,12228.0,19850.0,8800.0,4260.0,17660.0,0
2647,120000.0,1.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,92677.0,92809.0,93392.0,93609.0,95055.0,96761.0,4516.0,5005.0,5006.0,5014.0,5008.0,4008.0,0
2663,710000.0,2.0,4.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,377249.0,382116.0,391305.0,195642.0,189101.0,182062.0,11000.0,12000.0,8000.0,7000.0,7000.0,6500.0,0
2668,20000.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,6620.0,7556.0,8570.0,10020.0,9715.0,10153.0,1200.0,1300.0,1600.0,0.0,600.0,600.0,0
2761,200000.0,1.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,141634.0,145060.0,148817.0,154033.0,155435.0,151806.0,5700.0,6000.0,7600.0,5421.0,5400.0,5316.0,0
2775,300000.0,2.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,53377.0,54984.0,56738.0,57282.0,58575.0,59653.0,2500.0,2640.0,2080.0,2246.0,2174.0,3000.0,0
2799,30000.0,1.0,2.0,2.0,35.0,3.0,2.0,2.0,0.0,0.0,0.0,13461.0,14179.0,13654.0,13979.0,15525.0,0.0,1228.0,0.0,553.0,1825.0,0.0,0.0,1
2839,100000.0,2.0,2.0,2.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,96638.0,98491.0,99983.0,100555.0,103300.0,101471.0,4300.0,4000.0,3100.0,4500.0,0.0,3845.0,1
2959,160000.0,1.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,157186.0,136159.0,96395.0,58773.0,60737.0,115158.0,6227.0,5000.0,5000.0,3000.0,60000.0,5000.0,0
2960,90000.0,1.0,3.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,0.0,88072.0,90221.0,91898.0,91334.0,59253.0,58519.0,4500.0,4000.0,2090.0,0.0,2078.0,2900.0,1
3033,10000.0,1.0,2.0,1.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,10171.0,8150.0,8446.0,8067.0,8227.0,8400.0,2.0,1281.0,1134.0,294.0,305.0,1000.0,0
3108,310000.0,1.0,1.0,1.0,43.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3230,420000.0,1.0,2.0,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,13620.0,13002.0,9180.0,13965.0,10245.0,20199.0,2000.0,5000.0,5000.0,5000.0,10000.0,10000.0,0
3252,180000.0,1.0,1.0,2.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,666.0,662.0,-4.0,55566.0,1056.0,390.0,662.0,0.0,61411.0,1056.0,0.0,1998.0,0
3287,320000.0,2.0,2.0,1.0,41.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2555.0,7065.0,648.0,2258.0,722.0,15937.0,7100.0,651.0,2269.0,725.0,16014.0,3088.0,0
