instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,lightgbm,lime,-0.03701849,-0.011243498,-0.012167761,-0.002025071,0.016072232,0.07776441,0.014329073,0.023007823,0.017287653,0.0008552894,0.014753784,0.021542212,0.04283039,-0.029903669,0.035113398,-0.03666743,0.016340854,-0.054213226,-0.043296482,-0.04023086,0.010308782,-0.008649642,-0.025776137
378,0,taiwan,lightgbm,lime,-0.037588,-0.005598674,-0.010444442,-0.013676754,0.01660352,0.06692987,0.00905091,0.017197844,0.0224534,0.014110462,0.026699984,0.021562114,0.026108274,-0.02587106,0.03089475,-0.023571648,0.01602597,-0.056501668,-0.03708333,-0.024647959,0.0053592212,-0.010488876,-0.023623282
403,0,taiwan,lightgbm,lime,-0.046458747,0.0100164525,-0.022861844,0.0050666025,0.01837634,0.0851273,0.013475255,0.006038582,0.019028112,0.009870116,0.007003474,0.029409107,0.03688146,-0.02534658,0.023636775,-0.019685535,0.017788433,-0.05985274,-0.039117593,-0.037732925,-0.0046500782,-0.011495996,-0.015216526
455,0,taiwan,lightgbm,lime,-0.041469857,-0.013969004,-0.0030819965,-0.0058492105,0.009840482,0.07244086,0.015756423,0.008975195,0.01807333,0.009310614,0.011504693,0.022256505,0.03172698,-0.026254622,0.03896305,-0.02833019,0.015197925,-0.06488904,-0.04504289,-0.035533644,-0.009381508,-0.009161787,-0.024935449
507,0,taiwan,lightgbm,lime,-0.038502883,-0.006152807,-0.0029332384,-0.011588542,0.00034259728,0.04604037,0.015748683,0.0073890006,0.014658944,0.0074040443,0.013513132,0.02946955,0.030728176,-0.019707877,0.016970161,-0.013656311,0.007965419,-0.056727447,-0.04874431,-0.017406601,0.0002886419,-0.012678614,-0.013464145
526,0,taiwan,lightgbm,lime,-0.043725517,-0.0028985355,-0.0054074493,-0.016576717,0.014737874,0.07947537,0.0134076,0.018813761,0.010989558,0.017881177,0.027113305,0.027828345,0.0328801,-0.021811033,0.035577793,-0.022942672,0.017800953,-0.056675352,-0.039309695,-0.03366945,0.00041334468,-0.000836717,-0.027709728
545,1,taiwan,lightgbm,lime,-0.044777077,-0.006894276,-0.00956459,-0.006834589,0.0065737404,0.069895916,0.0120871775,0.0139650395,0.0093649505,0.018195903,0.015390448,0.026272908,0.027617203,-0.021164948,0.03678089,-0.025054954,0.010403547,-0.062344264,-0.047732383,-0.028600411,0.0010053468,-0.0080311075,-0.022498898
555,0,taiwan,lightgbm,lime,-0.050207324,-0.008114206,-0.010297351,-0.018074146,0.010697488,0.073942535,0.002774962,0.018193206,0.009941068,0.009591905,0.014295511,0.024728097,0.03340639,-0.028156033,0.04600296,-0.024196483,0.016081864,-0.053142145,-0.041421026,-0.03012484,-0.0038679885,-0.004920337,-0.016874114
581,0,taiwan,lightgbm,lime,-0.043892194,-0.0074176695,-0.012093389,-0.018026184,0.012775959,0.082992636,0.0077889888,0.021918954,0.0061513176,0.0014647304,0.016262215,0.018109953,0.022640875,-0.02476001,0.027087262,-0.02444949,0.00907448,-0.063020304,-0.046039574,-0.033840347,-0.0024461586,-0.0033265373,-0.02271191
757,1,taiwan,lightgbm,lime,-0.044013064,-0.005105323,0.00080798194,-0.014694555,0.018639285,0.07483468,0.0022492143,0.014451515,0.018288486,0.014977723,0.0184201,0.025574524,0.042107444,-0.025985016,0.0328894,-0.01325662,0.008979068,-0.056885015,-0.032859545,-0.025123877,0.00072153745,-0.011536068,-0.019739438
775,1,taiwan,lightgbm,lime,-0.04319898,-0.009857721,-0.011925333,-0.017414315,0.010926744,0.07586129,0.0064211655,0.014849393,0.013510239,0.01592072,0.020886395,0.02980233,0.030247645,-0.033272948,0.045034014,-0.017123109,0.019814972,-0.061905015,-0.04769362,-0.026935145,0.0038474433,-0.008443891,-0.024625978
837,0,taiwan,lightgbm,lime,-0.042561665,-0.0015395851,-0.006931823,-0.008955992,0.01885135,0.06777662,0.0010685058,0.010584304,0.011106587,0.0034206258,0.01768758,0.025420735,0.024792323,-0.027027378,0.027419176,-0.02026555,0.004972869,-0.061921492,-0.04024163,-0.039733153,-0.0030332317,-0.00408906,-0.012928468
918,1,taiwan,lightgbm,lime,-0.050685976,-0.0086397035,-0.012748809,-0.008811374,0.01977239,0.083546564,0.015096646,0.03557201,0.022377396,0.0124557605,0.015028858,0.015790787,0.032904,-0.019790245,0.04067053,-0.024129719,0.014745581,-0.05491104,-0.04608503,-0.031057809,-0.004295196,-0.0112056555,-0.03459508
960,0,taiwan,lightgbm,lime,-0.046839613,-0.0061458964,-0.010529136,-0.0074566673,0.014261048,0.08326621,0.006081277,0.021912977,0.0065082093,0.0010284077,0.018712455,0.025237557,0.035950005,-0.019878,0.038628247,-0.02462541,0.003480129,-0.057245385,-0.042148087,-0.028805532,0.0026027395,-0.0033544127,-0.023224454
980,0,taiwan,lightgbm,lime,-0.035567407,0.001523122,-0.0111159375,-0.008465802,0.012038469,0.06818534,-0.002775287,0.0121222045,0.021383546,0.021277795,0.01603673,0.017228002,0.03600507,-0.024176434,0.036827944,-0.022085799,0.018348418,-0.056554705,-0.048690062,-0.028655665,0.009197165,-0.012023587,-0.021430623
1079,1,taiwan,lightgbm,lime,-0.024900107,-0.0032375986,-0.0029544716,-0.004966856,0.01330279,0.046349443,0.0053627132,0.013455313,0.006584232,0.005754916,0.014532368,0.035893492,0.024070326,0.0011914367,0.027058132,0.0034571276,0.013454196,-0.029941944,-0.021764386,-0.01567813,-0.0014119013,-0.0036135896,-0.0096000675
1130,0,taiwan,lightgbm,lime,-0.046697553,-0.005336816,-0.012467957,-0.01640769,0.0095553305,0.07946362,0.0033356478,0.011909705,0.004115362,0.009942028,0.018924989,0.02042312,0.028187998,-0.017672487,0.033113163,-0.020521596,0.010678096,-0.060157515,-0.047304414,-0.036553282,-0.0005105667,-0.005892785,-0.023357842
1157,1,taiwan,lightgbm,lime,-0.045190673,-0.004396365,-0.023491789,-0.012004356,0.002858635,0.08331934,0.00055647566,0.008833115,0.01685826,0.009973949,0.029356135,0.036598388,0.027118843,-0.0318811,0.039778803,-0.015095823,0.017995033,-0.055685014,-0.03431148,-0.048590273,0.0070889536,-0.0077487486,-0.026767567
