instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,mlp,lime,-0.040216003,-0.009634981,-0.0016115182,0.00037219867,0.009863737,0.10177211,0.016362438,0.01373037,0.015731411,-0.0011792984,0.001005513,-0.015327353,0.016946372,-0.014916501,0.018109035,-0.014974686,-0.019575564,-0.039566062,-0.026040088,-0.023203405,-0.021511173,-0.015206365,-0.017670386
378,0,taiwan,mlp,lime,-0.030871619,-0.0072010257,-0.0015580844,-0.0017465943,0.006655353,0.07635239,0.014628237,0.015407022,0.016601376,0.0010672773,-3.0541672e-05,-0.020359294,0.015332568,-0.01221912,0.01236488,-0.0132685015,-0.028295875,-0.03980361,-0.023108155,-0.025474163,-0.014669861,-0.016254002,-0.021143503
403,0,taiwan,mlp,lime,-0.044105574,0.0043412857,-0.004881125,0.0053427005,0.012065283,0.104831725,0.017972264,0.01559024,0.011027208,0.0022731572,-0.0020268369,-0.012053368,0.016267316,-0.010530244,0.009998644,-0.0119882235,-0.021128058,-0.036426634,-0.020819189,-0.02121014,-0.018461602,-0.018271837,-0.01513685
455,0,taiwan,mlp,lime,-0.039187405,-0.0035897498,0.00039889629,-0.0025358098,0.0073432275,0.09233657,0.016708076,0.018626131,0.017578788,-0.0035936777,-0.0037023274,-0.016913481,0.021279175,-0.0131405,0.016716372,-0.01777356,-0.027880726,-0.035509016,-0.025891712,-0.02567966,-0.025548013,-0.018548904,-0.020268217
507,0,taiwan,mlp,lime,-0.033364903,-0.0061864113,0.0056157648,-3.477922e-05,0.0033779275,0.083137855,0.0140253985,0.013423087,0.014935632,0.003427775,0.0018468937,-0.0059914873,0.016578935,-0.011856933,0.014237249,-0.0051668026,-0.017414162,-0.029522818,-0.021995174,-0.017684065,-0.012662007,-0.010413756,-0.012042538
526,0,taiwan,mlp,lime,-0.04754006,0.0014527629,-0.007571709,-0.0027707522,0.005715181,0.097323425,0.013678557,0.015147502,0.010036857,0.005768294,0.004596621,-0.016526967,0.012777596,-0.01112335,0.01646372,-0.010819823,-0.02751546,-0.036682844,-0.021648439,-0.024758298,-0.022481378,-0.012043114,-0.015327912
545,1,taiwan,mlp,lime,-0.037751064,-0.009853448,-0.0006519116,0.0068267793,0.011003139,0.0823651,0.013047275,0.011760239,0.011982657,-0.00020192047,0.0019415477,-0.0205014,0.014028894,-0.014405854,0.01686906,-0.018104326,-0.02218231,-0.0418719,-0.026475055,-0.021760447,-0.018975839,-0.012734848,-0.016536204
555,0,taiwan,mlp,lime,-0.03938813,-0.007215783,0.006530407,0.0017991011,0.008649291,0.098982036,0.014956062,0.012015496,0.016143778,0.004742209,0.004736741,-0.018700246,0.016256653,-0.010630564,0.010805425,-0.016886419,-0.02073188,-0.034648485,-0.021611335,-0.020174505,-0.020196049,-0.010948263,-0.016087169
581,0,taiwan,mlp,lime,-0.034877576,-0.004851783,-0.0049017793,-0.0042924015,0.005604351,0.09162958,0.015454389,0.015610385,0.012190195,0.0030435496,0.0025517107,-0.016964786,0.010358385,-0.016608795,0.015876383,-0.014885517,-0.026806965,-0.039191693,-0.031388536,-0.018043747,-0.023117334,-0.012671857,-0.018912455
757,1,taiwan,mlp,lime,-0.03528625,-0.005872526,0.004329761,-0.0032798587,0.01091384,0.10450138,0.015833309,0.018128224,0.018335726,0.00483977,-0.0014927499,-0.014817192,0.016911212,-0.012560872,0.014108848,-0.016309364,-0.025921773,-0.02992657,-0.024125198,-0.019742053,-0.021364648,-0.010278992,-0.015598957
775,1,taiwan,mlp,lime,-0.04150206,-0.0070298905,-5.649906e-05,-0.00170011,0.0063231587,0.11135266,0.018034825,0.020830132,0.020543447,0.007724253,0.0007400214,-0.013353329,0.022292474,-0.015660994,0.015779769,-0.014109404,-0.022802338,-0.043995816,-0.027321052,-0.022062926,-0.024368687,-0.010167862,-0.022485806
837,0,taiwan,mlp,lime,-0.03713273,-0.010458098,0.007318539,0.0031152817,0.0142308,0.08244856,0.006739521,0.0110689495,0.015349879,0.002563714,0.0011564314,-0.023484081,0.010804841,-0.016329393,0.004399584,-0.014292197,-0.030965934,-0.033571746,-0.027251318,-0.02626531,-0.025756186,-0.017804254,-0.01733072
918,1,taiwan,mlp,lime,-0.0445622,-0.00776336,0.00044280215,0.0034411147,0.007377879,0.105675235,0.01611109,0.021967104,0.012323989,0.0070106173,0.005908037,-0.018108182,0.016996033,-0.017061984,0.01510751,-0.017595826,-0.019779045,-0.03836483,-0.020793905,-0.021721914,-0.03038944,-0.017646365,-0.020456983
960,0,taiwan,mlp,lime,-0.035045512,-0.0057576722,-0.0007338701,0.0028147483,0.003408638,0.096598886,0.017216966,0.01857537,0.017794555,-0.0024829921,0.003637776,-0.013617271,0.018953647,-0.0073914323,0.015030206,-0.018569434,-0.024808638,-0.038200326,-0.024216551,-0.023087697,-0.017731583,-0.014069979,-0.009061412
980,0,taiwan,mlp,lime,-0.036452502,-0.0024402628,-0.006189477,0.0007332246,0.010718427,0.08230001,0.006822895,0.007669505,0.013196276,0.0015437135,0.00087394053,-0.022292193,0.010897675,-0.016596155,0.012402646,-0.009722491,-0.029960584,-0.0411515,-0.0282197,-0.025435237,-0.015658816,-0.016806904,-0.018461749
1079,1,taiwan,mlp,lime,-0.0182749,-0.0032552904,-0.0001560326,0.0021438205,0.007146391,0.061349,0.0068848007,0.008887943,0.0052412986,-0.0018508025,0.0013456872,0.009132084,0.021376288,0.00055361656,0.018579325,0.010065972,-0.007500642,-0.015262357,-0.009350423,-0.012592641,-0.01599657,-0.005164537,-0.00440403
1130,0,taiwan,mlp,lime,-0.039035883,-0.008290879,-0.0013792189,8.948969e-06,0.0052271243,0.098072134,0.010483195,0.015761118,0.019901967,0.004856995,0.007430192,-0.02400944,0.0108939,-0.011492698,0.017085811,-0.015335102,-0.020600438,-0.03498979,-0.023256592,-0.022900097,-0.016748043,-0.01427127,-0.017723449
1157,1,taiwan,mlp,lime,-0.036491163,0.002533934,-0.011155181,-0.003178774,0.0030548815,0.109929204,0.0068296846,0.018502412,0.012818861,0.0021631657,0.0055742036,-0.012291381,0.02313774,-0.019510707,0.016975177,-0.008058947,-0.022634082,-0.037609413,-0.022275763,-0.031693008,-0.019496242,-0.014475245,-0.016743056
1189,1,taiwan,mlp,lime,-0.042446204,-0.008220649,0.0016325716,-0.004165208,0.00430356,0.09773983,0.008047943,0.024123617,0.024829471,0.01017867,0.0016423183,-0.021448663,0.020618618,-0.0151392445,0.017857427,-0.014433141,-0.026570318,-0.033825833,-0.023858365,-0.02663325,-0.015783232,-0.020795124,-0.022821732
1346,1,taiwan,mlp,lime,-0.036174357,-0.0026193545,-0.0026848416,0.0049498696,0.011192468,0.094491936,0.012479273,0.020855544,0.017732913,0.006977596,0.0025262805,-0.019077923,0.017767427,-0.007224376,0.018201409,-0.014460149,-0.025141641,-0.04180482,-0.026120799,-0.021343559,-0.022156037,-0.011836231,-0.016242702
1354,1,taiwan,mlp,lime,-0.04023812,-0.005614487,0.0015172397,0.008073782,0.008624848,0.09848982,0.011831864,0.017139386,0.018005041,0.009575201,0.0027279442,-0.02091242,0.017401885,-0.019685945,0.018374,-0.011801422,-0.020515969,-0.036524363,-0.024210485,-0.030417318,-0.022075277,-0.016916757,-0.018090608
1434,0,taiwan,mlp,lime,-0.03648879,-0.005999607,0.0019419182,0.0020720684,0.009754249,0.0889843,0.012793799,0.015263029,0.016576521,0.005222194,-0.0005094269,-0.019775383,0.012016784,-0.010079241,0.012100506,-0.012953621,-0.024355154,-0.03629099,-0.027724557,-0.02596669,-0.019021053,-0.014493825,-0.015321575
