instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,random_forest,lime,-0.019731386,-0.0051006377,-0.0011886731,-0.0012427918,0.00115519,0.059155013,0.023650948,0.016650891,0.010356662,0.005140719,0.0062164897,0.0035917456,0.009583332,0.0017094442,-0.0014290609,-0.0036670105,0.0038415103,-0.019867297,-0.023527984,-0.016009409,-0.01150903,-0.0069627245,-0.01462923
378,0,taiwan,random_forest,lime,-0.01963267,-0.0015999092,-0.0014146456,-0.00033362483,0.001360718,0.04595796,0.017336529,0.015531314,0.012934109,0.005883604,0.009662483,0.0016645871,0.0041840174,0.00292944,-0.0015166015,-0.0015226473,0.0022784448,-0.024939649,-0.021438558,-0.015659299,-0.011637924,-0.009392925,-0.011753479
403,0,taiwan,random_forest,lime,-0.024017163,0.0024607363,-0.006804206,0.0013902035,0.0055470346,0.05937725,0.024969632,0.012515598,0.01393462,0.00723065,0.0077371914,0.005775133,0.0077539366,0.0006395309,-0.0012311274,-0.0016168279,0.0029413232,-0.020691939,-0.022357065,-0.017417297,-0.012166847,-0.010418419,-0.009935796
455,0,taiwan,random_forest,lime,-0.019418875,-0.002524498,-0.00034902402,0.000981625,0.0022817997,0.049512476,0.024756994,0.01385702,0.012869761,0.005151362,0.0052438234,0.0055777067,0.0054771453,6.683946e-05,0.0045838,-0.0019964997,0.0029131556,-0.021007784,-0.023518257,-0.012694341,-0.012738605,-0.008255545,-0.011844767
507,0,taiwan,random_forest,lime,-0.019305604,-0.0029322817,0.0022192446,-0.0010096165,-0.0009326597,0.045797154,0.019322276,0.011519016,0.00870771,0.0049113347,0.0025622223,0.0044174353,0.006565352,-0.00017140873,-0.0011695848,0.0056659933,0.0011176089,-0.01765496,-0.023435365,-0.0066296994,-0.0057581505,-0.004590813,-0.0068133525
526,0,taiwan,random_forest,lime,-0.021594474,-0.0022547417,-0.003245588,-0.004805704,0.0039697285,0.05598995,0.021596063,0.012315981,0.010856926,0.00696035,0.010299611,0.004886487,0.0059060445,0.0040372172,0.0044250754,0.0033608852,0.0014339918,-0.021103242,-0.02060765,-0.016636867,-0.012464783,-0.0053857346,-0.012989473
545,1,taiwan,random_forest,lime,-0.02275684,-0.0073219724,-9.731289e-05,0.0031220873,-0.0014168277,0.051375262,0.022186648,0.010735299,0.009949371,0.009058901,0.007291457,0.0009895398,0.0018375008,0.004045323,0.0022560214,0.00013183976,0.006160987,-0.02307234,-0.024427218,-0.01399235,-0.008741824,-0.0060469373,-0.012241701
555,0,taiwan,random_forest,lime,-0.02071358,-0.004204673,-0.00028214455,-0.001879078,0.0005348321,0.054937404,0.02399878,0.014972468,0.010165013,0.009154323,0.005623242,0.0017087858,0.007873502,0.0042271153,0.0033557306,-0.0022706229,0.0033906263,-0.02132682,-0.023793405,-0.013691661,-0.0108127445,-0.008720589,-0.008354132
581,0,taiwan,random_forest,lime,-0.020469682,0.001592895,-0.003275283,-0.0034958732,-0.0007181438,0.05669733,0.020726712,0.017400837,0.0051730014,0.005648073,0.007908831,0.0015503728,0.0024539127,0.004261219,0.001740319,0.0014929192,0.001965923,-0.022219164,-0.027748918,-0.01260927,-0.013896261,-0.006852004,-0.012601887
757,1,taiwan,random_forest,lime,-0.019046621,-0.0006360145,0.005312067,-0.0028195188,0.0007307742,0.053324766,0.021994708,0.010897717,0.009226274,0.0125533845,0.006077144,0.00425342,0.00753698,0.003657409,0.00037365258,0.0025349695,0.00097015296,-0.02029577,-0.020466981,-0.012987157,-0.010939168,-0.0058158357,-0.010609012
775,1,taiwan,random_forest,lime,-0.020325648,0.00018706478,-0.00013684382,-0.002189071,-0.000793,0.0602733,0.024830822,0.018407105,0.013464857,0.0074274223,0.005647488,0.0061946157,0.00464535,0.0016033804,0.002865555,-0.0005549899,0.0062153726,-0.019798607,-0.023894161,-0.011357272,-0.012056797,-0.0059153144,-0.012182234
837,0,taiwan,random_forest,lime,-0.019918432,-0.001194385,0.0032556658,-0.00302897,0.004352851,0.04678984,0.01694677,0.008973971,0.008367599,0.0033336612,0.0077775475,-0.00015758305,0.0019466546,0.0033737584,-0.005442464,-8.991813e-05,-0.0012426984,-0.021326499,-0.021325424,-0.018899934,-0.010588214,-0.009073406,-0.01007906
918,1,taiwan,random_forest,lime,-0.0236279,-0.0010961139,0.002491514,-0.002018237,0.00047551026,0.061185267,0.025030363,0.019731881,0.01795224,0.011584992,0.008965005,0.0042708195,0.00702365,0.005223254,0.0020413771,-0.000117899894,0.0035977808,-0.02209609,-0.023386177,-0.01113094,-0.016180689,-0.012777616,-0.015160849
960,0,taiwan,random_forest,lime,-0.024038557,-0.0027196894,0.0018083674,0.00032179232,0.00090600917,0.05952029,0.023433747,0.017664015,0.009195729,0.006094708,0.009171385,0.006511457,0.00593848,0.0036439255,0.0016488077,-0.005514868,-0.00028910945,-0.021864446,-0.019699346,-0.012853616,-0.009235759,-0.010512212,-0.013243306
980,0,taiwan,random_forest,lime,-0.018878482,0.00233478,-0.0027967582,-0.0031653787,8.350772e-05,0.047210876,0.015674105,0.01086998,0.01250406,0.0068056504,0.007651734,-0.0008264675,0.0039386433,0.0013187436,0.0033765435,0.0027677778,0.0005014188,-0.021413103,-0.027414916,-0.014963624,-0.0104545215,-0.009480684,-0.01226652
1079,1,taiwan,random_forest,lime,-0.009041055,-0.0017132823,0.0009550621,-0.0009293225,0.004302441,0.03855424,0.0106294835,0.007752945,0.0051590465,0.002603074,0.003972182,0.015372521,0.013545822,0.00866894,0.011735012,0.014732298,0.004067729,-0.010812649,-0.010841346,-0.008173866,-0.006108877,-0.005452754,-0.0036127404
1130,0,taiwan,random_forest,lime,-0.021624573,-0.0019428427,-0.0006491598,-0.0022017953,-0.0007659224,0.05317935,0.019425262,0.015907709,0.0120008895,0.0059660994,0.010840473,-0.00044054503,0.005282028,0.0015483126,0.0032852422,-0.0031357666,0.0029256789,-0.02088022,-0.02443969,-0.017221304,-0.009854404,-0.005845303,-0.012405891
1157,1,taiwan,random_forest,lime,-0.018968409,-0.00072544056,-0.00045181205,0.0032948232,0.001185252,0.06618687,0.022115339,0.01333243,0.01120393,0.0073415404,0.015223652,0.010908374,0.010294142,-0.0004448038,0.0061130086,0.0014429631,0.00336453,-0.018259536,-0.023689283,-0.017361145,-0.004641622,-0.009223851,-0.010319972
1189,1,taiwan,random_forest,lime,-0.020844083,-0.0008501046,-0.0019787876,-0.0053795967,0.004423985,0.052383203,0.019566037,0.016349567,0.016997876,0.01361341,0.010384031,0.0020586858,0.0035308748,-0.0006474598,0.0065753767,0.00029969882,0.0023969573,-0.019251663,-0.023296045,-0.014760923,-0.009423849,-0.009417658,-0.012024873
1346,1,taiwan,random_forest,lime,-0.017405204,0.00044928325,0.00068658346,-0.0005711245,0.0016005223,0.058126085,0.02183323,0.015241703,0.011693358,0.008412418,0.0060635936,0.0011891627,0.0030959097,0.0030037179,0.0006475775,-0.004051753,0.0028353755,-0.020339524,-0.02403033,-0.011556366,-0.012254087,-0.007765027,-0.010031416
1354,1,taiwan,random_forest,lime,-0.01910579,0.001341927,0.002033843,-0.0029347818,0.0009116714,0.061671514,0.0313456,0.015857354,0.015057702,0.01402707,0.011217396,0.005273894,0.00530141,0.0030707007,0.00036949126,-0.0029083763,0.00025667282,-0.021141466,-0.02192063,-0.018848982,-0.010523218,-0.012267673,-0.011844083
1434,0,taiwan,random_forest,lime,-0.017990896,-0.0016883657,-0.0036026957,-0.0030566992,-0.0024711075,0.057410255,0.018158324,0.01496232,0.010947668,0.0091806175,0.0075862743,0.0009872203,-0.00079193077,0.00090734015,0.0024614881,0.0012725136,0.0012956875,-0.019284772,-0.02789406,-0.014041089,-0.009947796,-0.010445877,-0.008934126
1641,1,taiwan,random_forest,lime,-0.023056597,-0.0005195289,0.0008393287,0.0017075731,0.00055893644,0.06422079,0.02468741,0.017853681,0.012811644,0.004485164,0.006912021,0.0032439858,0.005369349,0.002642533,0.001597696,0.00029398236,0.00063166104,-0.020003662,-0.02584726,-0.0119566815,-0.0066849585,-0.009913548,-0.011818206
1726,0,taiwan,random_forest,lime,-0.019838423,-0.001985946,0.002940355,-0.0018886279,0.0066165146,0.05161953,0.019285336,0.014330613,0.008390846,0.0044352314,0.008249715,0.00036453328,0.004165343,0.001233271,0.0027299605,0.004356045,0.002521274,-0.020792158,-0.0256396,-0.01538645,-0.009224246,-0.0080965785,-0.008558879
