instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,random_forest,shap,0.03342444360016117,-0.001027117061663993,0.00150738195130307,-0.001146550885118826,-0.0013716247430301093,-0.07278089938250809,-0.024701505302589983,-0.012473005144639037,-0.010999601068853957,-0.008262935562412076,-0.00781823884271408,-0.008686937893388227,-0.001889058311395424,-0.0030052519873836874,-0.0019219205228293414,-0.003950676319401753,-0.004220842454247006,-0.008378218190452506,-0.027466619311214798,0.0007193383088643571,0.010150025580020308,0.003960034669397635,-0.003919972341553638
378,0,taiwan,random_forest,shap,-0.01620578513327288,-0.00098300765803755,-0.0019016609977059713,-0.0008494527700880608,-0.001913050226380853,-0.058474435558137,-0.03203371163226144,-0.019843894700792425,-0.01714202742706713,-0.011720287379935107,-0.010773634390729718,-0.010379197121639075,-0.005833555355975534,-0.004590063910314283,-0.004730720418968103,-0.00664149446281268,-0.005300369703769712,-0.01966557345599358,-0.022984463525171896,-0.016772341116925826,-0.020246379527399553,-0.006612156460467036,-0.007936587558402588
403,0,taiwan,random_forest,shap,-0.037834652461052894,0.0009836269188725503,-0.001795230007491901,-0.000995083175942839,-0.001876434774287864,-0.079204373205106,-0.025770190040234064,-0.015353352465133092,-0.01057774420815985,-0.008164514473430204,-0.010103521628864827,-0.008156814991881138,-0.00289851745472583,-0.003482286847966816,-0.0019444402543493367,-0.00660586898431829,-0.0028233644329313666,-0.028323180150528468,-0.02413353307778548,-0.010146692645707353,-0.016639818584880808,-0.009317377662276109,-0.009606837658516212
455,0,taiwan,random_forest,shap,0.02416531486183672,0.0008270895252040646,-0.0020581682969438735,-0.001498787016326863,-0.0012696315966019584,-0.06037033084397312,-0.023400893516150365,-0.012474497078098858,-0.009101577184053565,-0.006666441130950974,-0.006160755814703049,0.004521309108678788,-0.0014508247601629873,0.0022246034015500366,-0.0018137095878485783,-0.004953969281020192,-0.004545938665610253,0.005064780717324574,0.017626847349816253,0.008788315786506998,0.00835736033306824,0.0067054671565581975,0.00045332807205403024
507,0,taiwan,random_forest,shap,-0.0160788511247747,0.0009717848381252448,0.0032010854253267896,0.0005072323007898112,0.0019142334137021886,-0.06701169085110927,-0.017217572856098963,-0.011317311915474096,-0.0059279641475898405,-0.006183772837737899,-0.006298151070571116,0.019967977470972908,0.023331505107036743,0.014578538793628965,0.010688503617096091,0.023835705284105262,0.013165223339084091,-0.016675163704684897,-0.02028957842307747,-0.01219656964191053,-0.0066994473133338665,-0.007041191944400573,-0.01245586072203238
526,0,taiwan,random_forest,shap,0.044307252166904454,0.0008696791713299493,0.0010249936533613237,-0.0015753140328205702,-0.0002859788565553829,-0.0698168830438732,-0.02459964826444156,-0.014188120444669917,-0.009817969933206739,-0.00776782119364945,-0.00796270402410512,-0.007006472148417703,-0.0005736338897538358,-0.0023079627703901364,-0.0023251667572767067,-0.0043387002394653755,-0.0023855426029359365,-0.0033112531908824783,0.015989291407415614,-0.0008897688461460824,0.00795607519901322,0.003140131803749253,0.010086441083180409
545,1,taiwan,random_forest,shap,-0.03675034423238695,0.0008081395342599742,-0.001745173473000423,0.0007285732261826753,-0.00043907570997261963,-0.05533258913171504,-0.02847971778942083,-0.018505689834988445,-0.013754898181273166,-0.009981331061589615,-0.011453309333719588,-0.008985085950957528,-0.0057424830099188934,-0.005594245030314257,-0.004214245318741186,-0.006129097634014539,-0.003933049348813589,-0.030249860756728326,-0.03421831702930858,-0.02300465388566108,-0.020230381423487712,-0.013937961487514618,0.01142520647454268
555,0,taiwan,random_forest,shap,-0.020465238594756935,-0.0004736714272587729,0.0007821627271664606,-0.0013826774618170136,-1.8387696188286672e-05,-0.06885672616359578,-0.021706201148496095,-0.014802456241495494,-0.009016627825211372,-0.006495653226486386,-0.008705655899182234,-0.0005500689417685091,-0.005250117460029771,-0.005775496626571916,-0.004102953660847819,-0.007379621484355121,-0.004036985249561082,-0.026192341321305115,-0.05245141145633957,0.0010064923938601126,0.007314221575059691,0.0030060214109342916,-0.01987273512071283
581,0,taiwan,random_forest,shap,-0.00171181365413146,0.0008082937956505689,0.0007772723727011067,-0.002285271224218751,-0.0022713111794869156,-0.06543910443771138,-0.02309952995082353,-0.011087944573061326,-0.013945392572967725,-0.00935446709852526,-0.00727113762442735,-0.018531371909967936,-0.00015194694269548444,-0.00215950698353408,-0.0003364656529289399,-0.0010861081864284878,-0.0035788173117276504,0.0004175434700202839,-0.011248138451537019,0.006177534537195167,-0.0003728028809851489,0.00992453249010202,0.010183175518823716
757,1,taiwan,random_forest,shap,0.03521821819945085,-0.0007352659475373815,0.0012389569269888778,0.0011696111462944048,0.0012050990063043059,-0.07146892936451943,-0.025424326042974583,-0.013178499681188876,-0.009780026552438516,-0.00847068893039268,-0.007169616032462132,-0.010354034467568472,-0.003545741291888669,-0.0030611927562523367,-0.002592984465696838,-0.002904775523364925,-0.0032610607032192095,-0.009833261902720353,0.016686642040586116,0.00034202070471041644,0.007106848858679447,-0.0009100796173266712,0.00032325561008102714
