instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,xgboost,lime,-0.030845862,-0.009729885,0.0036634272,0.02381541,0.0036592877,0.03963401,0.020744758,0.0142837735,0.006361709,-0.004492394,0.0040774737,0.026765702,0.023061603,-0.012840889,0.009585905,-0.013788912,0.031058624,-0.053217396,-0.039889436,-0.02196364,-0.0007927785,-0.013816044,-0.013939226
378,0,taiwan,xgboost,lime,-0.030630017,-0.0049782996,-0.0023632792,0.018872533,0.006039375,0.025346987,0.016280504,0.009671414,0.0063834987,0.006870381,0.009058167,0.020707002,0.019728657,-0.020818092,0.0066742604,-0.0012104681,0.027025597,-0.052631013,-0.03541064,-0.026976138,-0.0020510808,-0.015544003,-0.013743419
403,0,taiwan,xgboost,lime,-0.041191343,0.004472949,-0.007780148,0.019618377,0.011569916,0.04499433,0.0115099,0.0034511434,-0.0008526631,-0.0011186147,-0.0020600555,0.027331337,0.027674317,-0.019577771,0.005426353,-0.008099847,0.028264314,-0.05077527,-0.038102333,-0.031174427,-0.0033592933,-0.005692577,-0.0070214765
455,0,taiwan,xgboost,lime,-0.03571025,-0.0059273522,0.007238455,0.026372809,0.0073746135,0.041466754,0.019774964,0.010560784,0.0034570487,-0.004301696,-0.0022301308,0.023928434,0.030042216,-0.019034524,0.008697369,-0.009095889,0.03314047,-0.047501035,-0.04151458,-0.030208157,-0.0060825385,-0.011670013,-0.0142274685
507,0,taiwan,xgboost,lime,-0.036395833,-0.010887771,0.0029691842,0.011620625,0.005034732,0.010092572,0.011750971,0.009669622,0.007914382,0.0012507894,0.0008358042,0.027201245,0.025736202,-0.012746035,0.007113925,0.0004290378,0.024803588,-0.051541977,-0.047611494,-0.017982593,-0.005745159,-0.017486194,-0.0060811033
526,0,taiwan,xgboost,lime,-0.04421135,-0.0035590236,0.003025956,0.012703674,0.002776499,0.03755002,0.009221256,0.00996702,6.0790004e-05,-0.0027455448,0.0027717066,0.030356398,0.018666081,-0.016913319,0.010681868,-0.006558422,0.029401,-0.052802205,-0.038135104,-0.024094703,-0.011571774,-0.011316736,-0.019360788
545,1,taiwan,xgboost,lime,-0.03302552,-0.010862516,0.00513406,0.03085927,-0.0008017704,0.02353641,0.01259209,0.004079913,0.0030435473,0.0015607477,-0.006175253,0.026563106,0.020772781,-0.017994134,0.013612187,-0.014428881,0.032058004,-0.046116866,-0.050643813,-0.028287923,-0.009021953,-0.008894303,-0.012760249
555,0,taiwan,xgboost,lime,-0.030528745,-0.011611035,0.0045474377,0.014846382,0.0021672738,0.03437387,0.008098432,0.00605641,0.003483564,0.0048440145,0.0057319095,0.024340542,0.021434145,-0.010691304,0.018924352,-0.0033955332,0.025154538,-0.046211395,-0.03969723,-0.021189094,-0.015126536,-0.009669099,-0.007676025
581,0,taiwan,xgboost,lime,-0.03584819,-0.0013546323,0.0018936644,0.021826392,0.010999009,0.03262943,0.016877428,0.012716833,-0.00020692006,-0.0014287925,-0.00020443427,0.02295378,0.021364324,-0.023157535,0.010619175,-0.007245702,0.02174162,-0.05249642,-0.046164233,-0.02665988,-0.008359631,-0.010362497,-0.012642387
757,1,taiwan,xgboost,lime,-0.035571396,-0.002735708,0.008231807,0.021381428,0.0047404836,0.02937558,0.0019350768,0.012769904,-0.0022544325,0.0014624856,0.000980943,0.025481306,0.015416052,-0.01880887,0.0028931992,-0.0016172797,0.027787114,-0.051026832,-0.042246446,-0.020908412,-0.00735513,-0.015339534,-0.0036049278
775,1,taiwan,xgboost,lime,-0.032242343,-0.006023043,0.007569031,0.015513519,0.004988557,0.042524785,0.018446917,0.011011206,0.015410362,0.012422672,0.006600612,0.028740197,0.026297288,-0.025857927,0.012169675,-0.008215327,0.036280707,-0.049742263,-0.0508649,-0.025954805,-0.004980033,-0.008208728,-0.014610589
837,0,taiwan,xgboost,lime,-0.03986817,-0.004073129,0.0041580773,0.021346232,0.009421232,0.030656114,0.00993861,0.0026374343,-0.0033283387,-0.0037435153,0.0013393923,0.027584841,0.02005406,-0.024271475,0.0037615893,-0.003473359,0.022795942,-0.053636853,-0.038423058,-0.029787231,-0.01143239,-0.011812918,-0.01092885
918,1,taiwan,xgboost,lime,-0.045766354,-0.0013568046,0.008499822,0.018457608,0.0073179086,0.03735349,0.018347507,0.023731135,0.011984615,0.008311501,0.0014326918,0.019882534,0.020063981,-0.020078784,0.0064561614,-0.011304055,0.03445904,-0.05175381,-0.04521391,-0.024795396,-0.010904642,-0.016103555,-0.01122094
960,0,taiwan,xgboost,lime,-0.04291145,-0.0057691024,0.001409823,0.029738965,0.00026833266,0.03658189,0.0104375575,0.0071905046,-0.0010025761,-0.004962653,-0.0027475574,0.032971933,0.021879597,-0.022833556,0.00839355,-0.0055276975,0.021321649,-0.04606759,-0.04337966,-0.021653812,-0.0067353155,-0.01684365,-0.01180487
980,0,taiwan,xgboost,lime,-0.03243322,-0.003431351,-0.0014056603,0.0238818,-0.0014295817,0.030452974,0.0056341104,0.0041374927,0.013232541,0.007335164,-0.0006255116,0.02026454,0.022974487,-0.025054153,0.016847564,-0.00197031,0.02643117,-0.044490855,-0.04407756,-0.022663899,-0.0039863302,-0.016266558,-0.0098517975
1079,1,taiwan,xgboost,lime,-0.019338557,-0.003580298,-0.0008240815,0.0070567452,0.0059047444,0.034753423,0.006242584,0.006879913,-0.0031644413,0.00095264456,0.0057966774,0.032435413,0.02718288,0.013251732,0.019593302,0.017767932,0.017190738,-0.024223462,-0.021055952,-0.009854043,-0.007832998,-0.009617822,-0.0069244634
