instance_index,actual_default,dataset,model,explainer,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
260,0,taiwan,xgboost,shap,0.33837163,-0.034877487,0.026246486,-0.06491795,0.010806456,-0.4509664,-0.060255453,-0.049230054,-0.025078325,-0.028566405,-0.010583861,-0.28264582,0.02226282,0.031745993,0.018021429,0.019495947,-0.0666148,0.022455573,-0.17658068,-0.08444079,-0.012831983,-0.026131151,-0.030502649
378,0,taiwan,xgboost,shap,-0.11731003,-0.025161775,0.004135959,-0.047244307,-0.05464182,-0.48064506,-0.07328933,-0.052330375,0.019485222,-0.057611287,-0.095863245,-0.15888536,-0.14906429,-0.0089315465,-0.044241406,-0.077983566,-0.10277405,-0.20238903,-0.09057752,-0.0914004,-0.20272799,0.04532675,-0.026798073
403,0,taiwan,xgboost,shap,-0.5903562,0.02829437,-0.01651505,-0.09277074,-0.08522318,-0.51778924,-0.07071943,-0.055908054,-0.025261696,-0.03426354,-0.043788865,-0.23274592,-0.06331229,-0.00051010214,0.033228736,-0.06209241,-0.021648051,-0.5529092,-0.25403893,-0.05661733,-0.16082066,-0.011282353,-0.10673992
455,0,taiwan,xgboost,shap,0.17928058,0.03768172,-0.00016819715,-0.06265949,-0.04404071,-0.38417643,-0.057815846,-0.05409873,-0.0018144953,-0.018399134,-0.019978246,0.13982005,-0.05147812,0.03689553,0.019953517,-0.008342561,-0.03810753,0.056550447,0.07180985,-0.030887058,0.018882286,-0.002788923,-0.05292587
507,0,taiwan,xgboost,shap,-0.18304868,0.045310654,0.12417769,0.036972333,0.029947013,-0.46704045,-0.05051531,-0.044269733,-0.022496102,-0.017648613,-0.03477471,0.6129366,0.27348107,0.11198672,0.038810242,0.1582473,0.0076973643,-0.21885635,-0.23234694,-0.17156173,0.072308905,-0.008629851,-0.17419174
526,0,taiwan,xgboost,shap,0.43200466,0.046102908,0.026378317,-0.07758896,0.014613913,-0.42379686,-0.06052137,-0.060638294,-0.021773806,-0.018147139,-0.026595473,-0.21181436,-0.042577296,-0.010610163,0.0054751826,0.005929808,0.013869056,0.020666495,0.20018205,-0.0923732,0.0020980816,-0.033928182,0.03304353
545,1,taiwan,xgboost,shap,-0.5447415,0.036780126,7.216667e-05,0.08988906,-0.0065417774,-0.43744054,-0.04356197,-0.07763712,-0.025967754,-0.014615868,-0.0058611496,-0.17794646,-0.07383623,-0.025399733,-0.019020246,-0.046550978,-0.13202985,-0.38772762,-0.26530054,-0.1833119,-0.007379367,-0.09753716,-0.0035293815
555,0,taiwan,xgboost,shap,-0.072711684,-0.004288749,0.023027139,-0.075451925,-0.076581806,-0.48572242,-0.04843821,-0.04298809,0.014579181,-0.013899381,-0.03637288,0.1760798,-0.085166745,-0.008853628,0.019862052,-0.03726197,-0.035372134,-0.24015535,-0.71472144,-0.1095559,0.03671329,-0.020661553,0.2103641
581,0,taiwan,xgboost,shap,-0.017474625,0.052270275,-0.009280384,-0.06691836,-0.045910724,-0.46913913,-0.06534839,-0.039391834,-0.034939334,-0.020332148,-0.00111378,-0.29545963,-0.08110572,-0.007070519,0.015946932,0.011650034,-0.07067128,0.01718422,-0.043291714,-0.042233527,0.05914258,0.03648931,0.032614335
757,1,taiwan,xgboost,shap,0.29673204,-0.048856463,0.025537074,0.07540758,0.09488002,-0.44243768,-0.060884453,-0.05990666,-0.021838417,-0.019888978,-0.028384276,-0.22534734,-0.017711382,-0.015943434,0.006945503,0.010545771,0.013538769,-0.03456666,0.20710783,-0.021316407,0.016439028,-0.025295151,-0.054252744
