dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
german,lightgbm,0,duration,relative_minus_5,-0.05,18.0,18.9,0.3906285256737892,0.3906285256737892,0.0,0.0,0,0,0,-1
german,lightgbm,1,duration,relative_minus_5,-0.05,18.0,18.9,0.239865701726269,0.239865701726269,0.0,0.0,0,0,0,-1
german,lightgbm,2,duration,relative_minus_5,-0.05,11.0,11.55,0.061421238781333064,0.10413529135209476,0.0427140525707617,0.0427140525707617,0,0,0,-1
german,lightgbm,3,duration,relative_minus_5,-0.05,36.0,37.8,0.06199636354725938,0.06922966347564562,0.0072332999283862345,0.0072332999283862345,0,0,0,-1
german,lightgbm,4,duration,relative_minus_5,-0.05,4.0,4.2,0.000778019771551934,0.000778019771551934,0.0,0.0,0,0,0,-1
german,lightgbm,5,duration,relative_minus_5,-0.05,5.0,5.25,0.0127552116532506,0.0127552116532506,0.0,0.0,0,0,0,-1
german,lightgbm,6,duration,relative_minus_5,-0.05,30.0,31.5,0.0015875374622949037,0.0015875374622949037,0.0,0.0,0,0,0,-1
german,lightgbm,7,duration,relative_minus_5,-0.05,36.0,37.8,0.10095917931946011,0.11219465055810865,0.011235471238648542,0.011235471238648542,0,0,0,-1
german,lightgbm,8,duration,relative_minus_5,-0.05,12.0,12.6,0.019686942909276986,0.018746138011180864,-0.0009408048980961217,0.0009408048980961217,0,0,0,-1
german,lightgbm,9,duration,relative_minus_5,-0.05,24.0,25.2,0.8815646011543224,0.8815646011543224,0.0,0.0,1,1,0,-1
german,lightgbm,10,duration,relative_minus_5,-0.05,18.0,18.9,0.6231673856151776,0.6231673856151776,0.0,0.0,1,1,0,-1
german,lightgbm,11,duration,relative_minus_5,-0.05,6.0,6.3,0.5819234725438788,0.5819234725438788,0.0,0.0,1,1,0,-1
german,lightgbm,12,duration,relative_minus_5,-0.05,12.0,12.6,0.016381379372910523,0.01545880930610914,-0.0009225700668013832,0.0009225700668013832,0,0,0,-1
german,lightgbm,13,duration,relative_minus_5,-0.05,12.0,12.6,0.15698660361202765,0.1504917389010197,-0.006494864711007964,0.006494864711007964,0,0,0,-1
german,lightgbm,14,duration,relative_minus_5,-0.05,6.0,6.3,0.06001081215992454,0.06001081215992454,0.0,0.0,0,0,0,-1
german,lightgbm,15,duration,relative_minus_5,-0.05,15.0,15.75,0.34466443332437136,0.5250882898029554,0.18042385647858405,0.18042385647858405,0,1,1,-1
german,lightgbm,16,duration,relative_minus_5,-0.05,12.0,12.6,0.0013520297228720205,0.0012421791399097515,-0.00010985058296226905,0.00010985058296226905,0,0,0,-1
german,lightgbm,17,duration,relative_minus_5,-0.05,30.0,31.5,0.925921763327486,0.925921763327486,0.0,0.0,1,1,0,-1
german,lightgbm,18,duration,relative_minus_5,-0.05,18.0,18.9,0.05210815660012766,0.05210815660012766,0.0,0.0,0,0,0,-1
german,lightgbm,19,duration,relative_minus_5,-0.05,18.0,18.9,0.9431976521725624,0.9431976521725624,0.0,0.0,1,1,0,-1
german,lightgbm,20,duration,relative_minus_5,-0.05,18.0,18.9,0.1652310311335665,0.1652310311335665,0.0,0.0,0,0,0,-1
german,lightgbm,21,duration,relative_minus_5,-0.05,6.0,6.3,0.04087693346542949,0.04087693346542949,0.0,0.0,0,0,0,-1
german,lightgbm,22,duration,relative_minus_5,-0.05,15.0,15.75,0.06721612707097044,0.09770539588942148,0.030489268818451043,0.030489268818451043,0,0,0,-1
german,lightgbm,23,duration,relative_minus_5,-0.05,18.0,18.9,0.8427293510043804,0.8427293510043804,0.0,0.0,1,1,0,-1
german,lightgbm,24,duration,relative_minus_5,-0.05,36.0,37.8,0.7997434553378628,0.7917725206953168,-0.007970934642546057,0.007970934642546057,1,1,0,-1
german,lightgbm,25,duration,relative_minus_5,-0.05,9.0,9.45,0.4667371539312502,0.4667371539312502,0.0,0.0,0,0,0,-1
german,lightgbm,26,duration,relative_minus_5,-0.05,30.0,31.5,0.2090941121178558,0.2090941121178558,0.0,0.0,0,0,0,-1
german,lightgbm,27,duration,relative_minus_5,-0.05,12.0,12.6,0.45947633223517137,0.44710414777304974,-0.012372184462121627,0.012372184462121627,0,0,0,-1
german,lightgbm,28,duration,relative_minus_5,-0.05,6.0,6.3,0.003740671773448724,0.003740671773448724,0.0,0.0,0,0,0,-1
german,lightgbm,29,duration,relative_minus_5,-0.05,6.0,6.3,0.44175540704147304,0.44175540704147304,0.0,0.0,0,0,0,-1
german,lightgbm,30,duration,relative_minus_5,-0.05,15.0,15.75,0.36163582701893,0.6516452640586278,0.2900094370396978,0.2900094370396978,0,1,1,-1
german,lightgbm,31,duration,relative_minus_5,-0.05,9.0,9.45,0.34959479263019255,0.34959479263019255,0.0,0.0,0,0,0,-1
german,lightgbm,32,duration,relative_minus_5,-0.05,15.0,15.75,0.027101650147053884,0.042790019849943565,0.01568836970288968,0.01568836970288968,0,0,0,-1
german,lightgbm,33,duration,relative_minus_5,-0.05,9.0,9.45,0.0284420531071389,0.0284420531071389,0.0,0.0,0,0,0,-1
german,lightgbm,34,duration,relative_minus_5,-0.05,24.0,25.2,0.7949814871873333,0.7949814871873333,0.0,0.0,1,1,0,-1
german,lightgbm,35,duration,relative_minus_5,-0.05,18.0,18.9,0.5095935653238034,0.5095935653238034,0.0,0.0,1,1,0,-1
german,lightgbm,36,duration,relative_minus_5,-0.05,36.0,37.8,0.7254708576063886,0.7483550656329492,0.02288420802656055,0.02288420802656055,1,1,0,-1
german,lightgbm,37,duration,relative_minus_5,-0.05,15.0,15.75,0.1180789524031287,0.3442759769621616,0.2261970245590329,0.2261970245590329,0,0,0,-1
