dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
german,mlp,0,duration,relative_minus_5,-0.05,18.0,18.9,0.2868824306481333,0.2899089151899581,0.003026484541824803,0.003026484541824803,0,0,0,-1
german,mlp,1,duration,relative_minus_5,-0.05,18.0,18.9,0.4198976318717018,0.41989703538401935,-5.964876824693377e-07,5.964876824693377e-07,0,0,0,-1
german,mlp,2,duration,relative_minus_5,-0.05,11.0,11.55,0.26258346992117976,0.26378748102852073,0.0012040111073409743,0.0012040111073409743,0,0,0,-1
german,mlp,3,duration,relative_minus_5,-0.05,36.0,37.8,0.1802774281890517,0.18598360915350126,0.005706180964449553,0.005706180964449553,0,0,0,-1
german,mlp,4,duration,relative_minus_5,-0.05,4.0,4.2,0.1819840520060159,0.1819705579252552,-1.3494080760678706e-05,1.3494080760678706e-05,0,0,0,-1
german,mlp,5,duration,relative_minus_5,-0.05,5.0,5.25,0.2043107705535393,0.204501697060245,0.0001909265067057131,0.0001909265067057131,0,0,0,-1
german,mlp,6,duration,relative_minus_5,-0.05,30.0,31.5,0.24145627495089156,0.24656113199596585,0.005104857045074296,0.005104857045074296,0,0,0,-1
german,mlp,7,duration,relative_minus_5,-0.05,36.0,37.8,0.361249588683193,0.36510093277992,0.003851344096726994,0.003851344096726994,0,0,0,-1
german,mlp,8,duration,relative_minus_5,-0.05,12.0,12.6,0.29833305974606383,0.2998702646316738,0.0015372048856099885,0.0015372048856099885,0,0,0,-1
german,mlp,9,duration,relative_minus_5,-0.05,24.0,25.2,0.4084749758946331,0.40906089503268517,0.0005859191380520601,0.0005859191380520601,0,0,0,-1
german,mlp,10,duration,relative_minus_5,-0.05,18.0,18.9,0.1978244007482361,0.19741900656847958,-0.0004053941797565186,0.0004053941797565186,0,0,0,-1
german,mlp,11,duration,relative_minus_5,-0.05,6.0,6.3,0.4490305536205001,0.45079803752077174,0.0017674839002716491,0.0017674839002716491,0,0,0,-1
german,mlp,12,duration,relative_minus_5,-0.05,12.0,12.6,0.3380754225555931,0.33886873852976407,0.0007933159741709828,0.0007933159741709828,0,0,0,-1
german,mlp,13,duration,relative_minus_5,-0.05,12.0,12.6,0.3226170260018927,0.32198919390031955,-0.0006278321015731336,0.0006278321015731336,0,0,0,-1
german,mlp,14,duration,relative_minus_5,-0.05,6.0,6.3,0.1607190907005708,0.1611320827794964,0.0004129920789255892,0.0004129920789255892,0,0,0,-1
german,mlp,15,duration,relative_minus_5,-0.05,15.0,15.75,0.2991772357699808,0.30179106959064245,0.0026138338206616596,0.0026138338206616596,0,0,0,-1
german,mlp,16,duration,relative_minus_5,-0.05,12.0,12.6,0.07569409040610586,0.07654223966177225,0.0008481492556663833,0.0008481492556663833,0,0,0,-1
german,mlp,17,duration,relative_minus_5,-0.05,30.0,31.5,0.320382999871944,0.3221966443172909,0.0018136444453468736,0.0018136444453468736,0,0,0,-1
german,mlp,18,duration,relative_minus_5,-0.05,18.0,18.9,0.21792612201370706,0.21785111372861585,-7.500828509121593e-05,7.500828509121593e-05,0,0,0,-1
german,mlp,19,duration,relative_minus_5,-0.05,18.0,18.9,0.5132077646135412,0.5166663623714373,0.0034585977578960314,0.0034585977578960314,1,1,0,-1
german,mlp,20,duration,relative_minus_5,-0.05,18.0,18.9,0.16826818543871874,0.17136826987427978,0.0031000844355610346,0.0031000844355610346,0,0,0,-1
german,mlp,21,duration,relative_minus_5,-0.05,6.0,6.3,0.18871648712224667,0.18944631275866095,0.0007298256364142719,0.0007298256364142719,0,0,0,-1
german,mlp,22,duration,relative_minus_5,-0.05,15.0,15.75,0.2340361932873373,0.23445739927577833,0.0004212059884410313,0.0004212059884410313,0,0,0,-1
german,mlp,23,duration,relative_minus_5,-0.05,18.0,18.9,0.49953972896498505,0.5021872755465362,0.002647546581551141,0.002647546581551141,0,1,1,-1
german,mlp,24,duration,relative_minus_5,-0.05,36.0,37.8,0.3945250994274686,0.39535179480602384,0.0008266953785552311,0.0008266953785552311,0,0,0,-1
german,mlp,25,duration,relative_minus_5,-0.05,9.0,9.45,0.1999714289423839,0.20126849348220824,0.0012970645398243386,0.0012970645398243386,0,0,0,-1
german,mlp,26,duration,relative_minus_5,-0.05,30.0,31.5,0.2622371730736121,0.2634340552406821,0.0011968821670699792,0.0011968821670699792,0,0,0,-1
german,mlp,27,duration,relative_minus_5,-0.05,12.0,12.6,0.40187252116986394,0.4049231937003929,0.003050672530528986,0.003050672530528986,0,0,0,-1
german,mlp,28,duration,relative_minus_5,-0.05,6.0,6.3,0.21975633548972673,0.21996044638105777,0.0002041108913310441,0.0002041108913310441,0,0,0,-1
german,mlp,29,duration,relative_minus_5,-0.05,6.0,6.3,0.28996688444799096,0.29064691898539247,0.0006800345374015082,0.0006800345374015082,0,0,0,-1
german,mlp,30,duration,relative_minus_5,-0.05,15.0,15.75,0.5843997058285129,0.5861476704804475,0.0017479646519346081,0.0017479646519346081,1,1,0,-1
german,mlp,31,duration,relative_minus_5,-0.05,9.0,9.45,0.42703271675750654,0.42862192942962685,0.0015892126721203104,0.0015892126721203104,0,0,0,-1
german,mlp,32,duration,relative_minus_5,-0.05,15.0,15.75,0.06159397700408669,0.062156107503614715,0.0005621304995280241,0.0005621304995280241,0,0,0,-1
german,mlp,33,duration,relative_minus_5,-0.05,9.0,9.45,0.2452309775841329,0.24543679297955304,0.00020581539542013916,0.00020581539542013916,0,0,0,-1
german,mlp,34,duration,relative_minus_5,-0.05,24.0,25.2,0.5123814318058395,0.5111042334612913,-0.0012771983445482027,0.0012771983445482027,1,1,0,-1
german,mlp,35,duration,relative_minus_5,-0.05,18.0,18.9,0.4040062504090185,0.40489296717969725,0.0008867167706787527,0.0008867167706787527,0,0,0,-1
german,mlp,36,duration,relative_minus_5,-0.05,36.0,37.8,0.39041320626672604,0.3895326790114263,-0.0008805272552997456,0.0008805272552997456,0,0,0,-1
german,mlp,37,duration,relative_minus_5,-0.05,15.0,15.75,0.3668266156268264,0.3696565522851371,0.0028299366583107166,0.0028299366583107166,0,0,0,-1
german,mlp,38,duration,relative_minus_5,-0.05,36.0,37.8,0.399240031305948,0.39939306801034147,0.00015303670439348327,0.00015303670439348327,0,0,0,-1
german,mlp,39,duration,relative_minus_5,-0.05,12.0,12.6,0.31310442539427324,0.31523541691677787,0.0021309915225046216,0.0021309915225046216,0,0,0,-1
german,mlp,40,duration,relative_minus_5,-0.05,24.0,25.2,0.3333594981968233,0.338453065469539,0.005093567272715704,0.005093567272715704,0,0,0,-1
german,mlp,41,duration,relative_minus_5,-0.05,18.0,18.9,0.3016974078180434,0.3020710195865402,0.00037361176849681765,0.00037361176849681765,0,0,0,-1
german,mlp,42,duration,relative_minus_5,-0.05,12.0,12.6,0.3967842920357588,0.3987893075692642,0.00200501553350535,0.00200501553350535,0,0,0,-1
german,mlp,43,duration,relative_minus_5,-0.05,15.0,15.75,0.2191377203672374,0.21983681434905897,0.0006990939818215802,0.0006990939818215802,0,0,0,-1
german,mlp,44,duration,relative_minus_5,-0.05,27.0,28.35,0.30746499417314455,0.31027856440477697,0.002813570231632423,0.002813570231632423,0,0,0,-1
german,mlp,45,duration,relative_minus_5,-0.05,18.0,18.9,0.19417247812730504,0.19525238677768036,0.0010799086503753275,0.0010799086503753275,0,0,0,-1
german,mlp,46,duration,relative_minus_5,-0.05,48.0,50.4,0.19798688045008261,0.2037786876412362,0.005791807191153575,0.005791807191153575,0,0,0,-1
german,mlp,47,duration,relative_minus_5,-0.05,10.0,10.5,0.2718695537935461,0.2731886732885001,0.001319119494954002,0.001319119494954002,0,0,0,-1
german,mlp,48,duration,relative_minus_5,-0.05,30.0,31.5,0.1750165253584432,0.17806350407207613,0.0030469787136329363,0.0030469787136329363,0,0,0,-1
german,mlp,49,duration,relative_minus_5,-0.05,24.0,25.2,0.4588613965006128,0.460299150297663,0.0014377537970501897,0.0014377537970501897,0,0,0,-1
german,mlp,50,duration,relative_minus_5,-0.05,21.0,22.05,0.25833505988114175,0.2588566015994009,0.0005215417182591331,0.0005215417182591331,0,0,0,-1
german,mlp,51,duration,relative_minus_5,-0.05,9.0,9.45,0.23994228781447036,0.24035648060141393,0.00041419278694357353,0.00041419278694357353,0,0,0,-1
german,mlp,52,duration,relative_minus_5,-0.05,18.0,18.9,0.25197598703294255,0.25288138240419406,0.000905395371251505,0.000905395371251505,0,0,0,-1
german,mlp,53,duration,relative_minus_5,-0.05,18.0,18.9,0.24562077738290533,0.24778049010274875,0.002159712719843415,0.002159712719843415,0,0,0,-1
german,mlp,54,duration,relative_minus_5,-0.05,12.0,12.6,0.18732343132224302,0.1878433173047857,0.0005198859825426838,0.0005198859825426838,0,0,0,-1
german,mlp,55,duration,relative_minus_5,-0.05,45.0,47.25,0.3754380929776099,0.3763039319857648,0.0008658390081549006,0.0008658390081549006,0,0,0,-1
german,mlp,56,duration,relative_minus_5,-0.05,18.0,18.9,0.33683635847007065,0.33837257316800723,0.0015362146979365776,0.0015362146979365776,0,0,0,-1
german,mlp,57,duration,relative_minus_5,-0.05,24.0,25.2,0.4247782060955582,0.42620607560644286,0.0014278695108846384,0.0014278695108846384,0,0,0,-1
german,mlp,58,duration,relative_minus_5,-0.05,6.0,6.3,0.20020788889953503,0.20065292779888494,0.0004450388993499088,0.0004450388993499088,0,0,0,-1
german,mlp,59,duration,relative_minus_5,-0.05,24.0,25.2,0.5357836989632669,0.5434726197415283,0.007688920778261332,0.007688920778261332,1,1,0,-1
german,mlp,60,duration,relative_minus_5,-0.05,12.0,12.6,0.33610005721370495,0.33878459165108804,0.0026845344373830904,0.0026845344373830904,0,0,0,-1
german,mlp,61,duration,relative_minus_5,-0.05,18.0,18.9,0.21555248127528462,0.2159114699646308,0.000358988689346168,0.000358988689346168,0,0,0,-1
german,mlp,62,duration,relative_minus_5,-0.05,36.0,37.8,0.26851517186260315,0.2700805877196165,0.0015654158570133636,0.0015654158570133636,0,0,0,-1
german,mlp,63,duration,relative_minus_5,-0.05,39.0,40.95,0.42519995561469526,0.42807945663248903,0.002879501017793773,0.002879501017793773,0,0,0,-1
german,mlp,64,duration,relative_minus_5,-0.05,18.0,18.9,0.3902998055499012,0.38968186838053975,-0.0006179371693614266,0.0006179371693614266,0,0,0,-1
german,mlp,65,duration,relative_minus_5,-0.05,24.0,25.2,0.22708278958567477,0.23061210827029072,0.0035293186846159508,0.0035293186846159508,0,0,0,-1
german,mlp,66,duration,relative_minus_5,-0.05,24.0,25.2,0.43863287851091937,0.440990382307068,0.00235750379614863,0.00235750379614863,0,0,0,-1
german,mlp,67,duration,relative_minus_5,-0.05,36.0,37.8,0.6061115695108918,0.6057607769640234,-0.0003507925468684281,0.0003507925468684281,1,1,0,-1
german,mlp,68,duration,relative_minus_5,-0.05,27.0,28.35,0.367077678742253,0.3681083068073261,0.0010306280650730915,0.0010306280650730915,0,0,0,-1
german,mlp,69,duration,relative_minus_5,-0.05,15.0,15.75,0.4207072819437597,0.42325594974833775,0.0025486678045780198,0.0025486678045780198,0,0,0,-1
german,mlp,70,duration,relative_minus_5,-0.05,12.0,12.6,0.35120868452508525,0.35327399837476653,0.002065313849681283,0.002065313849681283,0,0,0,-1
german,mlp,71,duration,relative_minus_5,-0.05,24.0,25.2,0.2326481332416817,0.23310235525718354,0.00045422201550182617,0.00045422201550182617,0,0,0,-1
german,mlp,72,duration,relative_minus_5,-0.05,10.0,10.5,0.17579921113180116,0.1761223943516908,0.00032318321988963894,0.00032318321988963894,0,0,0,-1
german,mlp,73,duration,relative_minus_5,-0.05,12.0,12.6,0.22932773566828754,0.23015067469196457,0.0008229390236770273,0.0008229390236770273,0,0,0,-1
german,mlp,74,duration,relative_minus_5,-0.05,12.0,12.6,0.21586888817903582,0.21719285973335703,0.0013239715543212072,0.0013239715543212072,0,0,0,-1
german,mlp,75,duration,relative_minus_5,-0.05,15.0,15.75,0.4423554762861602,0.44236894787010755,1.3471583947377574e-05,1.3471583947377574e-05,0,0,0,-1
german,mlp,76,duration,relative_minus_5,-0.05,12.0,12.6,0.32507530002633894,0.32533012909344394,0.0002548290671050002,0.0002548290671050002,0,0,0,-1
german,mlp,77,duration,relative_minus_5,-0.05,24.0,25.2,0.3010734026184118,0.30239372625037325,0.0013203236319614398,0.0013203236319614398,0,0,0,-1
german,mlp,78,duration,relative_minus_5,-0.05,30.0,31.5,0.24763530518832041,0.25189183269537385,0.004256527507053437,0.004256527507053437,0,0,0,-1
german,mlp,79,duration,relative_minus_5,-0.05,45.0,47.25,0.4172248844520669,0.42061314199871225,0.0033882575466453457,0.0033882575466453457,0,0,0,-1
german,mlp,80,duration,relative_minus_5,-0.05,60.0,63.0,0.284838415529233,0.29105173991991223,0.006213324390679231,0.006213324390679231,0,0,0,-1
german,mlp,81,duration,relative_minus_5,-0.05,54.0,56.7,0.17349396284028698,0.17095076685786026,-0.0025431959824267214,0.0025431959824267214,0,0,0,-1
german,mlp,82,duration,relative_minus_5,-0.05,13.0,13.65,0.39424334337811145,0.39460467813417355,0.00036133475606209275,0.00036133475606209275,0,0,0,-1
german,mlp,83,duration,relative_minus_5,-0.05,21.0,22.05,0.367820580992647,0.36435549402952244,-0.0034650869631245307,0.0034650869631245307,0,0,0,-1
german,mlp,84,duration,relative_minus_5,-0.05,36.0,37.8,0.3448230799863803,0.3492343735865794,0.0044112936001990954,0.0044112936001990954,0,0,0,-1
german,mlp,85,duration,relative_minus_5,-0.05,12.0,12.6,0.2444924421566889,0.24413580897045045,-0.00035663318623843643,0.00035663318623843643,0,0,0,-1
german,mlp,86,duration,relative_minus_5,-0.05,7.0,7.35,0.29800204425166227,0.29893942758831926,0.0009373833366569939,0.0009373833366569939,0,0,0,-1
german,mlp,87,duration,relative_minus_5,-0.05,36.0,37.8,0.4966269950842168,0.4964542804555165,-0.00017271462870033227,0.00017271462870033227,0,0,0,-1
