dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
german,random_forest,0,duration,relative_minus_5,-0.05,18.0,18.9,0.4868119866956214,0.4868119866956213,-1.1102230246251565e-16,1.1102230246251565e-16,0,0,0,-1
german,random_forest,1,duration,relative_minus_5,-0.05,18.0,18.9,0.5939430817740476,0.5939430817740478,1.1102230246251565e-16,1.1102230246251565e-16,1,1,0,-1
german,random_forest,2,duration,relative_minus_5,-0.05,11.0,11.55,0.32378660176592416,0.360115107009148,0.03632850524322384,0.03632850524322384,0,0,0,-1
german,random_forest,3,duration,relative_minus_5,-0.05,36.0,37.8,0.23772786397394421,0.23792636661835653,0.00019850264441231835,0.00019850264441231835,0,0,0,-1
german,random_forest,4,duration,relative_minus_5,-0.05,4.0,4.2,0.06696205490736516,0.06696205490736518,1.3877787807814457e-17,1.3877787807814457e-17,0,0,0,-1
german,random_forest,5,duration,relative_minus_5,-0.05,5.0,5.25,0.16053397819572987,0.1605339781957299,2.7755575615628914e-17,2.7755575615628914e-17,0,0,0,-1
german,random_forest,6,duration,relative_minus_5,-0.05,30.0,31.5,0.1981066071108616,0.1981066071108616,0.0,0.0,0,0,0,-1
german,random_forest,7,duration,relative_minus_5,-0.05,36.0,37.8,0.31091652095023115,0.3123726592396309,0.0014561382893997776,0.0014561382893997776,0,0,0,-1
german,random_forest,8,duration,relative_minus_5,-0.05,12.0,12.6,0.2838984532271453,0.2831738155459859,-0.0007246376811593791,0.0007246376811593791,0,0,0,-1
german,random_forest,9,duration,relative_minus_5,-0.05,24.0,25.2,0.7179434619803786,0.7178152568521735,-0.00012820512820510555,0.00012820512820510555,1,1,0,-1
german,random_forest,10,duration,relative_minus_5,-0.05,18.0,18.9,0.5153093375551072,0.5153093375551072,0.0,0.0,1,1,0,-1
german,random_forest,11,duration,relative_minus_5,-0.05,6.0,6.3,0.4384894706450362,0.4384894706450361,-1.1102230246251565e-16,1.1102230246251565e-16,0,0,0,-1
german,random_forest,12,duration,relative_minus_5,-0.05,12.0,12.6,0.24285146369234875,0.24212682601118937,-0.0007246376811593791,0.0007246376811593791,0,0,0,-1
german,random_forest,13,duration,relative_minus_5,-0.05,12.0,12.6,0.3512106759591839,0.3501671371225416,-0.0010435388366423215,0.0010435388366423215,0,0,0,-1
german,random_forest,14,duration,relative_minus_5,-0.05,6.0,6.3,0.30601571053919147,0.30601571053919147,0.0,0.0,0,0,0,-1
german,random_forest,15,duration,relative_minus_5,-0.05,15.0,15.75,0.5357880960507653,0.5672280630530661,0.031439967002300784,0.031439967002300784,1,1,0,-1
german,random_forest,16,duration,relative_minus_5,-0.05,12.0,12.6,0.11671348409019977,0.11598884640904036,-0.0007246376811594069,0.0007246376811594069,0,0,0,-1
german,random_forest,17,duration,relative_minus_5,-0.05,30.0,31.5,0.700684820808629,0.7006848208086289,-1.1102230246251565e-16,1.1102230246251565e-16,1,1,0,-1
german,random_forest,18,duration,relative_minus_5,-0.05,18.0,18.9,0.2262980623253894,0.22629806232538943,2.7755575615628914e-17,2.7755575615628914e-17,0,0,0,-1
german,random_forest,19,duration,relative_minus_5,-0.05,18.0,18.9,0.6717611482036354,0.6717611482036353,-1.1102230246251565e-16,1.1102230246251565e-16,1,1,0,-1
german,random_forest,20,duration,relative_minus_5,-0.05,18.0,18.9,0.4313597070014411,0.4313597070014411,0.0,0.0,0,0,0,-1
german,random_forest,21,duration,relative_minus_5,-0.05,6.0,6.3,0.18687861922564258,0.18687861922564256,-2.7755575615628914e-17,2.7755575615628914e-17,0,0,0,-1
german,random_forest,22,duration,relative_minus_5,-0.05,15.0,15.75,0.3535797444441497,0.36568756587252826,0.012107821428378573,0.012107821428378573,0,0,0,-1
german,random_forest,23,duration,relative_minus_5,-0.05,18.0,18.9,0.6458997005590041,0.6458997005590041,0.0,0.0,1,1,0,-1
german,random_forest,24,duration,relative_minus_5,-0.05,36.0,37.8,0.634114303637702,0.6341143036377018,-2.220446049250313e-16,2.220446049250313e-16,1,1,0,-1
german,random_forest,25,duration,relative_minus_5,-0.05,9.0,9.45,0.38739004565663065,0.38938191557532986,0.0019918699186992073,0.0019918699186992073,0,0,0,-1
german,random_forest,26,duration,relative_minus_5,-0.05,30.0,31.5,0.5429742007156448,0.5453972776387217,0.002423076923076861,0.002423076923076861,1,1,0,-1
german,random_forest,27,duration,relative_minus_5,-0.05,12.0,12.6,0.6038703844236695,0.6009537177570028,-0.0029166666666666785,0.0029166666666666785,1,1,0,-1
german,random_forest,28,duration,relative_minus_5,-0.05,6.0,6.3,0.1677907072139208,0.1677907072139208,0.0,0.0,0,0,0,-1
german,random_forest,29,duration,relative_minus_5,-0.05,6.0,6.3,0.4437586580382676,0.4437586580382676,0.0,0.0,0,0,0,-1
german,random_forest,30,duration,relative_minus_5,-0.05,15.0,15.75,0.5470407404421336,0.5649145887411398,0.01787384829900618,0.01787384829900618,1,1,0,-1
german,random_forest,31,duration,relative_minus_5,-0.05,9.0,9.45,0.539554520510463,0.5395545205104632,1.1102230246251565e-16,1.1102230246251565e-16,1,1,0,-1
german,random_forest,32,duration,relative_minus_5,-0.05,15.0,15.75,0.29002518290444124,0.3148450728843354,0.02481988997989415,0.02481988997989415,0,0,0,-1
german,random_forest,33,duration,relative_minus_5,-0.05,9.0,9.45,0.22010808872851348,0.22010808872851348,0.0,0.0,0,0,0,-1
german,random_forest,34,duration,relative_minus_5,-0.05,24.0,25.2,0.5881310378549943,0.5881310378549945,2.220446049250313e-16,2.220446049250313e-16,1,1,0,-1
german,random_forest,35,duration,relative_minus_5,-0.05,18.0,18.9,0.3305367418780134,0.33053674187801335,-5.551115123125783e-17,5.551115123125783e-17,0,0,0,-1
german,random_forest,36,duration,relative_minus_5,-0.05,36.0,37.8,0.6308055639636436,0.6315463047043842,0.0007407407407405975,0.0007407407407405975,1,1,0,-1
german,random_forest,37,duration,relative_minus_5,-0.05,15.0,15.75,0.34933449835963243,0.3630451577383153,0.013710659378682877,0.013710659378682877,0,0,0,-1
german,random_forest,38,duration,relative_minus_5,-0.05,36.0,37.8,0.5476110327210156,0.5460071502466333,-0.0016038824743823676,0.0016038824743823676,1,1,0,-1
german,random_forest,39,duration,relative_minus_5,-0.05,12.0,12.6,0.27156035850398585,0.2700048029484303,-0.0015555555555555323,0.0015555555555555323,0,0,0,-1
german,random_forest,40,duration,relative_minus_5,-0.05,24.0,25.2,0.4474493875183966,0.4474493875183965,-5.551115123125783e-17,5.551115123125783e-17,0,0,0,-1
