dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
gmsc,lightgbm,0,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.030896358,0.0324411759,0.09051292759777842,0.09051292759777842,0.0,0.0,0,0,0,-1
gmsc,lightgbm,1,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.02948292,0.030957066,0.07432795724364831,0.07432795724364831,0.0,0.0,0,0,0,-1
gmsc,lightgbm,2,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.021382323,0.022451439150000002,0.056660675741342766,0.056660675741342766,0.0,0.0,0,0,0,-1
gmsc,lightgbm,3,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.15189621,0.1594910205,0.286464202572455,0.29109181795231415,0.0046276153798591735,0.0046276153798591735,0,0,0,-1
gmsc,lightgbm,4,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.011665889,0.012249183450000001,0.10238192900656183,0.10238192900656183,0.0,0.0,0,0,0,-1
gmsc,lightgbm,5,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.23322007,0.2448810735,0.18604525641874214,0.18604525641874214,0.0,0.0,0,0,0,-1
gmsc,lightgbm,6,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.39567325,0.4154569125,0.23797486099678064,0.275925553700158,0.03795069270337734,0.03795069270337734,0,0,0,-1
gmsc,lightgbm,7,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.2807908,0.29483034,0.1952165672674782,0.2003474303463824,0.005130863078904174,0.005130863078904174,0,0,0,-1
gmsc,lightgbm,8,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.1354653526779545,0.07153734980704926,-0.06392800287090525,0.06392800287090525,0,0,0,-1
gmsc,lightgbm,9,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.12197734,0.128076207,0.4085309008746626,0.4085309008746626,0.0,0.0,0,0,0,-1
gmsc,lightgbm,10,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.3846793,0.403913265,0.4151340630771105,0.4485279974378582,0.033393934360747723,0.033393934360747723,0,0,0,-1
gmsc,lightgbm,11,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.43613514,0.457941897,0.2344419755121663,0.2344419755121663,0.0,0.0,0,0,0,-1
gmsc,lightgbm,12,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09578084,0.100569882,0.04156783494420435,0.04156783494420435,0.0,0.0,0,0,0,-1
gmsc,lightgbm,13,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.8781305200687587,0.9230790938124996,0.04494857374374095,0.04494857374374095,1,1,0,-1
gmsc,lightgbm,14,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.47141215,0.4949827575,0.30318348670534856,0.32006822542358143,0.016884738718232872,0.016884738718232872,0,0,0,-1
gmsc,lightgbm,15,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03738817,0.0392575785,0.27986218783007943,0.26109764767386334,-0.018764540156216092,0.018764540156216092,0,0,0,-1
gmsc,lightgbm,16,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.36518577,0.38344505850000005,0.4795715640243079,0.4795715640243079,0.0,0.0,0,0,0,-1
gmsc,lightgbm,17,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.044219106,0.0464300613,0.10036173784291944,0.08191845077001962,-0.018443287072899814,0.018443287072899814,0,0,0,-1
gmsc,lightgbm,18,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.4332396231850946,0.5757748428454028,0.1425352196603082,0.1425352196603082,0,1,1,-1
gmsc,lightgbm,19,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.050904956,0.0534502038,0.20706517488791176,0.189354171220936,-0.017711003666975755,0.017711003666975755,0,0,0,-1
gmsc,lightgbm,20,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.028527671,0.02995405455,0.05708612745116283,0.05708612745116283,0.0,0.0,0,0,0,-1
gmsc,lightgbm,21,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.06357361,0.0667522905,0.0755556455268635,0.10735684089570605,0.031801195368842544,0.031801195368842544,0,0,0,-1
gmsc,lightgbm,22,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.002599913,0.00272990865,0.05695935088858043,0.05695935088858043,0.0,0.0,0,0,0,-1
gmsc,lightgbm,23,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03161417,0.0331948785,0.08889571164479391,0.08889571164479391,0.0,0.0,0,0,0,-1
gmsc,lightgbm,24,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.025913903,0.02720959815,0.03569402945373115,0.03569402945373115,0.0,0.0,0,0,0,-1
gmsc,lightgbm,25,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.8536293,0.8963107650000001,0.485195355176274,0.508502879501418,0.023307524325144047,0.023307524325144047,0,1,1,-1
gmsc,lightgbm,26,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.4690330102001808,0.6454709508243567,0.1764379406241759,0.1764379406241759,0,1,1,-1
gmsc,lightgbm,27,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.063485205,0.06665946525000001,0.15310886136230434,0.19442267614447345,0.04131381478216911,0.04131381478216911,0,0,0,-1
gmsc,lightgbm,28,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.24706706865061875,0.13542590808765603,-0.11164116056296272,0.11164116056296272,0,0,0,-1
gmsc,lightgbm,29,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.015614713,0.01639544865,0.07280429517617616,0.07280429517617616,0.0,0.0,0,0,0,-1
gmsc,lightgbm,30,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09734902,0.10221647099999999,0.2669688028729123,0.2669688028729123,0.0,0.0,0,0,0,-1
gmsc,lightgbm,31,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09229909,0.0969140445,0.16812286485697317,0.16938478535317866,0.001261920496205493,0.001261920496205493,0,0,0,-1
gmsc,lightgbm,32,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.22324374,0.234405927,0.1358222660255187,0.18769426421521138,0.05187199818969268,0.05187199818969268,0,0,0,-1
gmsc,lightgbm,33,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.023850212,0.025042722599999998,0.0907121359558535,0.09215639840593688,0.001444262450083375,0.001444262450083375,0,0,0,-1
gmsc,lightgbm,34,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.57284,0.6014820000000001,0.5887765630991544,0.5887765630991544,0.0,0.0,1,1,0,-1
