dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
gmsc,mlp,0,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.030896358,0.0324411759,0.02211686465599193,0.022118928973304045,2.0643173121136227e-06,2.0643173121136227e-06,0,0,0,-1
gmsc,mlp,1,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.02948292,0.030957066,0.01569449495491033,0.015695992145683617,1.497190773285667e-06,1.497190773285667e-06,0,0,0,-1
gmsc,mlp,2,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.021382323,0.022451439150000002,0.016575068310977385,0.01657623973755548,1.1714265780969624e-06,1.1714265780969624e-06,0,0,0,-1
gmsc,mlp,3,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.15189621,0.1594910205,0.034126022539606525,0.034141131405383704,1.5108865777178904e-05,1.5108865777178904e-05,0,0,0,-1
gmsc,mlp,4,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.011665889,0.012249183450000001,0.026106102898580053,0.026107065965533263,9.630669532099956e-07,9.630669532099956e-07,0,0,0,-1
gmsc,mlp,5,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.23322007,0.2448810735,0.021830131699538843,0.021844732533106575,1.460083356773223e-05,1.460083356773223e-05,0,0,0,-1
gmsc,mlp,6,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.39567325,0.4154569125,0.03217662260521963,0.03221110935408113,3.448674886149389e-05,3.448674886149389e-05,0,0,0,-1
gmsc,mlp,7,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.2807908,0.29483034,0.046315106403102796,0.046358785702172736,4.367929906994028e-05,4.367929906994028e-05,0,0,0,-1
gmsc,mlp,8,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.05673708325740244,0.0567572712007446,2.018794334215923e-05,2.018794334215923e-05,0,0,0,-1
gmsc,mlp,9,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.12197734,0.128076207,0.07183380465082981,0.07185452629212163,2.072164129182652e-05,2.072164129182652e-05,0,0,0,-1
gmsc,mlp,10,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.3846793,0.403913265,0.029425463415082575,0.029460414895271923,3.495148018934843e-05,3.495148018934843e-05,0,0,0,-1
gmsc,mlp,11,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.43613514,0.457941897,0.012965465127209348,0.012978418243580899,1.295311637155086e-05,1.295311637155086e-05,0,0,0,-1
gmsc,mlp,12,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09578084,0.100569882,0.007076920292949544,0.007079197478924896,2.27718597535162e-06,2.27718597535162e-06,0,0,0,-1
gmsc,mlp,13,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.35361463292929435,0.3539458620707044,0.0003312291414100388,0.0003312291414100388,0,0,0,-1
gmsc,mlp,14,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.47141215,0.4949827575,0.03041379302018182,0.030460744687846854,4.695166766503431e-05,4.695166766503431e-05,0,0,0,-1
gmsc,mlp,15,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03738817,0.0392575785,0.028531846223265274,0.028534143065906858,2.296842641583835e-06,2.296842641583835e-06,0,0,0,-1
gmsc,mlp,16,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.36518577,0.38344505850000005,0.11002930362193034,0.1101055825485026,7.627892657226243e-05,7.627892657226243e-05,0,0,0,-1
gmsc,mlp,17,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.044219106,0.0464300613,0.013790889882417817,0.013792816178625295,1.926296207478001e-06,1.926296207478001e-06,0,0,0,-1
gmsc,mlp,18,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.02753715371688414,0.0276191846774958,8.203096061165996e-05,8.203096061165996e-05,0,0,0,-1
gmsc,mlp,19,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.050904956,0.0534502038,0.052926506156008635,0.05293386239745032,7.356241441686118e-06,7.356241441686118e-06,0,0,0,-1
gmsc,mlp,20,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.028527671,0.02995405455,0.008830310596060332,0.008830948055579671,6.374595193387594e-07,6.374595193387594e-07,0,0,0,-1
gmsc,mlp,21,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.06357361,0.0667522905,0.014797349397540089,0.014800317864144581,2.968466604491918e-06,2.968466604491918e-06,0,0,0,-1
gmsc,mlp,22,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.002599913,0.00272990865,0.04562370697875247,0.04562420741810095,5.004393484817071e-07,5.004393484817071e-07,0,0,0,-1
gmsc,mlp,23,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03161417,0.0331948785,0.01573080665121102,0.01573208345442433,1.2768032133098073e-06,1.2768032133098073e-06,0,0,0,-1
gmsc,mlp,24,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.025913903,0.02720959815,0.011506289508992087,0.011507180713776705,8.912047846174748e-07,8.912047846174748e-07,0,0,0,-1
gmsc,mlp,25,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.8536293,0.8963107650000001,0.03731802443216143,0.03741729623227108,9.927180010965014e-05,9.927180010965014e-05,0,0,0,-1
gmsc,mlp,26,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.029333059161415907,0.02942610486301076,9.304570159485506e-05,9.304570159485506e-05,0,0,0,-1
gmsc,mlp,27,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.063485205,0.06665946525000001,0.035095010256273325,0.035102014814286056,7.004558012731199e-06,7.004558012731199e-06,0,0,0,-1
gmsc,mlp,28,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.09263198005026192,0.09265842934595442,2.64492956924961e-05,2.64492956924961e-05,0,0,0,-1
gmsc,mlp,29,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.015614713,0.01639544865,0.006344097366443652,0.006344413458018383,3.1609157473064253e-07,3.1609157473064253e-07,0,0,0,-1
