dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
gmsc,random_forest,0,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.030896358,0.0324411759,0.12448314782663561,0.12502577352254474,0.0005426256959091269,0.0005426256959091269,0,0,0,-1
gmsc,random_forest,1,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.02948292,0.030957066,0.12575902714321507,0.12575902714321502,-5.551115123125783e-17,5.551115123125783e-17,0,0,0,-1
gmsc,random_forest,2,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.021382323,0.022451439150000002,0.07737496123247078,0.07737496123247078,0.0,0.0,0,0,0,-1
gmsc,random_forest,3,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.15189621,0.1594910205,0.2222470545521674,0.22387918273388951,0.00163212818172212,0.00163212818172212,0,0,0,-1
gmsc,random_forest,4,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.011665889,0.012249183450000001,0.16593632439170214,0.16593632439170214,0.0,0.0,0,0,0,-1
gmsc,random_forest,5,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.23322007,0.2448810735,0.20005511957959218,0.20384760942886285,0.003792489849270664,0.003792489849270664,0,0,0,-1
gmsc,random_forest,6,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.39567325,0.4154569125,0.24736845321604625,0.2832563554129162,0.035887902196869964,0.035887902196869964,0,0,0,-1
gmsc,random_forest,7,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.2807908,0.29483034,0.2020807786711973,0.20590306102132364,0.003822282350126327,0.003822282350126327,0,0,0,-1
gmsc,random_forest,8,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.16030677171113558,0.15117633963905897,-0.009130432072076616,0.009130432072076616,0,0,0,-1
gmsc,random_forest,9,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.12197734,0.128076207,0.44585372419624947,0.44175130791344475,-0.004102416282804722,0.004102416282804722,0,0,0,-1
gmsc,random_forest,10,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.3846793,0.403913265,0.3047745297393056,0.33449471832504696,0.02972018858574138,0.02972018858574138,0,0,0,-1
gmsc,random_forest,11,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.43613514,0.457941897,0.2817436317150431,0.28599355221501194,0.004249920499968862,0.004249920499968862,0,0,0,-1
