dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
gmsc,xgboost,0,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.030896358,0.0324411759,0.08203070610761642,0.08203070610761642,0.0,0.0,0,0,0,-1
gmsc,xgboost,1,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.02948292,0.030957066,0.07381805032491684,0.07381805032491684,0.0,0.0,0,0,0,-1
gmsc,xgboost,2,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.021382323,0.022451439150000002,0.057695530354976654,0.057695530354976654,0.0,0.0,0,0,0,-1
gmsc,xgboost,3,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.15189621,0.1594910205,0.29744529724121094,0.3013021647930145,0.003856867551803589,0.003856867551803589,0,0,0,-1
gmsc,xgboost,4,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.011665889,0.012249183450000001,0.10023795068264008,0.10023795068264008,0.0,0.0,0,0,0,-1
gmsc,xgboost,5,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.23322007,0.2448810735,0.19237148761749268,0.18802985548973083,-0.004341632127761841,0.004341632127761841,0,0,0,-1
gmsc,xgboost,6,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.39567325,0.4154569125,0.2720617651939392,0.2985757887363434,0.026514023542404175,0.026514023542404175,0,0,0,-1
gmsc,xgboost,7,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.2807908,0.29483034,0.2072291374206543,0.23080188035964966,0.02357274293899536,0.02357274293899536,0,0,0,-1
gmsc,xgboost,8,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.14596141874790192,0.07773148268461227,-0.06822993606328964,0.06822993606328964,0,0,0,-1
gmsc,xgboost,9,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.12197734,0.128076207,0.3907460570335388,0.3887563645839691,-0.001989692449569702,0.001989692449569702,0,0,0,-1
gmsc,xgboost,10,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.3846793,0.403913265,0.43983033299446106,0.45480889081954956,0.014978557825088501,0.014978557825088501,0,0,0,-1
gmsc,xgboost,11,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.43613514,0.457941897,0.2212306559085846,0.22060900926589966,-0.0006216466426849365,0.0006216466426849365,0,0,0,-1
gmsc,xgboost,12,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09578084,0.100569882,0.034909687936306,0.036875225603580475,0.001965537667274475,0.001965537667274475,0,0,0,-1
gmsc,xgboost,13,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.8862441778182983,0.9013800621032715,0.015135884284973145,0.015135884284973145,1,1,0,-1
gmsc,xgboost,14,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.47141215,0.4949827575,0.30772891640663147,0.33106735348701477,0.0233384370803833,0.0233384370803833,0,0,0,-1
gmsc,xgboost,15,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03738817,0.0392575785,0.2524952292442322,0.24205578863620758,-0.010439440608024597,0.010439440608024597,0,0,0,-1
gmsc,xgboost,16,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.36518577,0.38344505850000005,0.48664188385009766,0.49433448910713196,0.007692605257034302,0.007692605257034302,0,0,0,-1
gmsc,xgboost,17,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.044219106,0.0464300613,0.09193970263004303,0.08482582867145538,-0.0071138739585876465,0.0071138739585876465,0,0,0,-1
gmsc,xgboost,18,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.3769620656967163,0.5363765954971313,0.15941452980041504,0.15941452980041504,0,1,1,-1
gmsc,xgboost,19,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.050904956,0.0534502038,0.21186602115631104,0.21169039607048035,-0.00017562508583068848,0.00017562508583068848,0,0,0,-1
gmsc,xgboost,20,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.028527671,0.02995405455,0.04993200674653053,0.04993200674653053,0.0,0.0,0,0,0,-1
gmsc,xgboost,21,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.06357361,0.0667522905,0.08262580633163452,0.12108433246612549,0.03845852613449097,0.03845852613449097,0,0,0,-1
gmsc,xgboost,22,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.002599913,0.00272990865,0.06402596086263657,0.06680278480052948,0.002776823937892914,0.002776823937892914,0,0,0,-1
gmsc,xgboost,23,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.03161417,0.0331948785,0.08952450007200241,0.08952450007200241,0.0,0.0,0,0,0,-1
gmsc,xgboost,24,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.025913903,0.02720959815,0.034259602427482605,0.029467055574059486,-0.004792546853423119,0.004792546853423119,0,0,0,-1
gmsc,xgboost,25,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.8536293,0.8963107650000001,0.49923714995384216,0.5214267373085022,0.022189587354660034,0.022189587354660034,0,1,1,-1
gmsc,xgboost,26,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.9999999,1.049999895,0.46355003118515015,0.6479224562644958,0.1843724250793457,0.1843724250793457,0,1,1,-1
gmsc,xgboost,27,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.063485205,0.06665946525000001,0.16462162137031555,0.24344806373119354,0.07882644236087799,0.07882644236087799,0,0,0,-1
gmsc,xgboost,28,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.222405344247818,0.12288457155227661,-0.09952077269554138,0.09952077269554138,0,0,0,-1
gmsc,xgboost,29,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.015614713,0.01639544865,0.06126169487833977,0.060589488595724106,-0.0006722062826156616,0.0006722062826156616,0,0,0,-1
gmsc,xgboost,30,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09734902,0.10221647099999999,0.25775110721588135,0.26229164004325867,0.004540532827377319,0.004540532827377319,0,0,0,-1
gmsc,xgboost,31,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.09229909,0.0969140445,0.14284415543079376,0.14536242187023163,0.002518266439437866,0.002518266439437866,0,0,0,-1
gmsc,xgboost,32,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.22324374,0.234405927,0.1354866921901703,0.16970203816890717,0.03421534597873688,0.03421534597873688,0,0,0,-1
gmsc,xgboost,33,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.023850212,0.025042722599999998,0.0799889788031578,0.08270712941884995,0.0027181506156921387,0.0027181506156921387,0,0,0,-1
gmsc,xgboost,34,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.57284,0.6014820000000001,0.5890139937400818,0.5890139937400818,0.0,0.0,1,1,0,-1
gmsc,xgboost,35,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.2748278,0.28856919000000003,0.7353684902191162,0.7404928803443909,0.005124390125274658,0.005124390125274658,1,1,0,-1
gmsc,xgboost,36,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.74517345,0.7824321225,0.1960536539554596,0.20360007882118225,0.007546424865722656,0.007546424865722656,0,0,0,-1
gmsc,xgboost,37,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.72366506,0.759848313,0.35266122221946716,0.35266122221946716,0.0,0.0,0,0,0,-1
gmsc,xgboost,38,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.45712107,0.4799771235,0.2510143518447876,0.26358774304389954,0.012573391199111938,0.012573391199111938,0,0,0,-1
gmsc,xgboost,39,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.06888933,0.07233379649999999,0.4371665418148041,0.4371665418148041,0.0,0.0,0,0,0,-1
gmsc,xgboost,40,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.0,0.00455047435,0.13587132096290588,0.07304266840219498,-0.06282865256071091,0.06282865256071091,0,0,0,-1
gmsc,xgboost,41,RevolvingUtilizationOfUnsecuredLines,relative_minus_5,-0.05,0.011121044,0.0116770962,0.18514351546764374,0.1834614872932434,-0.0016820281744003296,0.0016820281744003296,0,0,0,-1
