dataset,model,n_instances,n_features_perturbed,n_perturbation_types,total_perturbations,mean_absolute_probability_change,prediction_flip_rate
german,xgboost,100,7,4,28,0.0129036802482525,0.0207142857142857
german,lightgbm,100,7,4,28,0.0142663209357663,0.015
german,random_forest,100,7,4,28,0.0020261948102974,0.0014285714285714
german,mlp,100,7,4,28,0.0031932671232095,0.0114285714285714
taiwan,xgboost,100,20,4,80,0.0042806743718683,0.0085
taiwan,lightgbm,100,20,4,80,0.0106617208128077,0.02375
taiwan,random_forest,100,20,4,80,0.0015095342962805,0.00425
taiwan,mlp,100,20,4,80,0.0015659590179803,0.001
gmsc,xgboost,100,10,4,40,0.0061114838365465,0.0085
gmsc,lightgbm,100,10,4,40,0.0986273581999167,0.1535
gmsc,random_forest,100,10,4,40,0.0022303395058606,0.004
gmsc,mlp,100,10,4,40,0.0025374686135044,0.0
