dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
taiwan,mlp,0,LIMIT_BAL,relative_minus_5,-0.05,60000.0,63000.0,0.15913754818037143,0.15796449287429087,-0.001173055306080556,0.001173055306080556,0,0,0,-1
taiwan,mlp,1,LIMIT_BAL,relative_minus_5,-0.05,180000.0,189000.0,0.07325980423520552,0.07309892139737217,-0.00016088283783334545,0.00016088283783334545,0,0,0,-1
taiwan,mlp,2,LIMIT_BAL,relative_minus_5,-0.05,410000.0,430500.0,0.02339213301548644,0.022501491282894383,-0.0008906417325920575,0.0008906417325920575,0,0,0,-1
taiwan,mlp,3,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.1843519212057013,0.1832776131156403,-0.0010743080900609825,0.0010743080900609825,0,0,0,-1
taiwan,mlp,4,LIMIT_BAL,relative_minus_5,-0.05,320000.0,336000.0,0.11301084881710557,0.11026885093201812,-0.0027419978850874577,0.0027419978850874577,0,0,0,-1
taiwan,mlp,5,LIMIT_BAL,relative_minus_5,-0.05,20000.0,21000.0,0.16712523065767257,0.1667261657347051,-0.000399064922967457,0.000399064922967457,0,0,0,-1
taiwan,mlp,6,LIMIT_BAL,relative_minus_5,-0.05,500000.0,525000.0,0.06587249725500303,0.06265137032829601,-0.0032211269267070214,0.0032211269267070214,0,0,0,-1
taiwan,mlp,7,LIMIT_BAL,relative_minus_5,-0.05,170000.0,178500.0,0.06588412448980503,0.06343287275033757,-0.002451251739467461,0.002451251739467461,0,0,0,-1
taiwan,mlp,8,LIMIT_BAL,relative_minus_5,-0.05,130000.0,136500.0,0.1423579171584182,0.14055937786702402,-0.0017985392913941745,0.0017985392913941745,0,0,0,-1
taiwan,mlp,9,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.14631342198575922,0.1449001838658717,-0.0014132381198875277,0.0014132381198875277,0,0,0,-1
taiwan,mlp,10,LIMIT_BAL,relative_minus_5,-0.05,30000.0,31500.0,0.6075647298122901,0.6073543096869354,-0.00021042012535477106,0.00021042012535477106,1,1,0,-1
taiwan,mlp,11,LIMIT_BAL,relative_minus_5,-0.05,120000.0,126000.0,0.24677402191554168,0.2466108238049692,-0.00016319811057247113,0.00016319811057247113,0,0,0,-1
taiwan,mlp,12,LIMIT_BAL,relative_minus_5,-0.05,80000.0,84000.0,0.5653520049224172,0.5646515437645117,-0.0007004611579055631,0.0007004611579055631,1,1,0,-1
taiwan,mlp,13,LIMIT_BAL,relative_minus_5,-0.05,500000.0,525000.0,0.04318753740748831,0.038542540912097745,-0.004644996495390567,0.004644996495390567,0,0,0,-1
taiwan,mlp,14,LIMIT_BAL,relative_minus_5,-0.05,260000.0,273000.0,0.23989470418857167,0.2409220541565424,0.0010273499679707143,0.0010273499679707143,0,0,0,-1
taiwan,mlp,15,LIMIT_BAL,relative_minus_5,-0.05,320000.0,336000.0,0.5846974749546098,0.5794469765420717,-0.005250498412538107,0.005250498412538107,1,1,0,-1
