dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
taiwan,random_forest,0,LIMIT_BAL,relative_minus_5,-0.05,60000.0,63000.0,0.34592573011233557,0.34592573011233557,0.0,0.0,0,0,0,-1
taiwan,random_forest,1,LIMIT_BAL,relative_minus_5,-0.05,180000.0,189000.0,0.19665163083573708,0.19665163083573708,0.0,0.0,0,0,0,-1
taiwan,random_forest,2,LIMIT_BAL,relative_minus_5,-0.05,410000.0,430500.0,0.185415279061287,0.18541527906128702,2.7755575615628914e-17,2.7755575615628914e-17,0,0,0,-1
taiwan,random_forest,3,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.44315437286813997,0.4431543728681398,-1.6653345369377348e-16,1.6653345369377348e-16,0,0,0,-1
taiwan,random_forest,4,LIMIT_BAL,relative_minus_5,-0.05,320000.0,336000.0,0.40695414436505806,0.4096067732368419,0.0026526288717838575,0.0026526288717838575,0,0,0,-1
taiwan,random_forest,5,LIMIT_BAL,relative_minus_5,-0.05,20000.0,21000.0,0.4244064055743505,0.4244064055743504,-1.1102230246251565e-16,1.1102230246251565e-16,0,0,0,-1
taiwan,random_forest,6,LIMIT_BAL,relative_minus_5,-0.05,500000.0,525000.0,0.18046589093944404,0.1796706868866115,-0.0007952040528325377,0.0007952040528325377,0,0,0,-1
taiwan,random_forest,7,LIMIT_BAL,relative_minus_5,-0.05,170000.0,178500.0,0.23475935242902654,0.2346808820199123,-7.847040911423964e-05,7.847040911423964e-05,0,0,0,-1
taiwan,random_forest,8,LIMIT_BAL,relative_minus_5,-0.05,130000.0,136500.0,0.3545427028773205,0.3478665770736164,-0.0066761258037040805,0.0066761258037040805,0,0,0,-1
taiwan,random_forest,9,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.3907856505415298,0.39078565054152986,5.551115123125783e-17,5.551115123125783e-17,0,0,0,-1
taiwan,random_forest,10,LIMIT_BAL,relative_minus_5,-0.05,30000.0,31500.0,0.8526939429062762,0.8526939429062762,0.0,0.0,1,1,0,-1
taiwan,random_forest,11,LIMIT_BAL,relative_minus_5,-0.05,120000.0,126000.0,0.5160879656696176,0.5174417427106905,0.0013537770410729788,0.0013537770410729788,1,1,0,-1
