dataset,model,instance_id,feature,perturbation,magnitude,original_value,perturbed_value,original_probability,perturbed_probability,probability_change,absolute_probability_change,original_prediction,perturbed_prediction,prediction_changed,true_label
taiwan,xgboost,0,LIMIT_BAL,relative_minus_5,-0.05,60000.0,63000.0,0.29280704259872437,0.29280704259872437,0.0,0.0,0,0,0,-1
taiwan,xgboost,1,LIMIT_BAL,relative_minus_5,-0.05,180000.0,189000.0,0.11325713247060776,0.11325713247060776,0.0,0.0,0,0,0,-1
taiwan,xgboost,2,LIMIT_BAL,relative_minus_5,-0.05,410000.0,430500.0,0.04923027753829956,0.04923027753829956,0.0,0.0,0,0,0,-1
taiwan,xgboost,3,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.44181978702545166,0.44181978702545166,0.0,0.0,0,0,0,-1
taiwan,xgboost,4,LIMIT_BAL,relative_minus_5,-0.05,320000.0,336000.0,0.4798915386199951,0.4993956387042999,0.01950410008430481,0.01950410008430481,0,0,0,-1
taiwan,xgboost,5,LIMIT_BAL,relative_minus_5,-0.05,20000.0,21000.0,0.43856847286224365,0.43856847286224365,0.0,0.0,0,0,0,-1
taiwan,xgboost,6,LIMIT_BAL,relative_minus_5,-0.05,500000.0,525000.0,0.08194806426763535,0.08194806426763535,0.0,0.0,0,0,0,-1
taiwan,xgboost,7,LIMIT_BAL,relative_minus_5,-0.05,170000.0,178500.0,0.1687447726726532,0.1687447726726532,0.0,0.0,0,0,0,-1
taiwan,xgboost,8,LIMIT_BAL,relative_minus_5,-0.05,130000.0,136500.0,0.25896474719047546,0.25896474719047546,0.0,0.0,0,0,0,-1
taiwan,xgboost,9,LIMIT_BAL,relative_minus_5,-0.05,50000.0,52500.0,0.4264208972454071,0.4264208972454071,0.0,0.0,0,0,0,-1
taiwan,xgboost,10,LIMIT_BAL,relative_minus_5,-0.05,30000.0,31500.0,0.9054489731788635,0.9054489731788635,0.0,0.0,1,1,0,-1
taiwan,xgboost,11,LIMIT_BAL,relative_minus_5,-0.05,120000.0,126000.0,0.49170249700546265,0.49170249700546265,0.0,0.0,0,0,0,-1
taiwan,xgboost,12,LIMIT_BAL,relative_minus_5,-0.05,80000.0,84000.0,0.8156510591506958,0.8156510591506958,0.0,0.0,1,1,0,-1
