dataset,model,explanation_agreement_score,shap_lime_correlation,rank_agreement,sign_agreement,top10_overlap,category_correlation,category_rank_agreement,category_sign_agreement,mean_absolute_probability_change,prediction_flip_rate,probability_stability,prediction_stability,robustness_score,category_stability_score,explanation_stability_score
german,lightgbm,0.45937426066948406,-0.07487933937320772,0.6933690825359335,0.3325,0.2742554255170354,-0.06843643364002511,0.7407272727272728,0.43700000000000006,0.014266320935766375,0.015,0.9859343442237103,0.985,0.9855606065342262,0.5888636363636364,0.6957466741542114
german,mlp,0.48969073671740593,0.1111773799514557,0.6268419627406793,0.5316666666666666,0.26484650540378096,0.1429225027703357,0.7150187881394223,0.5536428571428571,0.0031932671232094987,0.011428571428571429,0.9968168973737567,0.9885714285714285,0.9935187098528254,0.6343308226411397,0.7201499431563205
german,random_forest,0.635353779034985,-0.02173275279593896,0.8309593726623876,0.42,0.5899000999000998,-0.024943412736829762,0.8266666666666665,0.475,0.0020261948102974197,0.0014285714285714286,0.9979779023534601,0.9985714285714286,0.9982153128406475,0.6508333333333333,0.7835943034169197
german,xgboost,0.5629255708749435,-0.02809920609772233,0.7078351019844287,0.49586956521739134,0.4367688683865154,-0.13147869245057328,0.7154545454545455,0.54,0.0129036802482525,0.020714285714285713,0.987260703559602,0.9792857142857143,0.984070707850047,0.6277272727272727,0.7443439660354508
gmsc,lightgbm,0.6247454545454546,-0.16815595373967132,0.5823636363636363,0.306,1.0,-0.2599050504321184,0.7851428571428571,0.3533333333333333,0.09862735819991675,0.1535,0.9102267411567866,0.8465,0.884736044694072,0.5692380952380952,0.7176402187434296
gmsc,mlp,0.6455727272727273,-0.29817064555495004,0.5988484848484849,0.3534444444444445,1.0,-0.6453189805673898,0.5622857142857143,0.4403333333333333,0.0025374686135043764,0.0,0.9974689538366943,1.0,0.9984813723020166,0.5013095238095238,0.7578835445918024
gmsc,random_forest,0.7516393939393938,-0.4681231632168933,0.8928484848484848,0.315,1.0,-0.575996075025285,0.9031428571428571,0.3466666666666666,0.002230339505860645,0.004,0.9977746238385077,0.996,0.9970647743031047,0.6249047619047619,0.8244626196779519
gmsc,xgboost,0.6940666666666666,-0.27420723248872586,0.7526666666666667,0.31,1.0,-0.4143224171416591,0.8048571428571429,0.3733333333333333,0.006111483836546523,0.0085,0.9939256395193483,0.9915,0.9929553837116091,0.5890952380952381,0.792627867770358
taiwan,lightgbm,0.5295782127080081,-0.06772556469124083,0.6725642292490118,0.43,0.43850840336134456,-0.08936543783209544,0.769,0.46,0.010661720812807748,0.02375,0.9894507523207338,0.97625,0.9841704513924403,0.6145,0.7283994656401794
taiwan,mlp,0.46956639188535626,-0.13523828814615235,0.609654667496196,0.41455555555555557,0.3377928607340372,-0.10671014160022246,0.6991461698692986,0.47916666666666663,0.0015659590179803514,0.001,0.9984364893755816,0.999,0.9986618936253489,0.5891564182679826,0.7051225978578786
taiwan,random_forest,0.6774810298397255,-0.226440513302514,0.878255928853755,0.40391304347826085,0.6833491508491508,-0.22321530897862046,0.9105,0.444,0.0015095342962804805,0.00425,0.9984927409629293,0.99575,0.9973956445777576,0.67725,0.8054006697669933
taiwan,xgboost,0.5718495698674727,-0.014774346782782652,0.719659090909091,0.46652173913043476,0.4800980392156863,0.011830172418482974,0.7184999999999999,0.444,0.004280674371868355,0.0085,0.9957375716957356,0.9915,0.9940425430174414,0.5812499999999999,0.7426068451539657
