dataset,model,mean_absolute_probability_change,prediction_flip_rate,probability_stability,prediction_stability,robustness_score
german,xgboost,0.0129036802482525,0.020714285714285713,0.987260703559602,0.9792857142857143,0.984070707850047
german,lightgbm,0.014266320935766375,0.015,0.9859343442237103,0.985,0.9855606065342262
german,random_forest,0.0020261948102974197,0.0014285714285714286,0.9979779023534601,0.9985714285714286,0.9982153128406475
german,mlp,0.0031932671232094987,0.011428571428571429,0.9968168973737567,0.9885714285714285,0.9935187098528254
taiwan,xgboost,0.004280674371868355,0.0085,0.9957375716957356,0.9915,0.9940425430174414
taiwan,lightgbm,0.010661720812807748,0.02375,0.9894507523207338,0.97625,0.9841704513924403
taiwan,random_forest,0.0015095342962804805,0.00425,0.9984927409629293,0.99575,0.9973956445777576
taiwan,mlp,0.0015659590179803514,0.001,0.9984364893755816,0.999,0.9986618936253489
gmsc,xgboost,0.006111483836546523,0.0085,0.9939256395193483,0.9915,0.9929553837116091
gmsc,lightgbm,0.09862735819991675,0.1535,0.9102267411567866,0.8465,0.884736044694072
gmsc,random_forest,0.002230339505860645,0.004,0.9977746238385077,0.996,0.9970647743031047
gmsc,mlp,0.0025374686135043764,0.0,0.9974689538366943,1.0,0.9984813723020166
