dataset,model,explainer,metric,mean,median,std,q25,q75,min,max,ci_low,ci_high,ci_status,n_instances,n_seed_pairs,bootstrap_seed,bootstrap_reps
german,lightgbm,lime,spearman,0.8656463308727745,0.9337983065566652,0.18034971434050837,0.8599218410768563,0.9679955492835433,0.1211788970907512,0.9831198436821535,0.8122314861050802,0.910530357142857,OK,50,10,42,5000
german,lightgbm,lime,topk_jaccard,0.837595238095238,0.8,0.14587080595889693,0.7416666666666666,1.0,0.46428571428571425,1.0,0.7979499999999999,0.876907738095238,OK,50,10,42,5000
german,lightgbm,lime,cosine,0.7828333782045622,0.9999365039913102,0.3963179018153096,0.7286402871739173,0.9999971693357806,-0.19988039348506978,0.9999999920085589,0.666762647476751,0.884233535817591,OK,50,10,42,5000
german,lightgbm,lime,sign_agreement,0.8819166666666668,0.9229166666666667,0.0962432448965049,0.8354166666666667,0.95,0.5375,0.9833333333333332,0.8539166666666667,0.9079166666666666,OK,50,10,42,5000
german,lightgbm,shap,spearman,0.9553869881611818,0.9574128380579996,0.0159976325148568,0.9449657869012709,0.9681030737482352,0.9172477462800044,0.9806017160855871,0.9508165091777996,0.9595846475507768,OK,50,10,42,5000
german,lightgbm,shap,topk_jaccard,0.8523809523809525,0.8666666666666666,0.11774800829071458,0.7678571428571428,1.0,0.6285714285714286,1.0,0.819997619047619,0.8844761904761904,OK,50,10,42,5000
german,lightgbm,shap,cosine,0.9883731802653621,0.9906352323170513,0.0058037386090641465,0.9854192904148955,0.992294897710867,0.966477636806631,0.9954458136880577,0.986691977628092,0.9898471668102912,OK,50,10,42,5000
german,lightgbm,shap,sign_agreement,0.9504166666666667,0.9541666666666666,0.016131940753413877,0.9427083333333334,0.9583333333333334,0.9041666666666666,0.975,0.9458333333333333,0.9546666666666667,OK,50,10,42,5000
german,mlp,lime,spearman,0.42304928354320454,0.38479157620495,0.32940857406690127,0.15023881893182803,0.6974435518888407,-0.16772687798523658,0.9428897090751194,0.3360135366912722,0.5158387158054711,OK,50,10,42,5000
german,mlp,lime,topk_jaccard,0.7254285714285714,0.6952380952380952,0.13995860074247618,0.6571428571428571,0.7702380952380952,0.4499999999999999,1.0,0.686377380952381,0.7635249999999999,OK,50,10,42,5000
german,mlp,lime,cosine,0.5626888980560938,0.9746350433988185,0.5219112793237002,0.1859297278394703,0.9999317325561077,-0.3333333191327343,0.9999999961512485,0.4189363015763422,0.6964031604432297,OK,50,10,42,5000
german,mlp,lime,sign_agreement,0.6623333333333333,0.6333333333333333,0.13924745099178565,0.5645833333333333,0.775,0.4458333333333333,0.9375,0.6254145833333333,0.70166875,OK,50,10,42,5000
german,mlp,shap,spearman,0.5011292407108239,0.4991653204092622,0.09731848232184329,0.4422617124394183,0.5466208939149165,0.2296445880452342,0.71223478729133,0.47473496230479256,0.527119351103931,OK,50,10,42,5000
german,mlp,shap,topk_jaccard,0.4119365079365079,0.3859126984126984,0.1342196016074746,0.31011904761904757,0.4970238095238094,0.2011904761904762,0.8666666666666666,0.37551587301587297,0.44973134920634916,OK,50,10,42,5000
german,mlp,shap,cosine,0.6081522542754091,0.5965306967070554,0.15275493515550168,0.5343879317599594,0.7119390626352504,0.18202799852824753,0.9141561291355865,0.5641184211405696,0.6491211737323352,OK,50,10,42,5000
german,mlp,shap,sign_agreement,0.8052916666666667,0.8041666666666666,0.029330836560793987,0.7875,0.8218749999999999,0.7395833333333333,0.8666666666666666,0.7971666666666667,0.8135427083333334,OK,50,10,42,5000
german,random_forest,lime,spearman,0.7146343899261832,0.8381241858445506,0.282205771071881,0.6096477420755536,0.9154716673903605,0.00820668693009119,0.9807533651758575,0.6355298957881025,0.7872584455058618,OK,50,10,42,5000
german,random_forest,lime,topk_jaccard,0.7967380952380952,0.8,0.15877502382626657,0.6785714285714286,1.0,0.4583333333333333,1.0,0.7527601190476191,0.8406904761904761,OK,50,10,42,5000
german,random_forest,lime,cosine,0.723691570716648,0.9998827676143982,0.42287089867017974,0.28848036255726106,0.9999961158233623,-0.19990495418774681,0.9999999781122206,0.6071642876437114,0.8351809444382248,OK,50,10,42,5000
german,random_forest,lime,sign_agreement,0.7940833333333334,0.8395833333333333,0.14406505699252165,0.703125,0.915625,0.4833333333333333,0.9916666666666666,0.7535,0.831,OK,50,10,42,5000
german,random_forest,shap,spearman,0.9538746132551702,0.9587037941703306,0.019566154997759936,0.9364571459588559,0.9694050914617598,0.9105248873690496,0.9850512945774306,0.9484113336590131,0.9592898333604734,OK,50,10,42,5000
german,random_forest,shap,topk_jaccard,0.8530476190476189,0.8666666666666666,0.11664637573691577,0.7666666666666666,1.0,0.5476190476190476,1.0,0.8216190476190475,0.88505,OK,50,10,42,5000
german,random_forest,shap,cosine,0.9934144096543861,0.9943246563288425,0.0031477012441161497,0.9913134126789072,0.9959023126291598,0.9850325588821924,0.9973835239048083,0.9925322331366432,0.9942638812620028,OK,50,10,42,5000
german,random_forest,shap,sign_agreement,0.917,0.91875,0.02874254315206072,0.8958333333333334,0.9364583333333334,0.85,0.9833333333333334,0.9090833333333335,0.9250833333333333,OK,50,10,42,5000
german,xgboost,lime,spearman,0.8371452453321754,0.9258087277464178,0.22879811256849078,0.8830085757707338,0.9615175857577073,-0.04019756838905775,0.9786148501953973,0.7700559379070779,0.894175179114199,OK,50,10,42,5000
german,xgboost,lime,topk_jaccard,0.8542619047619047,0.8666666666666666,0.13483597474394476,0.7749999999999999,1.0,0.44642857142857134,1.0,0.8168565476190475,0.8915005952380952,OK,50,10,42,5000
german,xgboost,lime,cosine,0.7992829476372602,0.9999299895632624,0.39923939066566594,0.9421694276764138,0.9999952043429591,-0.3333226890659151,0.9999999930297736,0.6838535858005536,0.903728736492183,OK,50,10,42,5000
german,xgboost,lime,sign_agreement,0.8724166666666667,0.9291666666666666,0.12019061415168296,0.859375,0.95,0.4791666666666667,0.9791666666666666,0.8364999999999999,0.9031666666666667,OK,50,10,42,5000
german,xgboost,shap,spearman,0.9403327891405854,0.9443141967002989,0.02294291572320185,0.9270761122034281,0.957980300291693,0.8850410264699213,0.9794852868470135,0.9339620892694004,0.9463243442518484,OK,50,10,42,5000
german,xgboost,shap,topk_jaccard,0.8032857142857143,0.8,0.13933866826238936,0.6964285714285714,0.8666666666666666,0.488095238095238,1.0,0.7645226190476189,0.8404761904761904,OK,50,10,42,5000
german,xgboost,shap,cosine,0.9846088356227053,0.9862545717584292,0.007621031147376201,0.9819889718054662,0.9901475627581576,0.9608453170286471,0.993907076691898,0.982453520005214,0.9865997978065979,OK,50,10,42,5000
german,xgboost,shap,sign_agreement,0.9149166666666666,0.9125,0.024398808797732294,0.8968750000000001,0.9291666666666666,0.8583333333333334,0.9625,0.9079166666666667,0.9215833333333332,OK,50,10,42,5000
gmsc,lightgbm,lime,spearman,0.6107636363636363,0.636969696969697,0.20646366633475333,0.4927272727272726,0.7454545454545454,0.035151515151515156,0.9709090909090909,0.5530630303030303,0.6650030303030301,OK,50,10,42,5000
gmsc,lightgbm,lime,topk_jaccard,0.8326666666666667,0.8,0.09967790229361297,0.7666666666666666,0.8666666666666666,0.6761904761904762,1.0,0.8056190476190476,0.8600023809523809,OK,50,10,42,5000
gmsc,lightgbm,lime,cosine,0.6030099645502568,0.7929774172121891,0.43398326338360466,0.1968096785198793,0.9946296581703893,-0.20661041844816075,0.9999924535220235,0.4791734248720008,0.718038567469474,OK,50,10,42,5000
gmsc,lightgbm,lime,sign_agreement,0.8423999999999999,0.8400000000000001,0.05694824001509025,0.8,0.8800000000000001,0.76,0.96,0.8264,0.8584,OK,50,10,42,5000
gmsc,lightgbm,shap,spearman,0.9818666666666668,0.9878787878787879,0.01856929522858254,0.9809090909090907,0.9927272727272726,0.9224242424242423,1.0,0.9764357575757574,0.9866666666666665,OK,50,10,42,5000
gmsc,lightgbm,shap,topk_jaccard,0.9,0.8666666666666666,0.09618576131773408,0.8,1.0,0.7333333333333333,1.0,0.8733333333333333,0.9259999999999999,OK,50,10,42,5000
gmsc,lightgbm,shap,cosine,0.9965484984924662,0.9976012134233161,0.0032542129873274787,0.9949253145217904,0.998873105112799,0.9842231533836314,0.9997716948716082,0.9956123815436888,0.9973975642522039,OK,50,10,42,5000
gmsc,lightgbm,shap,sign_agreement,0.9668000000000001,0.96,0.03672512346987481,0.9400000000000001,1.0,0.8400000000000001,1.0,0.9564,0.9764,OK,50,10,42,5000
gmsc,mlp,lime,spearman,0.5222545454545454,0.5824242424242424,0.18908520201336326,0.3784848484848484,0.6309090909090909,0.1733333333333333,0.8642424242424243,0.4698127272727272,0.5743284848484848,OK,50,10,42,5000
gmsc,mlp,lime,topk_jaccard,0.8138095238095238,0.7833333333333333,0.10674962933618735,0.7428571428571428,0.8666666666666666,0.6523809523809524,1.0,0.7855214285714285,0.8434309523809523,OK,50,10,42,5000
gmsc,mlp,lime,cosine,0.4875967600730469,0.6825960391606165,0.49171937281508177,0.03222720329487394,0.9874049575887766,-0.20962408885569714,0.9999502984959617,0.35149625033694687,0.6174473403363014,OK,50,10,42,5000
gmsc,mlp,lime,sign_agreement,0.7868000000000002,0.8,0.057514505712445645,0.76,0.8200000000000001,0.6399999999999999,0.9200000000000002,0.7707999999999999,0.8024,OK,50,10,42,5000
gmsc,mlp,shap,spearman,0.906159291689755,0.9175324029436317,0.062338037104456616,0.8833333333333333,0.9442424242424241,0.6675596164744846,0.9854545454545454,0.8880406418090767,0.9226602850863221,OK,50,10,42,5000
gmsc,mlp,shap,topk_jaccard,0.7982857142857144,0.8,0.11856953565917168,0.7333333333333333,0.8666666666666666,0.5333333333333332,1.0,0.76495,0.8316190476190477,OK,50,10,42,5000
gmsc,mlp,shap,cosine,0.96096733605274,0.9654378197077522,0.021334951052430332,0.9460122793428865,0.9771053240679481,0.9085045401255322,0.9973302341241682,0.9552227149635613,0.966552450428282,OK,50,10,42,5000
gmsc,mlp,shap,sign_agreement,0.8755999999999999,0.8700000000000001,0.06379687152460166,0.8400000000000001,0.9199999999999999,0.7,1.0,0.8578,0.8928,OK,50,10,42,5000
gmsc,random_forest,lime,spearman,0.6378909090909091,0.6399999999999999,0.18310897161380954,0.5281818181818181,0.7639393939393939,0.2460606060606061,0.9587878787878786,0.5881884848484848,0.6865993939393937,OK,50,10,42,5000
gmsc,random_forest,lime,topk_jaccard,0.842095238095238,0.8,0.10546789240952545,0.7666666666666666,0.8666666666666666,0.6714285714285714,1.0,0.8133285714285713,0.8706690476190477,OK,50,10,42,5000
gmsc,random_forest,lime,cosine,0.43778622320532873,0.322135270170981,0.40336129712229896,0.11401635981430096,0.8614898281244916,-0.16512873773564277,0.9999932510508109,0.3285489823919215,0.5475465556625616,OK,50,10,42,5000
gmsc,random_forest,lime,sign_agreement,0.8504,0.86,0.06989671680707302,0.8,0.895,0.7,1.0,0.8308,0.8692,OK,50,10,42,5000
gmsc,random_forest,shap,spearman,0.9929454545454545,0.9951515151515151,0.008175984543913214,0.9927272727272726,1.0,0.9696969696969697,1.0,0.9905690909090907,0.9950545454545454,OK,50,10,42,5000
gmsc,random_forest,shap,topk_jaccard,0.9753333333333333,1.0,0.06346388263487329,1.0,1.0,0.7666666666666666,1.0,0.9566666666666666,0.9913333333333333,OK,50,10,42,5000
gmsc,random_forest,shap,cosine,0.9992595580644992,0.9994741811011761,0.0009426012728426401,0.9991831595989393,0.9996256790988942,0.9931364732110388,0.9998349616889858,0.9989641081340271,0.9994488083280127,OK,50,10,42,5000
gmsc,random_forest,shap,sign_agreement,0.9795999999999999,1.0,0.032947701291716286,0.96,1.0,0.86,1.0,0.97,0.9884000000000001,OK,50,10,42,5000
gmsc,xgboost,lime,spearman,0.7035636363636364,0.7418181818181817,0.1945462305665787,0.5736363636363635,0.87,0.27393939393939387,0.9696969696969695,0.6486509090909091,0.7551042424242422,OK,50,10,42,5000
gmsc,xgboost,lime,topk_jaccard,0.824,0.8,0.10549246112826463,0.7488095238095237,0.8666666666666666,0.6285714285714286,1.0,0.7959023809523809,0.8535238095238094,OK,50,10,42,5000
gmsc,xgboost,lime,cosine,0.7393638631070742,0.9294184198030246,0.3302924611917824,0.4579141110791989,0.9936872234612852,0.04052398383343562,0.9999933776281228,0.6462298962480065,0.8264155044814364,OK,50,10,42,5000
gmsc,xgboost,lime,sign_agreement,0.8616000000000001,0.8700000000000001,0.07008333232222733,0.82,0.9149999999999999,0.7,1.0,0.8424,0.8808,OK,50,10,42,5000
