dataset,model,explainer,cross_seed_spearman,semantic_stability,cs_ci_low,cs_ci_high,sem_ci_low,sem_ci_high,ess_30_70,ess_50_50,ess_70_30,rank_30_70,rank_50_50,rank_70_30
german,lightgbm,lime,0.8656463308727745,0.9155,0.8122314861050802,0.910530357142857,0.8774000000000001,0.9490025,0.9005438992618322,0.8905731654363873,0.8806024316109422,11.0,11.0,11.0
german,lightgbm,shap,0.9553869881611818,0.949,0.9508165091777996,0.9595846475507768,0.9313,0.9641,0.9509160964483545,0.952193494080591,0.9534708917128272,7.0,7.0,7.0
german,mlp,lime,0.4230492835432045,0.7260999999999999,0.3360135366912722,0.5158387158054711,0.6735,0.7771025,0.6351847850629613,0.5745746417716022,0.5139644984802431,24.0,24.0,24.0
german,mlp,shap,0.5011292407108239,0.7680126017657619,0.4747349623047925,0.527119351103931,0.7375411179192181,0.7973341537004438,0.6879475934492805,0.6345709212382928,0.5811942490273052,23.0,23.0,23.0
german,random_forest,lime,0.7146343899261832,0.8647999999999999,0.6355298957881025,0.7872584455058618,0.8208,0.9066999999999998,0.8197503169778548,0.7897171949630916,0.7596840729483282,16.0,15.0,15.0
german,random_forest,shap,0.9538746132551702,0.9691,0.9484113336590132,0.9592898333604734,0.9583,0.979,0.9645323839765509,0.9614873066275851,0.9584422292786191,4.0,5.0,5.0
german,xgboost,lime,0.8371452453321754,0.9101,0.7700559379070779,0.894175179114199,0.8719,0.9446,0.8882135735996526,0.8736226226660877,0.8590316717325228,12.0,12.0,12.0
german,xgboost,shap,0.9403327891405854,0.9406,0.9339620892694004,0.9463243442518484,0.9204,0.957,0.9405198367421757,0.9404663945702927,0.9404129523984097,8.0,8.0,8.0
gmsc,lightgbm,lime,0.6107636363636363,0.85745,0.5530630303030303,0.6650030303030301,0.82814625,0.88645375,0.7834440909090908,0.7341068181818182,0.6847695454545455,19.0,20.0,20.0
gmsc,lightgbm,shap,0.9818666666666668,0.9744,0.9764357575757574,0.9866666666666664,0.9651,0.9835,0.9766400000000001,0.9781333333333334,0.9796266666666669,2.0,2.0,2.0
gmsc,mlp,lime,0.5222545454545454,0.8100499999999999,0.4698127272727272,0.5743284848484848,0.7826487499999999,0.8375512499999999,0.7237113636363636,0.6661522727272726,0.6085931818181818,22.0,22.0,22.0
gmsc,mlp,shap,0.906159291689755,0.9035,0.8880406418090767,0.922660285086322,0.8883487499999998,0.91805125,0.9042977875069265,0.9048296458448775,0.9053615041828285,10.0,10.0,10.0
gmsc,random_forest,lime,0.6378909090909091,0.8393,0.5881884848484848,0.6865993939393937,0.81319875,0.8662525000000001,0.7788772727272727,0.7385954545454545,0.6983136363636364,20.0,19.0,18.0
gmsc,random_forest,shap,0.9929454545454544,0.989,0.9905690909090908,0.9950545454545454,0.9832,0.994,0.9901836363636363,0.9909727272727271,0.991761818181818,1.0,1.0,1.0
gmsc,xgboost,lime,0.7035636363636364,0.8716999999999999,0.6486509090909091,0.7551042424242422,0.84684875,0.8950999999999999,0.8212590909090908,0.7876318181818182,0.7540045454545454,15.0,16.0,16.0
gmsc,xgboost,shap,0.9776242424242424,0.97565,0.9715151515151516,0.9829339393939394,0.96685,0.9841,0.9762422727272727,0.9766371212121212,0.9770319696969697,3.0,3.0,3.0
taiwan,lightgbm,lime,0.7042430830039524,0.9029,0.6576687747035572,0.7466067193675888,0.8685975000000001,0.9342,0.8433029249011857,0.8035715415019762,0.7638401581027667,14.0,14.0,14.0
taiwan,lightgbm,shap,0.950286561264822,0.9696,0.9414997529644268,0.9585005434782607,0.9570974999999998,0.9812,0.9638059683794467,0.9599432806324111,0.9560805928853754,5.0,6.0,6.0
taiwan,mlp,lime,0.5468774703557312,0.8175,0.4830574110671937,0.610421195652174,0.7740975,0.8597049999999999,0.7363132411067193,0.6821887351778656,0.6280642292490118,21.0,21.0,21.0
taiwan,mlp,shap,0.6191590361445783,0.861022195253493,0.5934260240963857,0.6431277710843375,0.8322304763171919,0.8869230362871047,0.7884632475208185,0.7400906156990357,0.6917179838772527,18.0,18.0,19.0
taiwan,random_forest,lime,0.7128537549407116,0.9058,0.6487285079051384,0.770385918972332,0.8688949999999999,0.9376025,0.8479161264822135,0.8093268774703558,0.7707376284584981,13.0,13.0,13.0
taiwan,random_forest,shap,0.9747173913043476,0.953,0.9688140316205534,0.9797649209486166,0.9376975,0.9674025,0.9595152173913042,0.9638586956521737,0.9682021739130433,6.0,4.0,4.0
taiwan,xgboost,lime,0.6651106719367589,0.878,0.5956467885375494,0.7283045454545455,0.8368000000000002,0.9141025,0.8141332015810276,0.7715553359683794,0.7289774703557312,17.0,17.0,17.0
taiwan,xgboost,shap,0.921501976284585,0.9473,0.9069911561264824,0.9340693181818184,0.9321,0.9615,0.9395605928853754,0.9344009881422926,0.9292413833992095,9.0,9.0,9.0
