dataset,model,explainer,metric,mean,median,std,q25,q75,min,max,ci_low,ci_high,ci_status,n_instances,n_seed_pairs,n_categories,bootstrap_seed,bootstrap_reps
german,xgboost,shap,semantic_stability,0.9405999999999999,1.0,0.09183412771964493,0.875,1.0,0.425,1.0,0.9203999999999999,0.9569999999999999,OK,50,10,4,42,5000
german,xgboost,lime,semantic_stability,0.9100999999999999,1.0,0.17896801138247134,0.875,1.0,0.0,1.0,0.8719,0.9446000000000001,OK,50,10,4,42,5000
german,lightgbm,shap,semantic_stability,0.949,1.0,0.0827810691572756,0.875,1.0,0.425,1.0,0.9312999999999999,0.9641000000000001,OK,50,10,4,42,5000
german,lightgbm,lime,semantic_stability,0.9155,1.0,0.17473068311904036,0.9312499999999999,1.0,0.125,1.0,0.8774000000000001,0.9490025,OK,50,10,4,42,5000
german,random_forest,shap,semantic_stability,0.9691,1.0,0.055170440954466014,0.95,1.0,0.75,1.0,0.9582999999999999,0.9789999999999999,OK,50,10,4,42,5000
german,random_forest,lime,semantic_stability,0.8647999999999999,1.0,0.22494368032607023,0.825,1.0,0.0,1.0,0.8208,0.9066999999999998,OK,50,10,4,42,5000
german,mlp,shap,semantic_stability,0.7680126017657619,0.8172330984215777,0.18395093861130513,0.625,0.9444444444444444,0.216886116991581,1.0,0.7375411179192181,0.7973341537004438,OK,50,10,4,42,5000
german,mlp,lime,semantic_stability,0.7260999999999999,0.825,0.3063437333550857,0.575,1.0,0.0,1.0,0.6735,0.7771025,OK,50,10,4,42,5000
taiwan,xgboost,shap,semantic_stability,0.9472999999999999,1.0,0.07427141095313823,0.875,1.0,0.65,1.0,0.9321,0.9615,OK,50,10,4,42,5000
taiwan,xgboost,lime,semantic_stability,0.878,1.0,0.18816698336120102,0.825,1.0,0.125,1.0,0.8368000000000002,0.9141024999999999,OK,50,10,4,42,5000
taiwan,lightgbm,shap,semantic_stability,0.9695999999999999,1.0,0.060441263161727286,0.95,1.0,0.6,1.0,0.9570974999999998,0.9812000000000001,OK,50,10,4,42,5000
taiwan,lightgbm,lime,semantic_stability,0.9028999999999999,1.0,0.16504869628169916,0.875,1.0,0.0,1.0,0.8685975000000001,0.9342,OK,50,10,4,42,5000
taiwan,random_forest,shap,semantic_stability,0.953,1.0,0.07825117566519992,0.875,1.0,0.575,1.0,0.9376975,0.9674025,OK,50,10,4,42,5000
taiwan,random_forest,lime,semantic_stability,0.9058,1.0,0.16332394012770352,0.875,1.0,0.0,1.0,0.8688949999999999,0.9376025000000001,OK,50,10,4,42,5000
taiwan,mlp,shap,semantic_stability,0.861022195253493,0.875,0.1503039735268356,0.8211165492107888,1.0,0.05000000000000002,1.0,0.8322304763171919,0.8869230362871047,OK,50,10,4,42,5000
taiwan,mlp,lime,semantic_stability,0.8175,0.875,0.22777183763591158,0.7,1.0,0.0,1.0,0.7740975,0.8597049999999999,OK,50,10,4,42,5000
gmsc,xgboost,shap,semantic_stability,0.9756500000000001,1.0,0.04455106165051936,0.975,1.0,0.7749999999999999,1.0,0.96685,0.9841000000000001,OK,50,10,5,42,5000
gmsc,xgboost,lime,semantic_stability,0.8716999999999999,0.9,0.1452111654285932,0.8,1.0,0.275,1.0,0.84684875,0.8950999999999999,OK,50,10,5,42,5000
gmsc,lightgbm,shap,semantic_stability,0.9743999999999999,1.0,0.04705388545351537,0.975,1.0,0.75,1.0,0.9651,0.9834999999999999,OK,50,10,5,42,5000
gmsc,lightgbm,lime,semantic_stability,0.85745,0.9,0.1617268024083654,0.75,1.0,0.375,1.0,0.82814625,0.88645375,OK,50,10,5,42,5000
gmsc,random_forest,shap,semantic_stability,0.989,1.0,0.029166785952614162,1.0,1.0,0.875,1.0,0.9832000000000001,0.9939999999999999,OK,50,10,5,42,5000
gmsc,random_forest,lime,semantic_stability,0.8393,0.9,0.1700318548488096,0.65,1.0,0.25,1.0,0.81319875,0.8662525000000001,OK,50,10,5,42,5000
gmsc,mlp,shap,semantic_stability,0.9035,0.9,0.09129303827606655,0.875,1.0,0.525,1.0,0.8883487499999998,0.91805125,OK,50,10,5,42,5000
gmsc,mlp,lime,semantic_stability,0.8100499999999999,0.875,0.1784065730589017,0.65,0.975,0.30000000000000004,1.0,0.7826487499999999,0.8375512499999999,OK,50,10,5,42,5000
