dataset,model,explainer,metric,n_instances,mean,median,std,q25,q75,ci_low,ci_high,ci_status
german,lightgbm,lime,faithfulness_spearman,50,0.7387186292243064,0.7720138054152442,0.10667635228471292,0.6986572420835244,0.8150110578052092,0.7191122671818243,0.7593542243787966,OK
german,lightgbm,shap,faithfulness_spearman,50,0.5696518604529541,0.5685478733981315,0.167887275337709,0.4597199242312389,0.706757608206349,0.5364466505893428,0.6042104163686103,OK
german,mlp,lime,faithfulness_spearman,50,0.6980317474121394,0.71706132095057,0.1068376674958355,0.6330358450868929,0.7750328716091829,0.6839746875225817,0.712190617945019,OK
german,mlp,shap,faithfulness_spearman,50,0.5517919756458145,0.5812070241936267,0.20267786184181658,0.41996106528631594,0.7172558237417078,0.5198984960675362,0.5843780168767102,OK
german,random_forest,lime,faithfulness_spearman,50,0.7126005248390296,0.7455030657214661,0.11221692938318571,0.6511727262362297,0.7961646083812375,0.692161380218163,0.7338008285418743,OK
german,random_forest,shap,faithfulness_spearman,50,0.5784485389418894,0.5900218459253127,0.1694145987651175,0.47160118570398013,0.716799631625024,0.5442775132012183,0.61363516871904,OK
german,xgboost,lime,faithfulness_spearman,50,0.7378916636434135,0.7793602715680912,0.11723809528348213,0.6900480741677877,0.8188869436089967,0.7165440999382945,0.760734763316652,OK
german,xgboost,shap,faithfulness_spearman,50,0.5767962568128246,0.5736618269339608,0.15587409948863498,0.46474484381628056,0.704317889909863,0.5462269904721545,0.6091329487501018,OK
gmsc,lightgbm,lime,faithfulness_spearman,50,0.502398317453032,0.5460533760344654,0.22589196989907076,0.3555795011093797,0.6689980830488884,0.4602042079693163,0.5466946405149431,OK
gmsc,lightgbm,shap,faithfulness_spearman,50,0.5234826115014161,0.5624621199366552,0.2308685182093385,0.389599880653804,0.6718146489065477,0.47866628880865003,0.5710801016095665,OK
gmsc,mlp,lime,faithfulness_spearman,50,0.25635089869946676,0.2724878626948213,0.2827144710114132,0.0552188807225863,0.45672813347307495,0.20403784552328832,0.30834750040931835,OK
gmsc,mlp,shap,faithfulness_spearman,50,-0.07624617229369278,-0.13393594114536775,0.346299998610933,-0.3640551047291567,0.1739999290694017,-0.14529778117283637,-0.007172620686936959,OK
gmsc,random_forest,lime,faithfulness_spearman,50,0.5758136474223536,0.591729636427859,0.20783961091783193,0.4233447522064956,0.7345761102377698,0.5367343069099787,0.6158042547813117,OK
gmsc,random_forest,shap,faithfulness_spearman,50,0.1125557019983629,0.1563263498701806,0.2756293776657906,-0.0552188807225863,0.291794660966431,0.05664645996794076,0.17071416331468206,OK
gmsc,xgboost,lime,faithfulness_spearman,50,0.5056020585379744,0.5413275843088555,0.22741946932589188,0.3515231430592483,0.6687619998624351,0.4657178316159243,0.5477505666221822,OK
gmsc,xgboost,shap,faithfulness_spearman,50,0.23378411687139203,0.2880028748784307,0.3515829971150599,0.06083520089459825,0.49696278195845284,0.16301411023478146,0.3082355481799584,OK
taiwan,lightgbm,lime,faithfulness_spearman,50,0.46246793123471547,0.5002113507044917,0.2352224598013687,0.276375290288673,0.649266641547713,0.4146703717703057,0.5106519233990962,OK
taiwan,lightgbm,shap,faithfulness_spearman,50,0.483179345759728,0.5107405572526195,0.19624271265160503,0.3707248820138122,0.6373031432503224,0.44445963861636084,0.5228506067671871,OK
taiwan,mlp,lime,faithfulness_spearman,50,0.3106214219096849,0.4016931343506352,0.3969399401580274,-0.03842126595043392,0.6494710001758498,0.2255969665773709,0.39395051660405167,OK
taiwan,mlp,shap,faithfulness_spearman,50,0.3704365085375034,0.4239745200718552,0.2884319418100973,0.18656809487047976,0.5927571167674216,0.3176240982868976,0.42708709777411136,OK
taiwan,random_forest,lime,faithfulness_spearman,50,0.5545470842498269,0.624472617211194,0.24389667812257393,0.47720335235424194,0.7161027321509366,0.5054625268975785,0.6064394070944699,OK
taiwan,random_forest,shap,faithfulness_spearman,50,0.28419134480814207,0.29159293734990244,0.25304468373657707,0.08617641463123307,0.4603231328699099,0.23186473049447462,0.33555845283164604,OK
taiwan,xgboost,lime,faithfulness_spearman,50,0.4983032132148651,0.5263260530847746,0.2293103531833481,0.3353704389121092,0.6751666354610557,0.4525816125689291,0.5437860555058359,OK
taiwan,xgboost,shap,faithfulness_spearman,50,0.4581007497192191,0.5018523641427545,0.21989459470941228,0.30617220797634304,0.6300768069334117,0.4157239328728935,0.5030311095807851,OK
german,lightgbm,lime,topk_minus_random_k1,50,0.0648161001287176,0.01852150633239385,0.12755710422693345,-0.012959176945621799,0.09010614376005052,0.03862723483737473,0.08865650892505315,OK
german,lightgbm,shap,topk_minus_random_k1,50,0.22201419592475866,0.20507573826776282,0.18995542994117676,0.04322531585983215,0.36557960890573815,0.18220700124115172,0.2603986232235304,OK
german,mlp,lime,topk_minus_random_k1,50,0.009402238547271784,-0.006712877653563,0.06656246204179221,-0.018505172499323173,0.012767178035344426,-0.0009408122261098309,0.0189331639337701,OK
german,mlp,shap,topk_minus_random_k1,50,0.13599681816923867,0.0954544934645504,0.1286004550052085,0.05316484368904575,0.19609174319011421,0.12162408484775401,0.14952143197213996,OK
german,random_forest,lime,topk_minus_random_k1,50,0.006415679769823991,-0.00453962393474085,0.031789177696788115,-0.014976479420090725,0.0182514603738262,-7.018969920813154e-06,0.012598893414359507,OK
german,random_forest,shap,topk_minus_random_k1,50,0.11373820390804104,0.1239911738806658,0.08809117037319356,0.0264267834754511,0.17904037365488637,0.09494797635554303,0.13227718367607144,OK
german,xgboost,lime,topk_minus_random_k1,50,0.05709137215651572,0.00659209117293355,0.11343502510145902,-0.011873323936015326,0.08437651023268694,0.03295429199571687,0.07921307664587951,OK
german,xgboost,shap,topk_minus_random_k1,50,0.21349725436791778,0.20031196624040598,0.17157555067005378,0.055113587528467095,0.33757016062736506,0.17884611347625634,0.24765809628227725,OK
gmsc,lightgbm,lime,topk_minus_random_k1,50,-0.011706109477910126,-0.010812196557848649,0.03469449505340651,-0.029146510070497126,0.007912976293585826,-0.018220849264823463,-0.0051130039705722255,OK
gmsc,lightgbm,shap,topk_minus_random_k1,50,0.11618801016304593,0.07432860782342054,0.11427339381900999,0.027188044000203675,0.18873978649627005,0.09015391767176228,0.1406355187036982,OK
gmsc,mlp,lime,topk_minus_random_k1,50,-0.0021631931191447703,-0.00017440716266935,0.024222771617163866,-0.0036433741271636,0.0037322948442836,-0.006724639441683943,0.0028389924098783876,OK
gmsc,mlp,shap,topk_minus_random_k1,50,0.031109017436235602,-0.00067769523557255,0.07382844615233725,-0.0022385952868148253,0.030800151744771076,0.014770686310695606,0.04499588715577453,OK
gmsc,random_forest,lime,topk_minus_random_k1,50,-0.013025933077758234,-0.00650513714275845,0.027301097546029864,-0.026798001622228274,0.005407770246265075,-0.018340628757225374,-0.007412154145223096,OK
gmsc,random_forest,shap,topk_minus_random_k1,50,0.10459898670183544,0.02531739964756355,0.12376764831440208,0.012018850709529275,0.2062617483272167,0.07724932783460425,0.1312555371804361,OK
gmsc,xgboost,lime,topk_minus_random_k1,50,-0.009066819335333993,-0.008063592948019449,0.036577874602648185,-0.0275410963222384,0.00950364372692995,-0.01622937855811322,-0.0018528866329385579,OK
gmsc,xgboost,shap,topk_minus_random_k1,50,0.1024264411460608,0.044610783457756,0.12273674303660795,0.0105628024321049,0.18045618385076517,0.07562717562343252,0.12849719670345072,OK
taiwan,lightgbm,lime,topk_minus_random_k1,50,0.030820466480903627,0.010869431048218199,0.048299950526781654,-0.0051811820101036,0.07126841427464173,0.02119850225267158,0.03998297756495586,OK
taiwan,lightgbm,shap,topk_minus_random_k1,50,0.08910313141912667,0.0823276243791625,0.08755463597512131,0.0305886374372717,0.12383674816840781,0.06952375537023286,0.10628168480251152,OK
taiwan,mlp,lime,topk_minus_random_k1,50,0.021898841032535935,0.011269377340963449,0.037939181248855744,-0.002556340406966125,0.03801127345222713,0.01598207978894083,0.027716068714871367,OK
taiwan,mlp,shap,topk_minus_random_k1,50,0.08358962323796085,0.041904313299872556,0.12802259329078863,-0.0037527373469704497,0.109202057500426,0.056861363055899325,0.10841277674401717,OK
taiwan,random_forest,lime,topk_minus_random_k1,50,0.013751353929265731,0.010411931318548801,0.02207768802394531,-0.0013262392049252251,0.0240374171760246,0.00949777925081814,0.01797080613920778,OK
